"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02196V02652","State","UNIT","VALUE"
"NAQ03C01","GVA at Constant Basic Prices","19951","1995Q1","-","State","Euro Million","21283"
"NAQ03C01","GVA at Constant Basic Prices","19952","1995Q2","-","State","Euro Million","22083"
"NAQ03C01","GVA at Constant Basic Prices","19953","1995Q3","-","State","Euro Million","22529"
"NAQ03C01","GVA at Constant Basic Prices","19954","1995Q4","-","State","Euro Million","22342"
"NAQ03C01","GVA at Constant Basic Prices","19961","1996Q1","-","State","Euro Million","22989"
"NAQ03C01","GVA at Constant Basic Prices","19962","1996Q2","-","State","Euro Million","24022"
"NAQ03C01","GVA at Constant Basic Prices","19963","1996Q3","-","State","Euro Million","23775"
"NAQ03C01","GVA at Constant Basic Prices","19964","1996Q4","-","State","Euro Million","23722"
"NAQ03C01","GVA at Constant Basic Prices","19971","1997Q1","-","State","Euro Million","24656"
"NAQ03C01","GVA at Constant Basic Prices","19972","1997Q2","-","State","Euro Million","26327"
"NAQ03C01","GVA at Constant Basic Prices","19973","1997Q3","-","State","Euro Million","26393"
"NAQ03C01","GVA at Constant Basic Prices","19974","1997Q4","-","State","Euro Million","26941"
"NAQ03C01","GVA at Constant Basic Prices","19981","1998Q1","-","State","Euro Million","27120"
"NAQ03C01","GVA at Constant Basic Prices","19982","1998Q2","-","State","Euro Million","28211"
"NAQ03C01","GVA at Constant Basic Prices","19983","1998Q3","-","State","Euro Million","29099"
"NAQ03C01","GVA at Constant Basic Prices","19984","1998Q4","-","State","Euro Million","28387"
"NAQ03C01","GVA at Constant Basic Prices","19991","1999Q1","-","State","Euro Million","29589"
"NAQ03C01","GVA at Constant Basic Prices","19992","1999Q2","-","State","Euro Million","30060"
"NAQ03C01","GVA at Constant Basic Prices","19993","1999Q3","-","State","Euro Million","31697"
"NAQ03C01","GVA at Constant Basic Prices","19994","1999Q4","-","State","Euro Million","32547"
"NAQ03C01","GVA at Constant Basic Prices","20001","2000Q1","-","State","Euro Million","31694"
"NAQ03C01","GVA at Constant Basic Prices","20002","2000Q2","-","State","Euro Million","33709"
"NAQ03C01","GVA at Constant Basic Prices","20003","2000Q3","-","State","Euro Million","33964"
"NAQ03C01","GVA at Constant Basic Prices","20004","2000Q4","-","State","Euro Million","35794"
"NAQ03C01","GVA at Constant Basic Prices","20011","2001Q1","-","State","Euro Million","34388"
"NAQ03C01","GVA at Constant Basic Prices","20012","2001Q2","-","State","Euro Million","36216"
"NAQ03C01","GVA at Constant Basic Prices","20013","2001Q3","-","State","Euro Million","35403"
"NAQ03C01","GVA at Constant Basic Prices","20014","2001Q4","-","State","Euro Million","37306"
"NAQ03C01","GVA at Constant Basic Prices","20021","2002Q1","-","State","Euro Million","36458"
"NAQ03C01","GVA at Constant Basic Prices","20022","2002Q2","-","State","Euro Million","38304"
"NAQ03C01","GVA at Constant Basic Prices","20023","2002Q3","-","State","Euro Million","37588"
"NAQ03C01","GVA at Constant Basic Prices","20024","2002Q4","-","State","Euro Million","39908"
"NAQ03C01","GVA at Constant Basic Prices","20031","2003Q1","-","State","Euro Million","37115"
"NAQ03C01","GVA at Constant Basic Prices","20032","2003Q2","-","State","Euro Million","39370"
"NAQ03C01","GVA at Constant Basic Prices","20033","2003Q3","-","State","Euro Million","37639"
"NAQ03C01","GVA at Constant Basic Prices","20034","2003Q4","-","State","Euro Million","42136"
"NAQ03C01","GVA at Constant Basic Prices","20041","2004Q1","-","State","Euro Million","39864"
"NAQ03C01","GVA at Constant Basic Prices","20042","2004Q2","-","State","Euro Million","42577"
"NAQ03C01","GVA at Constant Basic Prices","20043","2004Q3","-","State","Euro Million","40120"
"NAQ03C01","GVA at Constant Basic Prices","20044","2004Q4","-","State","Euro Million","43594"
"NAQ03C01","GVA at Constant Basic Prices","20051","2005Q1","-","State","Euro Million","41747"
"NAQ03C01","GVA at Constant Basic Prices","20052","2005Q2","-","State","Euro Million","44650"
"NAQ03C01","GVA at Constant Basic Prices","20053","2005Q3","-","State","Euro Million","41712"
"NAQ03C01","GVA at Constant Basic Prices","20054","2005Q4","-","State","Euro Million","45897"
"NAQ03C01","GVA at Constant Basic Prices","20061","2006Q1","-","State","Euro Million","43946"
"NAQ03C01","GVA at Constant Basic Prices","20062","2006Q2","-","State","Euro Million","46021"
"NAQ03C01","GVA at Constant Basic Prices","20063","2006Q3","-","State","Euro Million","44573"
"NAQ03C01","GVA at Constant Basic Prices","20064","2006Q4","-","State","Euro Million","46672"
"NAQ03C01","GVA at Constant Basic Prices","20071","2007Q1","-","State","Euro Million","47725"
"NAQ03C01","GVA at Constant Basic Prices","20072","2007Q2","-","State","Euro Million","48910"
"NAQ03C01","GVA at Constant Basic Prices","20073","2007Q3","-","State","Euro Million","46340"
"NAQ03C01","GVA at Constant Basic Prices","20074","2007Q4","-","State","Euro Million","49788"
"NAQ03C01","GVA at Constant Basic Prices","20081","2008Q1","-","State","Euro Million","47353"
"NAQ03C01","GVA at Constant Basic Prices","20082","2008Q2","-","State","Euro Million","48154"
"NAQ03C01","GVA at Constant Basic Prices","20083","2008Q3","-","State","Euro Million","46684"
"NAQ03C01","GVA at Constant Basic Prices","20084","2008Q4","-","State","Euro Million","45521"
"NAQ03C01","GVA at Constant Basic Prices","20091","2009Q1","-","State","Euro Million","45290"
"NAQ03C01","GVA at Constant Basic Prices","20092","2009Q2","-","State","Euro Million","46517"
"NAQ03C01","GVA at Constant Basic Prices","20093","2009Q3","-","State","Euro Million","44574"
"NAQ03C01","GVA at Constant Basic Prices","20094","2009Q4","-","State","Euro Million","44430"
"NAQ03C01","GVA at Constant Basic Prices","20101","2010Q1","-","State","Euro Million","45124"
