"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02541V03076","Component","UNIT","VALUE"
"PEA15","Annual Population Change","1951","1951","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1951","1951","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1951","1951","03","Natural increase","Thousand","26.6"
"PEA15","Annual Population Change","1951","1951","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1951","1951","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1951","1951","06","Net migration","Thousand","-35"
"PEA15","Annual Population Change","1951","1951","07","Population change","Thousand","-8.4"
"PEA15","Annual Population Change","1951","1951","08","Population","Thousand","2960.6"
"PEA15","Annual Population Change","1952","1952","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1952","1952","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1952","1952","03","Natural increase","Thousand","27.3"
"PEA15","Annual Population Change","1952","1952","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1952","1952","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1952","1952","06","Net migration","Thousand","-35"
"PEA15","Annual Population Change","1952","1952","07","Population change","Thousand","-7.7"
"PEA15","Annual Population Change","1952","1952","08","Population","Thousand","2952.9"
"PEA15","Annual Population Change","1953","1953","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1953","1953","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1953","1953","03","Natural increase","Thousand","29.1"
"PEA15","Annual Population Change","1953","1953","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1953","1953","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1953","1953","06","Net migration","Thousand","-33"
"PEA15","Annual Population Change","1953","1953","07","Population change","Thousand","-3.9"
"PEA15","Annual Population Change","1953","1953","08","Population","Thousand","2949"
"PEA15","Annual Population Change","1954","1954","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1954","1954","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1954","1954","03","Natural increase","Thousand","28.2"
"PEA15","Annual Population Change","1954","1954","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1954","1954","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1954","1954","06","Net migration","Thousand","-36"
"PEA15","Annual Population Change","1954","1954","07","Population change","Thousand","-7.8"
"PEA15","Annual Population Change","1954","1954","08","Population","Thousand","2941.2"
"PEA15","Annual Population Change","1955","1955","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1955","1955","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1955","1955","03","Natural increase","Thousand","24.7"
"PEA15","Annual Population Change","1955","1955","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1955","1955","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1955","1955","06","Net migration","Thousand","-45"
"PEA15","Annual Population Change","1955","1955","07","Population change","Thousand","-20.3"
"PEA15","Annual Population Change","1955","1955","08","Population","Thousand","2920.9"
"PEA15","Annual Population Change","1956","1956","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1956","1956","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1956","1956","03","Natural increase","Thousand","25.6"
"PEA15","Annual Population Change","1956","1956","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1956","1956","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1956","1956","06","Net migration","Thousand","-48"
"PEA15","Annual Population Change","1956","1956","07","Population change","Thousand","-22.4"
"PEA15","Annual Population Change","1956","1956","08","Population","Thousand","2898.5"
"PEA15","Annual Population Change","1957","1957","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1957","1957","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1957","1957","03","Natural increase","Thousand","27.8"
"PEA15","Annual Population Change","1957","1957","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1957","1957","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1957","1957","06","Net migration","Thousand","-41"
"PEA15","Annual Population Change","1957","1957","07","Population change","Thousand","-13.2"
"PEA15","Annual Population Change","1957","1957","08","Population","Thousand","2885.3"
"PEA15","Annual Population Change","1958","1958","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1958","1958","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1958","1958","03","Natural increase","Thousand","25.4"
"PEA15","Annual Population Change","1958","1958","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1958","1958","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1958","1958","06","Net migration","Thousand","-58"
"PEA15","Annual Population Change","1958","1958","07","Population change","Thousand","-32.6"
"PEA15","Annual Population Change","1958","1958","08","Population","Thousand","2852.7"
"PEA15","Annual Population Change","1959","1959","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1959","1959","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1959","1959","03","Natural increase","Thousand","24.9"
"PEA15","Annual Population Change","1959","1959","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1959","1959","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1959","1959","06","Net migration","Thousand","-32"
"PEA15","Annual Population Change","1959","1959","07","Population change","Thousand","-7.1"
"PEA15","Annual Population Change","1959","1959","08","Population","Thousand","2845.6"
"PEA15","Annual Population Change","1960","1960","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1960","1960","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1960","1960","03","Natural increase","Thousand","27.5"
"PEA15","Annual Population Change","1960","1960","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1960","1960","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1960","1960","06","Net migration","Thousand","-41"
"PEA15","Annual Population Change","1960","1960","07","Population change","Thousand","-13.5"
"PEA15","Annual Population Change","1960","1960","08","Population","Thousand","2832.1"
"PEA15","Annual Population Change","1961","1961","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1961","1961","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1961","1961","03","Natural increase","Thousand","26.2"
"PEA15","Annual Population Change","1961","1961","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1961","1961","05","Emigrants","Thousand",""
