"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C04004V04762","Citizenship","UNIT","VALUE"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","-","Both sexes","-","All Countries","Thousand","36"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.1"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","7.2"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","-","Both sexes","GB","United Kingdom","Thousand","2.2"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","-","Both sexes","IE","Ireland","Thousand","15.3"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","6.2"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","1","Male","-","All Countries","Thousand","18.7"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.5"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.7"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","1","Male","GB","United Kingdom","Thousand","1.6"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","1","Male","IE","Ireland","Thousand","8"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","2.8"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","2","Female","-","All Countries","Thousand","17.3"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.6"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.4"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","2","Female","GB","United Kingdom","Thousand","0.6"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","2","Female","IE","Ireland","Thousand","7.3"
"PEA23","Estimated Emigration (Persons in April)","2006","2006","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.4"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","-","Both sexes","-","All Countries","Thousand","46.3"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","8.9"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","12.6"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","-","Both sexes","GB","United Kingdom","Thousand","3.7"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","-","Both sexes","IE","Ireland","Thousand","12.9"
