"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C04004V04762","Citizenship","UNIT","VALUE"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","-","Both sexes","-","All Countries","Thousand","39.2"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1996","1996","-","Both sexes","GB","United Kingdom","Thousand","8.3"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","-","Both sexes","IE","Ireland","Thousand","17.7"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","8.2"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","1","Male","-","All Countries","Thousand","18.8"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.2"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1996","1996","1","Male","GB","United Kingdom","Thousand","4.3"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","1","Male","IE","Ireland","Thousand","8.2"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","2","Female","-","All Countries","Thousand","20.4"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.8"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1996","1996","2","Female","GB","United Kingdom","Thousand","3.9"
