"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02719V03286","Country","C02199V02655","Sex","C02542V03077","Origin or Destination","UNIT","VALUE"
"PEA18","Estimated Migration (Persons in April)","1987","1987","GB1","United Kingdom (1)","-","Both sexes","01","Net migration","Thousand","-13.7"
"PEA18","Estimated Migration (Persons in April)","1987","1987","GB1","United Kingdom (1)","-","Both sexes","04","Emigrants: All destinations","Thousand","21.8"
"PEA18","Estimated Migration (Persons in April)","1987","1987","GB1","United Kingdom (1)","-","Both sexes","05","Immigrants: All origins","Thousand","8.1"
"PEA18","Estimated Migration (Persons in April)","1987","1987","GB1","United Kingdom (1)","1","Male","01","Net migration","Thousand","-9"
"PEA18","Estimated Migration (Persons in April)","1987","1987","GB1","United Kingdom (1)","1","Male","04","Emigrants: All destinations","Thousand","13.1"
"PEA18","Estimated Migration (Persons in April)","1987","1987","GB1","United Kingdom (1)","1","Male","05","Immigrants: All origins","Thousand","4.1"
"PEA18","Estimated Migration (Persons in April)","1987","1987","GB1","United Kingdom (1)","2","Female","01","Net migration","Thousand","-4.7"
"PEA18","Estimated Migration (Persons in April)","1987","1987","GB1","United Kingdom (1)","2","Female","04","Emigrants: All destinations","Thousand","8.7"
"PEA18","Estimated Migration (Persons in April)","1987","1987","GB1","United Kingdom (1)","2","Female","05","Immigrants: All origins","Thousand","4"
"PEA18","Estimated Migration (Persons in April)","1987","1987","US","United States","-","Both sexes","01","Net migration","Thousand","-6.9"
"PEA18","Estimated Migration (Persons in April)","1987","1987","US","United States","-","Both sexes","04","Emigrants: All destinations","Thousand","9.9"
"PEA18","Estimated Migration (Persons in April)","1987","1987","US","United States","-","Both sexes","05","Immigrants: All origins","Thousand","3"
"PEA18","Estimated Migration (Persons in April)","1987","1987","US","United States","1","Male","01","Net migration","Thousand","-3.6"
"PEA18","Estimated Migration (Persons in April)","1987","1987","US","United States","1","Male","04","Emigrants: All destinations","Thousand","4.8"
"PEA18","Estimated Migration (Persons in April)","1987","1987","US","United States","1","Male","05","Immigrants: All origins","Thousand","1.2"
"PEA18","Estimated Migration (Persons in April)","1987","1987","US","United States","2","Female","01","Net migration","Thousand","-3.5"
"PEA18","Estimated Migration (Persons in April)","1987","1987","US","United States","2","Female","04","Emigrants: All destinations","Thousand","5.2"
"PEA18","Estimated Migration (Persons in April)","1987","1987","US","United States","2","Female","05","Immigrants: All origins","Thousand","1.7"
"PEA18","Estimated Migration (Persons in April)","1987","1987","CA","Canada","-","Both sexes","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","CA","Canada","-","Both sexes","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","CA","Canada","-","Both sexes","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","CA","Canada","1","Male","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","CA","Canada","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","CA","Canada","1","Male","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","CA","Canada","2","Female","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","CA","Canada","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","CA","Canada","2","Female","05","Immigrants: All origins","Thousand",""
