"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02076V03371","Age Group","C02199V02655","Sex","C02542V03077","Inward or Outward Flow","UNIT","VALUE"
"PEA03","Estimated Migration (Persons in April)","1987","1987","-","All ages","-","Both sexes","01","Net migration","Thousand","-23"
"PEA03","Estimated Migration (Persons in April)","1987","1987","-","All ages","-","Both sexes","04","Emigrants: All destinations","Thousand","40.2"
"PEA03","Estimated Migration (Persons in April)","1987","1987","-","All ages","-","Both sexes","05","Immigrants: All origins","Thousand","17.2"
"PEA03","Estimated Migration (Persons in April)","1987","1987","-","All ages","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","-","All ages","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","-","All ages","1","Male","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","-","All ages","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","-","All ages","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","-","All ages","2","Female","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","215","0 - 14 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","215","0 - 14 years","-","Both sexes","04","Emigrants: All destinations","Thousand","2.8"
"PEA03","Estimated Migration (Persons in April)","1987","1987","215","0 - 14 years","-","Both sexes","05","Immigrants: All origins","Thousand","3.1"
"PEA03","Estimated Migration (Persons in April)","1987","1987","215","0 - 14 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","215","0 - 14 years","1","Male","04","Emigrants: All destinations","Thousand","1.4"
"PEA03","Estimated Migration (Persons in April)","1987","1987","215","0 - 14 years","1","Male","05","Immigrants: All origins","Thousand","1.3"
"PEA03","Estimated Migration (Persons in April)","1987","1987","215","0 - 14 years","2","Female","01","Net migration","Thousand",""
