"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C04004V04762","Citizenship","UNIT","VALUE"
"PEA25","Estimated Population","2006","2006","-","Both sexes","-","All Countries","Thousand","4232.9"
"PEA25","Estimated Population","2006","2006","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","43.8"
"PEA25","Estimated Population","2006","2006","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","132.5"
"PEA25","Estimated Population","2006","2006","-","Both sexes","GB","United Kingdom","Thousand","115.5"
"PEA25","Estimated Population","2006","2006","-","Both sexes","IE","Ireland","Thousand","3802.4"
"PEA25","Estimated Population","2006","2006","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","138.8"
"PEA25","Estimated Population","2006","2006","1","Male","-","All Countries","Thousand","2117.3"
"PEA25","Estimated Population","2006","2006","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","21.3"
"PEA25","Estimated Population","2006","2006","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","79.9"
"PEA25","Estimated Population","2006","2006","1","Male","GB","United Kingdom","Thousand","57.8"
"PEA25","Estimated Population","2006","2006","1","Male","IE","Ireland","Thousand","1887.4"
"PEA25","Estimated Population","2006","2006","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","70.9"
"PEA25","Estimated Population","2006","2006","2","Female","-","All Countries","Thousand","2115.6"
"PEA25","Estimated Population","2006","2006","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","22.5"
"PEA25","Estimated Population","2006","2006","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","52.6"
"PEA25","Estimated Population","2006","2006","2","Female","GB","United Kingdom","Thousand","57.7"
"PEA25","Estimated Population","2006","2006","2","Female","IE","Ireland","Thousand","1914.9"
"PEA25","Estimated Population","2006","2006","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","67.9"
"PEA25","Estimated Population","2007","2007","-","Both sexes","-","All Countries","Thousand","4375.8"
"PEA25","Estimated Population","2007","2007","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","47"
"PEA25","Estimated Population","2007","2007","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","207.6"
"PEA25","Estimated Population","2007","2007","-","Both sexes","GB","United Kingdom","Thousand","115.5"
"PEA25","Estimated Population","2007","2007","-","Both sexes","IE","Ireland","Thousand","3856.2"
"PEA25","Estimated Population","2007","2007","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","149.6"
"PEA25","Estimated Population","2007","2007","1","Male","-","All Countries","Thousand","2191.3"
"PEA25","Estimated Population","2007","2007","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","21.8"
"PEA25","Estimated Population","2007","2007","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","120.3"
"PEA25","Estimated Population","2007","2007","1","Male","GB","United Kingdom","Thousand","57.6"
"PEA25","Estimated Population","2007","2007","1","Male","IE","Ireland","Thousand","1915.7"
"PEA25","Estimated Population","2007","2007","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","75.9"
"PEA25","Estimated Population","2007","2007","2","Female","-","All Countries","Thousand","2184.6"
"PEA25","Estimated Population","2007","2007","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.2"
"PEA25","Estimated Population","2007","2007","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","87.4"
"PEA25","Estimated Population","2007","2007","2","Female","GB","United Kingdom","Thousand","57.9"
"PEA25","Estimated Population","2007","2007","2","Female","IE","Ireland","Thousand","1940.5"
"PEA25","Estimated Population","2007","2007","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","73.7"
"PEA25","Estimated Population","2008","2008","-","Both sexes","-","All Countries","Thousand","4485.1"
"PEA25","Estimated Population","2008","2008","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","50.8"
"PEA25","Estimated Population","2008","2008","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","247.7"
"PEA25","Estimated Population","2008","2008","-","Both sexes","GB","United Kingdom","Thousand","117.9"
"PEA25","Estimated Population","2008","2008","-","Both sexes","IE","Ireland","Thousand","3909.5"
"PEA25","Estimated Population","2008","2008","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","159.2"
"PEA25","Estimated Population","2008","2008","1","Male","-","All Countries","Thousand","2238.6"
"PEA25","Estimated Population","2008","2008","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","23.7"
"PEA25","Estimated Population","2008","2008","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","133.9"
"PEA25","Estimated Population","2008","2008","1","Male","GB","United Kingdom","Thousand","58.9"
"PEA25","Estimated Population","2008","2008","1","Male","IE","Ireland","Thousand","1942.3"
"PEA25","Estimated Population","2008","2008","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","79.8"
"PEA25","Estimated Population","2008","2008","2","Female","-","All Countries","Thousand","2246.5"
"PEA25","Estimated Population","2008","2008","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","27.1"
"PEA25","Estimated Population","2008","2008","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","113.8"
