"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02076V02508","Age Group","C02199V02655","Sex","C02196V04140","Region","UNIT","VALUE"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","-","Both sexes","-","State","Thousand","356"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","-","Both sexes","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","30.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","-","Both sexes","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","32.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","-","Both sexes","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","35"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","-","Both sexes","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","32"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","-","Both sexes","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","50.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","-","Both sexes","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","93.3"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","-","Both sexes","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","58.5"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","-","Both sexes","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","23.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","1","Male","-","State","Thousand","182"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","1","Male","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","15.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","1","Male","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","16.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","1","Male","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","18"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","1","Male","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","16.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","1","Male","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","25.5"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","1","Male","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","47.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","1","Male","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","29.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","1","Male","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","12.3"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","2","Female","-","State","Thousand","174.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","2","Female","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","15"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","2","Female","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","16"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","2","Female","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","17"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","2","Female","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","15.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","2","Female","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","24.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","2","Female","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","45.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","2","Female","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","28.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","205","0 - 4 years","2","Female","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","11.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","-","Both sexes","-","State","Thousand","319.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","-","Both sexes","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","28.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","-","Both sexes","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","30.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","-","Both sexes","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","32.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","-","Both sexes","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","30.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","-","Both sexes","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","44.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","-","Both sexes","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","78.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","-","Both sexes","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","52.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","-","Both sexes","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","21.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","1","Male","-","State","Thousand","163.5"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","1","Male","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","14.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","1","Male","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","15.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","1","Male","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","16.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","1","Male","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","15.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","1","Male","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","23"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","1","Male","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","40"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","1","Male","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","27"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","1","Male","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","11.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","2","Female","-","State","Thousand","156.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","2","Female","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","13.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","2","Female","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","15.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","2","Female","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","16"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","2","Female","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","14.7"
