"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02076V03371","Single Year of Age","C02199V02655","Sex","UNIT","VALUE"
"PEA11","Population estimates from 1926","1926","1926","-","All ages","-","Both sexes","Number","2971992"
"PEA11","Population estimates from 1926","1926","1926","-","All ages","1","Male","Number","1506889"
"PEA11","Population estimates from 1926","1926","1926","-","All ages","2","Female","Number","1465103"
"PEA11","Population estimates from 1926","1926","1926","200","Under 1 year","-","Both sexes","Number","55391"
"PEA11","Population estimates from 1926","1926","1926","200","Under 1 year","1","Male","Number","28084"
"PEA11","Population estimates from 1926","1926","1926","200","Under 1 year","2","Female","Number","27307"
"PEA11","Population estimates from 1926","1926","1926","001","1 year","-","Both sexes","Number","55876"
"PEA11","Population estimates from 1926","1926","1926","001","1 year","1","Male","Number","28374"
"PEA11","Population estimates from 1926","1926","1926","001","1 year","2","Female","Number","27502"
"PEA11","Population estimates from 1926","1926","1926","002","2 years","-","Both sexes","Number","58273"
"PEA11","Population estimates from 1926","1926","1926","002","2 years","1","Male","Number","29728"
"PEA11","Population estimates from 1926","1926","1926","002","2 years","2","Female","Number","28545"
"PEA11","Population estimates from 1926","1926","1926","003","3 years","-","Both sexes","Number","59050"
"PEA11","Population estimates from 1926","1926","1926","003","3 years","1","Male","Number","29872"
"PEA11","Population estimates from 1926","1926","1926","003","3 years","2","Female","Number","29178"
"PEA11","Population estimates from 1926","1926","1926","004","4 years","-","Both sexes","Number","59123"
"PEA11","Population estimates from 1926","1926","1926","004","4 years","1","Male","Number","30115"
"PEA11","Population estimates from 1926","1926","1926","004","4 years","2","Female","Number","29008"
"PEA11","Population estimates from 1926","1926","1926","005","5 years","-","Both sexes","Number","60334"
"PEA11","Population estimates from 1926","1926","1926","005","5 years","1","Male","Number","30730"
"PEA11","Population estimates from 1926","1926","1926","005","5 years","2","Female","Number","29604"
"PEA11","Population estimates from 1926","1926","1926","006","6 years","-","Both sexes","Number","59937"
"PEA11","Population estimates from 1926","1926","1926","006","6 years","1","Male","Number","30678"
"PEA11","Population estimates from 1926","1926","1926","006","6 years","2","Female","Number","29259"
"PEA11","Population estimates from 1926","1926","1926","007","7 years","-","Both sexes","Number","56040"
"PEA11","Population estimates from 1926","1926","1926","007","7 years","1","Male","Number","28401"
"PEA11","Population estimates from 1926","1926","1926","007","7 years","2","Female","Number","27639"
"PEA11","Population estimates from 1926","1926","1926","008","8 years","-","Both sexes","Number","53418"
"PEA11","Population estimates from 1926","1926","1926","008","8 years","1","Male","Number","26982"
"PEA11","Population estimates from 1926","1926","1926","008","8 years","2","Female","Number","26436"
"PEA11","Population estimates from 1926","1926","1926","009","9 years","-","Both sexes","Number","54904"
"PEA11","Population estimates from 1926","1926","1926","009","9 years","1","Male","Number","27973"
"PEA11","Population estimates from 1926","1926","1926","009","9 years","2","Female","Number","26931"
"PEA11","Population estimates from 1926","1926","1926","010","10 years","-","Both sexes","Number","57306"
