"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02076V02508","Age Group","C02199V02655","Sex","UNIT","VALUE"
"PEA01","Population Estimates (Persons in April)","1950","1950","200","Under 1 year","-","Both sexes","Thousand","61.1"
"PEA01","Population Estimates (Persons in April)","1950","1950","200","Under 1 year","1","Male","Thousand","31.4"
"PEA01","Population Estimates (Persons in April)","1950","1950","200","Under 1 year","2","Female","Thousand","29.7"
"PEA01","Population Estimates (Persons in April)","1950","1950","205","0 - 4 years","-","Both sexes","Thousand",""
"PEA01","Population Estimates (Persons in April)","1950","1950","205","0 - 4 years","1","Male","Thousand",""
"PEA01","Population Estimates (Persons in April)","1950","1950","205","0 - 4 years","2","Female","Thousand",""
"PEA01","Population Estimates (Persons in April)","1950","1950","215","0 - 14 years","-","Both sexes","Thousand","851.2"
"PEA01","Population Estimates (Persons in April)","1950","1950","215","0 - 14 years","1","Male","Thousand","434.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","215","0 - 14 years","2","Female","Thousand","416.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","225","1 - 4 years","-","Both sexes","Thousand","249.1"
"PEA01","Population Estimates (Persons in April)","1950","1950","225","1 - 4 years","1","Male","Thousand","127.5"
"PEA01","Population Estimates (Persons in April)","1950","1950","225","1 - 4 years","2","Female","Thousand","121.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","245","5 - 9 years","-","Both sexes","Thousand","278.9"
"PEA01","Population Estimates (Persons in April)","1950","1950","245","5 - 9 years","1","Male","Thousand","142.3"
"PEA01","Population Estimates (Persons in April)","1950","1950","245","5 - 9 years","2","Female","Thousand","136.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","265","10 - 14 years","-","Both sexes","Thousand","262.1"
"PEA01","Population Estimates (Persons in April)","1950","1950","265","10 - 14 years","1","Male","Thousand","133.4"
"PEA01","Population Estimates (Persons in April)","1950","1950","265","10 - 14 years","2","Female","Thousand","128.7"
"PEA01","Population Estimates (Persons in April)","1950","1950","300","15 - 19 years","-","Both sexes","Thousand","244"
"PEA01","Population Estimates (Persons in April)","1950","1950","300","15 - 19 years","1","Male","Thousand","126.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","300","15 - 19 years","2","Female","Thousand","117.4"
"PEA01","Population Estimates (Persons in April)","1950","1950","310","15 - 24 years","-","Both sexes","Thousand","452.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","310","15 - 24 years","1","Male","Thousand","234.9"
"PEA01","Population Estimates (Persons in April)","1950","1950","310","15 - 24 years","2","Female","Thousand","217.7"
"PEA01","Population Estimates (Persons in April)","1950","1950","320","15 years and over","-","Both sexes","Thousand","2117.8"
"PEA01","Population Estimates (Persons in April)","1950","1950","320","15 years and over","1","Male","Thousand","1075.4"
"PEA01","Population Estimates (Persons in April)","1950","1950","320","15 years and over","2","Female","Thousand","1042.4"
"PEA01","Population Estimates (Persons in April)","1950","1950","365","20 - 24 years","-","Both sexes","Thousand","208.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","365","20 - 24 years","1","Male","Thousand","108.3"
"PEA01","Population Estimates (Persons in April)","1950","1950","365","20 - 24 years","2","Female","Thousand","100.3"
"PEA01","Population Estimates (Persons in April)","1950","1950","410","25 - 29 years","-","Both sexes","Thousand","201.1"
"PEA01","Population Estimates (Persons in April)","1950","1950","410","25 - 29 years","1","Male","Thousand","100.9"
"PEA01","Population Estimates (Persons in April)","1950","1950","410","25 - 29 years","2","Female","Thousand","100.2"
"PEA01","Population Estimates (Persons in April)","1950","1950","420","25 - 44 years","-","Both sexes","Thousand","773.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","420","25 - 44 years","1","Male","Thousand","393.4"
"PEA01","Population Estimates (Persons in April)","1950","1950","420","25 - 44 years","2","Female","Thousand","380.2"
"PEA01","Population Estimates (Persons in April)","1950","1950","440","30 - 34 years","-","Both sexes","Thousand","194.8"
"PEA01","Population Estimates (Persons in April)","1950","1950","440","30 - 34 years","1","Male","Thousand","98.3"
"PEA01","Population Estimates (Persons in April)","1950","1950","440","30 - 34 years","2","Female","Thousand","96.5"
"PEA01","Population Estimates (Persons in April)","1950","1950","460","35 - 39 years","-","Both sexes","Thousand","199.8"
"PEA01","Population Estimates (Persons in April)","1950","1950","460","35 - 39 years","1","Male","Thousand","101.8"
"PEA01","Population Estimates (Persons in April)","1950","1950","460","35 - 39 years","2","Female","Thousand","98"
"PEA01","Population Estimates (Persons in April)","1950","1950","475","40 - 44 years","-","Both sexes","Thousand","177.9"
"PEA01","Population Estimates (Persons in April)","1950","1950","475","40 - 44 years","1","Male","Thousand","92.4"
"PEA01","Population Estimates (Persons in April)","1950","1950","475","40 - 44 years","2","Female","Thousand","85.5"
"PEA01","Population Estimates (Persons in April)","1950","1950","495","45 - 49 years","-","Both sexes","Thousand","163.8"
"PEA01","Population Estimates (Persons in April)","1950","1950","495","45 - 49 years","1","Male","Thousand","83.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","495","45 - 49 years","2","Female","Thousand","80.2"
"PEA01","Population Estimates (Persons in April)","1950","1950","505","45 - 64 years","-","Both sexes","Thousand","574.5"
"PEA01","Population Estimates (Persons in April)","1950","1950","505","45 - 64 years","1","Male","Thousand","291.3"
"PEA01","Population Estimates (Persons in April)","1950","1950","505","45 - 64 years","2","Female","Thousand","283.2"
"PEA01","Population Estimates (Persons in April)","1950","1950","515","50 - 54 years","-","Both sexes","Thousand","158.4"
"PEA01","Population Estimates (Persons in April)","1950","1950","515","50 - 54 years","1","Male","Thousand","80.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","515","50 - 54 years","2","Female","Thousand","77.8"
"PEA01","Population Estimates (Persons in April)","1950","1950","530","55 - 59 years","-","Both sexes","Thousand","130.4"
"PEA01","Population Estimates (Persons in April)","1950","1950","530","55 - 59 years","1","Male","Thousand","65.8"
"PEA01","Population Estimates (Persons in April)","1950","1950","530","55 - 59 years","2","Female","Thousand","64.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","550","60 - 64 years","-","Both sexes","Thousand","121.9"
"PEA01","Population Estimates (Persons in April)","1950","1950","550","60 - 64 years","1","Male","Thousand","61.3"
"PEA01","Population Estimates (Persons in April)","1950","1950","550","60 - 64 years","2","Female","Thousand","60.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","565","65 - 69 years","-","Both sexes","Thousand","109.3"
"PEA01","Population Estimates (Persons in April)","1950","1950","565","65 - 69 years","1","Male","Thousand","55.2"
"PEA01","Population Estimates (Persons in April)","1950","1950","565","65 - 69 years","2","Female","Thousand","54.1"
"PEA01","Population Estimates (Persons in April)","1950","1950","575","65 years and over","-","Both sexes","Thousand","317.1"
"PEA01","Population Estimates (Persons in April)","1950","1950","575","65 years and over","1","Male","Thousand","155.8"
"PEA01","Population Estimates (Persons in April)","1950","1950","575","65 years and over","2","Female","Thousand","161.3"
"PEA01","Population Estimates (Persons in April)","1950","1950","580","70 - 74 years","-","Both sexes","Thousand","100.4"
"PEA01","Population Estimates (Persons in April)","1950","1950","580","70 - 74 years","1","Male","Thousand","49.5"
"PEA01","Population Estimates (Persons in April)","1950","1950","580","70 - 74 years","2","Female","Thousand","50.9"
"PEA01","Population Estimates (Persons in April)","1950","1950","595","75 - 79 years","-","Both sexes","Thousand","64"
"PEA01","Population Estimates (Persons in April)","1950","1950","595","75 - 79 years","1","Male","Thousand","31.4"
"PEA01","Population Estimates (Persons in April)","1950","1950","595","75 - 79 years","2","Female","Thousand","32.6"
"PEA01","Population Estimates (Persons in April)","1950","1950","610","80 - 84 years","-","Both sexes","Thousand","30.1"
"PEA01","Population Estimates (Persons in April)","1950","1950","610","80 - 84 years","1","Male","Thousand","14.2"
"PEA01","Population Estimates (Persons in April)","1950","1950","610","80 - 84 years","2","Female","Thousand","15.9"
"PEA01","Population Estimates (Persons in April)","1950","1950","630","85 years and over","-","Both sexes","Thousand","13.3"
"PEA01","Population Estimates (Persons in April)","1950","1950","630","85 years and over","1","Male","Thousand","5.5"
"PEA01","Population Estimates (Persons in April)","1950","1950","630","85 years and over","2","Female","Thousand","7.8"
"PEA01","Population Estimates (Persons in April)","1950","1950","-","All ages","-","Both sexes","Thousand","2969"
"PEA01","Population Estimates (Persons in April)","1950","1950","-","All ages","1","Male","Thousand","1510"
"PEA01","Population Estimates (Persons in April)","1950","1950","-","All ages","2","Female","Thousand","1459"
"PEA01","Population Estimates (Persons in April)","1951","1951","200","Under 1 year","-","Both sexes","Thousand","63.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","200","Under 1 year","1","Male","Thousand","32.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","200","Under 1 year","2","Female","Thousand","30.9"
"PEA01","Population Estimates (Persons in April)","1951","1951","205","0 - 4 years","-","Both sexes","Thousand","312.9"
"PEA01","Population Estimates (Persons in April)","1951","1951","205","0 - 4 years","1","Male","Thousand","160"
"PEA01","Population Estimates (Persons in April)","1951","1951","205","0 - 4 years","2","Female","Thousand","152.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","215","0 - 14 years","-","Both sexes","Thousand","854.8"
"PEA01","Population Estimates (Persons in April)","1951","1951","215","0 - 14 years","1","Male","Thousand","436.4"
"PEA01","Population Estimates (Persons in April)","1951","1951","215","0 - 14 years","2","Female","Thousand","418.4"
"PEA01","Population Estimates (Persons in April)","1951","1951","225","1 - 4 years","-","Both sexes","Thousand","249.3"
"PEA01","Population Estimates (Persons in April)","1951","1951","225","1 - 4 years","1","Male","Thousand","127.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","225","1 - 4 years","2","Female","Thousand","121.7"
"PEA01","Population Estimates (Persons in April)","1951","1951","245","5 - 9 years","-","Both sexes","Thousand","281"
"PEA01","Population Estimates (Persons in April)","1951","1951","245","5 - 9 years","1","Male","Thousand","143.5"
"PEA01","Population Estimates (Persons in April)","1951","1951","245","5 - 9 years","2","Female","Thousand","137.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","265","10 - 14 years","-","Both sexes","Thousand","260.9"
"PEA01","Population Estimates (Persons in April)","1951","1951","265","10 - 14 years","1","Male","Thousand","132.7"
"PEA01","Population Estimates (Persons in April)","1951","1951","265","10 - 14 years","2","Female","Thousand","128.2"
"PEA01","Population Estimates (Persons in April)","1951","1951","300","15 - 19 years","-","Both sexes","Thousand","241.2"
"PEA01","Population Estimates (Persons in April)","1951","1951","300","15 - 19 years","1","Male","Thousand","125.7"
"PEA01","Population Estimates (Persons in April)","1951","1951","300","15 - 19 years","2","Female","Thousand","115.4"
"PEA01","Population Estimates (Persons in April)","1951","1951","310","15 - 24 years","-","Both sexes","Thousand","443.4"
"PEA01","Population Estimates (Persons in April)","1951","1951","310","15 - 24 years","1","Male","Thousand","231.1"
"PEA01","Population Estimates (Persons in April)","1951","1951","310","15 - 24 years","2","Female","Thousand","212.2"
"PEA01","Population Estimates (Persons in April)","1951","1951","320","15 years and over","-","Both sexes","Thousand","2105.8"
"PEA01","Population Estimates (Persons in April)","1951","1951","320","15 years and over","1","Male","Thousand","1070.2"
"PEA01","Population Estimates (Persons in April)","1951","1951","320","15 years and over","2","Female","Thousand","1035.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","365","20 - 24 years","-","Both sexes","Thousand","202.2"
"PEA01","Population Estimates (Persons in April)","1951","1951","365","20 - 24 years","1","Male","Thousand","105.4"
"PEA01","Population Estimates (Persons in April)","1951","1951","365","20 - 24 years","2","Female","Thousand","96.8"
"PEA01","Population Estimates (Persons in April)","1951","1951","410","25 - 29 years","-","Both sexes","Thousand","198.4"
"PEA01","Population Estimates (Persons in April)","1951","1951","410","25 - 29 years","1","Male","Thousand","99.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","410","25 - 29 years","2","Female","Thousand","98.8"
"PEA01","Population Estimates (Persons in April)","1951","1951","420","25 - 44 years","-","Both sexes","Thousand","771.2"
"PEA01","Population Estimates (Persons in April)","1951","1951","420","25 - 44 years","1","Male","Thousand","392.3"
"PEA01","Population Estimates (Persons in April)","1951","1951","420","25 - 44 years","2","Female","Thousand","378.9"
"PEA01","Population Estimates (Persons in April)","1951","1951","440","30 - 34 years","-","Both sexes","Thousand","191.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","440","30 - 34 years","1","Male","Thousand","96.4"
"PEA01","Population Estimates (Persons in April)","1951","1951","440","30 - 34 years","2","Female","Thousand","95.1"
"PEA01","Population Estimates (Persons in April)","1951","1951","460","35 - 39 years","-","Both sexes","Thousand","200.9"
"PEA01","Population Estimates (Persons in April)","1951","1951","460","35 - 39 years","1","Male","Thousand","102.3"
"PEA01","Population Estimates (Persons in April)","1951","1951","460","35 - 39 years","2","Female","Thousand","98.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","475","40 - 44 years","-","Both sexes","Thousand","180.3"
"PEA01","Population Estimates (Persons in April)","1951","1951","475","40 - 44 years","1","Male","Thousand","94"
"PEA01","Population Estimates (Persons in April)","1951","1951","475","40 - 44 years","2","Female","Thousand","86.3"
"PEA01","Population Estimates (Persons in April)","1951","1951","495","45 - 49 years","-","Both sexes","Thousand","160.9"
"PEA01","Population Estimates (Persons in April)","1951","1951","495","45 - 49 years","1","Male","Thousand","82.4"
"PEA01","Population Estimates (Persons in April)","1951","1951","495","45 - 49 years","2","Female","Thousand","78.5"
"PEA01","Population Estimates (Persons in April)","1951","1951","505","45 - 64 years","-","Both sexes","Thousand","574.8"
"PEA01","Population Estimates (Persons in April)","1951","1951","505","45 - 64 years","1","Male","Thousand","291.7"
"PEA01","Population Estimates (Persons in April)","1951","1951","505","45 - 64 years","2","Female","Thousand","283.1"
"PEA01","Population Estimates (Persons in April)","1951","1951","515","50 - 54 years","-","Both sexes","Thousand","163"
"PEA01","Population Estimates (Persons in April)","1951","1951","515","50 - 54 years","1","Male","Thousand","82.9"
"PEA01","Population Estimates (Persons in April)","1951","1951","515","50 - 54 years","2","Female","Thousand","80.1"
"PEA01","Population Estimates (Persons in April)","1951","1951","530","55 - 59 years","-","Both sexes","Thousand","128.8"
"PEA01","Population Estimates (Persons in April)","1951","1951","530","55 - 59 years","1","Male","Thousand","65"
"PEA01","Population Estimates (Persons in April)","1951","1951","530","55 - 59 years","2","Female","Thousand","63.8"
"PEA01","Population Estimates (Persons in April)","1951","1951","550","60 - 64 years","-","Both sexes","Thousand","122.1"
"PEA01","Population Estimates (Persons in April)","1951","1951","550","60 - 64 years","1","Male","Thousand","61.3"
"PEA01","Population Estimates (Persons in April)","1951","1951","550","60 - 64 years","2","Female","Thousand","60.7"
"PEA01","Population Estimates (Persons in April)","1951","1951","565","65 - 69 years","-","Both sexes","Thousand","107.5"
"PEA01","Population Estimates (Persons in April)","1951","1951","565","65 - 69 years","1","Male","Thousand","54.1"
"PEA01","Population Estimates (Persons in April)","1951","1951","565","65 - 69 years","2","Female","Thousand","53.4"
"PEA01","Population Estimates (Persons in April)","1951","1951","575","65 years and over","-","Both sexes","Thousand","316.4"
"PEA01","Population Estimates (Persons in April)","1951","1951","575","65 years and over","1","Male","Thousand","155"
"PEA01","Population Estimates (Persons in April)","1951","1951","575","65 years and over","2","Female","Thousand","161.4"
