,STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02196V02652,State,UNIT,VALUE,Year,Quarter No
0,NAQ03C01,GVA at Constant Basic Prices,19951,1995Q1,-,State,Euro Million,21283,1995,1
1,NAQ03C01,GVA at Constant Basic Prices,19952,1995Q2,-,State,Euro Million,22083,1995,2
2,NAQ03C01,GVA at Constant Basic Prices,19953,1995Q3,-,State,Euro Million,22529,1995,3
3,NAQ03C01,GVA at Constant Basic Prices,19954,1995Q4,-,State,Euro Million,22342,1995,4
4,NAQ03C01,GVA at Constant Basic Prices,19961,1996Q1,-,State,Euro Million,22989,1996,1
5,NAQ03C01,GVA at Constant Basic Prices,19962,1996Q2,-,State,Euro Million,24022,1996,2
6,NAQ03C01,GVA at Constant Basic Prices,19963,1996Q3,-,State,Euro Million,23775,1996,3
7,NAQ03C01,GVA at Constant Basic Prices,19964,1996Q4,-,State,Euro Million,23722,1996,4
8,NAQ03C01,GVA at Constant Basic Prices,19971,1997Q1,-,State,Euro Million,24656,1997,1
9,NAQ03C01,GVA at Constant Basic Prices,19972,1997Q2,-,State,Euro Million,26327,1997,2
10,NAQ03C01,GVA at Constant Basic Prices,19973,1997Q3,-,State,Euro Million,26393,1997,3
11,NAQ03C01,GVA at Constant Basic Prices,19974,1997Q4,-,State,Euro Million,26941,1997,4
12,NAQ03C01,GVA at Constant Basic Prices,19981,1998Q1,-,State,Euro Million,27120,1998,1
13,NAQ03C01,GVA at Constant Basic Prices,19982,1998Q2,-,State,Euro Million,28211,1998,2
14,NAQ03C01,GVA at Constant Basic Prices,19983,1998Q3,-,State,Euro Million,29099,1998,3
15,NAQ03C01,GVA at Constant Basic Prices,19984,1998Q4,-,State,Euro Million,28387,1998,4
16,NAQ03C01,GVA at Constant Basic Prices,19991,1999Q1,-,State,Euro Million,29589,1999,1
17,NAQ03C01,GVA at Constant Basic Prices,19992,1999Q2,-,State,Euro Million,30060,1999,2
18,NAQ03C01,GVA at Constant Basic Prices,19993,1999Q3,-,State,Euro Million,31697,1999,3
19,NAQ03C01,GVA at Constant Basic Prices,19994,1999Q4,-,State,Euro Million,32547,1999,4
20,NAQ03C01,GVA at Constant Basic Prices,20001,2000Q1,-,State,Euro Million,31694,2000,1
21,NAQ03C01,GVA at Constant Basic Prices,20002,2000Q2,-,State,Euro Million,33709,2000,2
22,NAQ03C01,GVA at Constant Basic Prices,20003,2000Q3,-,State,Euro Million,33964,2000,3
23,NAQ03C01,GVA at Constant Basic Prices,20004,2000Q4,-,State,Euro Million,35794,2000,4
24,NAQ03C01,GVA at Constant Basic Prices,20011,2001Q1,-,State,Euro Million,34388,2001,1
25,NAQ03C01,GVA at Constant Basic Prices,20012,2001Q2,-,State,Euro Million,36216,2001,2
26,NAQ03C01,GVA at Constant Basic Prices,20013,2001Q3,-,State,Euro Million,35403,2001,3
27,NAQ03C01,GVA at Constant Basic Prices,20014,2001Q4,-,State,Euro Million,37306,2001,4
28,NAQ03C01,GVA at Constant Basic Prices,20021,2002Q1,-,State,Euro Million,36458,2002,1
29,NAQ03C01,GVA at Constant Basic Prices,20022,2002Q2,-,State,Euro Million,38304,2002,2
30,NAQ03C01,GVA at Constant Basic Prices,20023,2002Q3,-,State,Euro Million,37588,2002,3
31,NAQ03C01,GVA at Constant Basic Prices,20024,2002Q4,-,State,Euro Million,39908,2002,4
32,NAQ03C01,GVA at Constant Basic Prices,20031,2003Q1,-,State,Euro Million,37115,2003,1
33,NAQ03C01,GVA at Constant Basic Prices,20032,2003Q2,-,State,Euro Million,39370,2003,2
34,NAQ03C01,GVA at Constant Basic Prices,20033,2003Q3,-,State,Euro Million,37639,2003,3
35,NAQ03C01,GVA at Constant Basic Prices,20034,2003Q4,-,State,Euro Million,42136,2003,4
36,NAQ03C01,GVA at Constant Basic Prices,20041,2004Q1,-,State,Euro Million,39864,2004,1
37,NAQ03C01,GVA at Constant Basic Prices,20042,2004Q2,-,State,Euro Million,42577,2004,2
38,NAQ03C01,GVA at Constant Basic Prices,20043,2004Q3,-,State,Euro Million,40120,2004,3
