Year,Natural Increase (K),Net Migration (K),Population (K),Population Change (K),GDP (B)
1960,27.5,-41.0,2832.1,-13.5,0.9
1961,26.2,-40.0,2818.3,-13.8,0.9
1962,26.8,-15.0,2830.1,11.8,1.0
1963,27.9,-8.0,2850.0,19.9,1.1
1964,30.8,-17.0,2863.8,13.8,1.3
1965,32.0,-20.0,2875.8,12.0,1.3
1966,29.2,-21.0,2884.0,8.2,1.4
1967,28.7,-13.0,2899.7,15.7,1.5
1968,28.5,-16.0,2912.2,12.5,1.7
1969,28.0,-15.0,2925.2,13.0,2.0
1970,29.7,-5.0,2949.9,24.7,2.3
1971,33.3,-5.0,2978.2,28.3,2.7
1972,35.2,11.0,3024.4,46.2,3.2
1973,35.6,13.0,3073.0,48.6,3.9
1974,34.9,16.0,3123.9,50.9,4.3
1975,33.3,20.0,3177.2,53.3,5.4
1976,34.6,16.0,3227.8,50.6,6.7
1977,34.1,10.0,3271.9,44.1,8.2
1978,35.1,7.0,3314.0,42.1,9.7
1979,38.2,16.0,3368.2,54.2,11.4
1980,40.8,-8.0,3401.0,32.8,13.4
1981,40.4,2.0,3443.4,42.4,16.3
1982,37.6,-1.0,3480.0,36.6,19.2
1983,38.0,-14.0,3504.0,24.0,21.2
1984,34.0,-9.0,3529.0,25.0,23.6
1985,31.0,-20.0,3540.0,11.0,25.5
1986,28.6,-28.0,3540.6,0.6,27.1
1987,29.0,-23.0,3546.5,5.9,29.0
1988,26.2,-41.9,3530.7,-15.8,31.5
1989,22.6,-43.9,3509.5,-21.2,35.2
1990,19.1,-22.9,3505.8,-3.7,37.9
1991,22.0,-2.0,3525.7,19.9,39.3
1992,21.4,7.4,3554.5,28.8,41.7
1993,20.0,-0.4,3574.1,19.6,45.1
1994,16.6,-4.7,3585.9,11.8,48.5
1995,17.2,-1.9,3601.3,15.4,54.8
1996,16.7,8.0,3626.1,24.8,60.1
1997,19.0,19.2,3664.3,38.2,69.4
1998,21.5,17.4,3703.1,38.8,80.4
1999,21.2,17.3,3741.6,38.5,92.8
2000,21.8,26.0,3789.5,47.9,108.5
2001,24.8,32.8,3847.2,57.7,122.1
2002,28.8,41.3,3917.2,70.0,136.0
2003,31.9,30.7,3979.9,62.6,145.6
2004,33.3,32.0,4045.2,65.3,156.3
2005,33.5,55.1,4133.8,88.6,170.3
2006,34.2,71.8,4232.9,106.0,184.9
2007,38.2,104.8,4375.8,142.9,197.1
2008,44.9,64.3,4485.1,109.2,187.3
2009,46.7,1.6,4533.4,48.3,169.5
2010,48.8,-27.5,4554.8,21.4,167.4
2011,47.5,-27.4,4574.9,20.1,171.7
2012,44.5,-25.7,4593.7,18.8,175.6
2013,39.6,-18.7,4614.7,21.0,179.5
2014,39.2,-8.5,4645.4,30.8,195.1
2015,36.5,5.9,4687.8,42.3,263.0
2016,35.6,16.2,4739.6,51.8,270.2
2017,32.1,39.2,4810.9,71.3,297.8
2018,29.6,44.4,4884.9,74.0,326.6
2019,29.6,44.0,4958.5,73.6,356.7
2020,26.7,44.7,5029.9,71.4,372.8
2021,23.0,21.8,5074.7,44.8,426.3
2022,26.1,51.7,5184.0,77.8,502.6
