Year,Annual Births,Annual Deaths,Emigrants,Immigrants,Natural Increase,Net Migration,Population,Population Change,GDP
1951,,,,,26600.0,-35000.0,2960600.0,-8400.0,
1952,,,,,27300.0,-35000.0,2952900.0,-7700.0,
1953,,,,,29100.0,-33000.0,2949000.0,-3900.0,
1954,,,,,28200.0,-36000.0,2941200.0,-7800.0,
1955,,,,,24700.0,-45000.0,2920900.0,-20300.0,
1956,,,,,25600.0,-48000.0,2898500.0,-22400.0,
1957,,,,,27800.0,-41000.0,2885300.0,-13200.0,
1958,,,,,25400.0,-58000.0,2852700.0,-32600.0,
1959,,,,,24900.0,-32000.0,2845600.0,-7100.0,
1960,,,,,27500.0,-41000.0,2832100.0,-13500.0,879443520.0
1961,,,,,26200.0,-40000.0,2818300.0,-13800.0,946867776.0
1962,,,,,26800.0,-15000.0,2830100.0,11800.0,1025019008.0
1963,,,,,27900.0,-8000.0,2850000.0,19900.0,1102334336.0
1964,,,,,30800.0,-17000.0,2863800.0,13800.0,1254596480.0
1965,,,,,32000.0,-20000.0,2875800.0,12000.0,1335812224.0
1966,,,,,29200.0,-21000.0,2884000.0,8200.0,1407611520.0
1967,,,,,28700.0,-13000.0,2899700.0,15700.0,1537325184.0
1968,,,,,28500.0,-16000.0,2912200.0,12500.0,1734561280.0
1969,,,,,28000.0,-15000.0,2925200.0,13000.0,2003583488.0
1970,,,,,29700.0,-5000.0,2949900.0,24700.0,2325921000.0
1971,,,,,33300.0,-5000.0,2978200.0,28300.0,2660267000.0
1972,,,,,35200.0,11000.0,3024400.0,46200.0,3212102000.0
1973,,,,,35600.0,13000.0,3073000.0,48600.0,3877492000.0
1974,,,,,34900.0,16000.0,3123900.0,50900.0,4288785000.0
1975,,,,,33300.0,20000.0,3177200.0,53300.0,5443706000.0
1976,,,,,34600.0,16000.0,3227800.0,50600.0,6680024000.0
1977,,,,,34100.0,10000.0,3271900.0,44100.0,8187667000.0
1978,,,,,35100.0,7000.0,3314000.0,42100.0,9699903000.0
1979,,,,,38200.0,16000.0,3368200.0,54200.0,11365315000.0
1980,,,,,40800.0,-8000.0,3401000.0,32800.0,13438000000.0
1981,,,,,40400.0,2000.0,3443400.0,42400.0,16306713000.0
1982,,,,,37600.0,-1000.0,3480000.0,36600.0,19211314000.0
1983,,,,,38000.0,-14000.0,3504000.0,24000.0,21216671000.0
1984,,,,,34000.0,-9000.0,3529000.0,25000.0,23552928000.0
1985,,,,,31000.0,-20000.0,3540000.0,11000.0,25538905000.0
1986,,,,,28600.0,-28000.0,3540600.0,600.0,27095070000.0
1987,61200.0,32200.000000000004,40200.0,17200.0,29000.0,-23000.0,3546500.0,5900.0,28981691000.0
1988,57800.0,31600.0,61100.0,19200.0,26200.0,-41900.0,3530700.0,-15800.0,31483709000.0
1989,53600.0,31000.0,70600.0,26700.0,22600.0,-43900.0,3509500.0,-21200.0,35153676000.0
