Year,Annual births,Annual deaths,Emigrants,Immigrants,Natural increase,Net migration,Population,Population change,Both sexes,Female,Male,GDP,GNP,GVA
1998,52700.0,31200.0,28600.0,46000.0,21500.0,17400.0,3703100.0,38800.0,3703100.0,1864200.0,1838900.0,125594000000,117567000000,112817000000
1999,53700.0,32400.0,31500.0,48900.0,21200.0,17300.0,3741600.0,38500.0,3741600.0,1883000.0,1858600.0,138819000000,127088000000,123893000000
2000,54000.0,32100.0,26600.0,52600.0,21800.0,26000.0,3789500.0,47900.0,3789500.0,1906600.0,1882900.0,151873000000,138791000000,135161000000
2001,55100.0,30200.0,26200.0,59000.0,24800.0,32800.0,3847200.0,57700.0,3847200.0,1934100.0,1913100.0,159932000000,141356000000,143313000000
2002,58100.0,29300.0,25600.0,66900.0,28800.0,41300.0,3917200.0,70000.0,3917200.0,1971000.0,1946200.0,169366000000,144707000000,152258000000
2003,60800.0,28900.0,29300.0,60000.0,31900.0,30700.0,3979900.0,62600.0,3979900.0,2002900.0,1976900.0,174471000000,151555000000,156260000000
2004,62000.0,28600.0,26500.0,58500.0,33300.0,32000.0,4045200.0,65300.0,4045200.0,2033300.0,2011900.0,186315000000,162276000000,166155000000
2005,61400.0,27900.0,29400.0,84600.0,33500.0,55100.0,4133800.0,88600.0,4133800.0,2072000.0,2061800.0000000002,197008000000,171101000000,174006000000
2006,61200.0,27000.0,36000.0,107800.0,34200.0,71800.0,4232900.0,106000.0,4232900.0,2115600.0,2117300.0,206834000000,180814000000,181212000000
2007,66600.0,28400.0,46300.0,151100.0,38200.0,104800.0,4375800.0,142900.0,4375800.0,2184600.0,2191300.0,217818000000,187527000000,192763000000
2008,73000.0,28000.0,49200.0,113500.0,44900.0,64300.0,4485100.0,109200.0,4485100.0,2246500.0,2238600.0,208051000000,180139000000,187712000000
2009,75300.0,28600.0,72000.0,73700.0,46700.0,1600.0,4533400.0,48300.0,4533400.0,2276100.0,2257300.0,197450000000,165003000000,180811000000
2010,77200.0,28400.0,69200.0,41800.0,48800.0,-27500.0,4554800.0,21400.0,4554800.0,2292600.0,2262200.0,200772000000,171011000000,184048000000
2011,75100.0,27700.0,80600.0,53300.0,47500.0,-27400.0,4574900.0,20100.0,4574900.0,2304400.0,2270500.0,203343000000,166763000000,187495000000
2012,73200.0,28700.0,83000.0,57300.0,44500.0,-25700.0,4593700.0,18800.0,4593700.0,2318700.0,2275000.0,203080000000,166053000000,187102000000
2013,69400.0,29800.0,81300.0,62700.0,39600.0,-18700.0,4614700.0,21000.0,4614700.0,2328500.0,2286100.0,205466000000,175230000000,188780000000
2014,68400.0,29200.0,75000.0,66500.0,39200.0,-8500.0,4645400.0,30800.0,4645400.0,2346400.0,2299000.0,223606000000,191298000000,205224000000
2015,66400.0,29900.0,70000.0,75900.0,36500.0,5900.0,4687800.0,42300.0,4687800.0,2370100.0,2317700.0,278334000000,215863000000,258944000000
2016,65400.00000000001,29800.0,66200.0,82300.0,35600.0,16200.0,4739600.0,51800.0,4739600.0,2393100.0,2346500.0,283248000000,231361000000,262607000000
2017,63400.0,31300.0,56100.0,95300.0,32100.0,39200.0,4810900.0,71300.0,4810900.0,2430100.0,2380800.0,309621000000,246086000000,288222000000
2018,61600.0,32000.0,51600.0,96000.0,29600.0,44400.0,4884900.0,74000.0,4884900.0,2465400.0,2419500.0,335849000000,260724000000,313888000000
2019,60500.0,30900.0,53100.0,97100.0,29600.0,44000.0,4958500.0,73600.0,4958500.0,2502200.0,2456300.0,353641000000,273940000000,330084000000
2020,59100.0,32400.0,50900.0,95600.0,26700.0,44700.0,5029900.0,71400.0,5029900.0,2538100.0,2491800.0,377042000000,283779000000,356769000000
2021,57300.0,34300.0,52300.0,74100.0,23000.0,21800.0,5074700.0,44800.0,5074700.0,2560600.0,2514000.0,434069000000,323313000000,409387000000
2022,59700.0,33600.0,56100.0,107800.0,26100.0,51700.0,5184000.0,77800.0,5184000.0,2622000.0,2562000.0,475016000000,335904000000,450216000000
