Year,Statistic Label,Value
1995,GDP at Constant Market Prices,96861000000
1995,GDP at Constant Market Prices (Seasonally Adjusted),99549000000
1995,GDP at Current Market Prices,54759000000
1995,GDP at Current Market Prices (Seasonally Adjusted),54635000000
1995,GNP at Constant Market Prices,93108000000
1995,GNP at Constant Market Prices (Seasonally Adjusted),92550000000
1995,GNP at Current Market Prices,48811000000
1995,GNP at Current Market Prices (Seasonally Adjusted),48701000000
1995,GVA at Constant Basic Prices,88237000000
1995,GVA at Constant Basic Prices (Seasonally Adjusted),91072000000
1995,GVA at Current Basic Prices,49142000000
1995,GVA at Current Basic Prices (Seasonally Adjusted),49026000000
1995,Net Factor Income from Rest of World,-7025000000
1995,Net Factor Income from Rest of World (Seasonally Adjusted),-7000000000
1995,Net Factor Income from Rest of World at Current Prices,-5948000000
1995,Net Factor Income from Rest of World at Current Prices (Seasonally Adjusted),-5934000000
1995,Subsidies on Products,-2170000000
1995,Subsidies on Products (chain linked annually ref to 2019) (Seasonally Adjusted),-2207000000
1995,Subsidies on Products at Current Prices,-1412000000
1995,Subsidies on Products at Current Prices (Seasonally Adjusted),-1416000000
1995,Taxes on Products,10687000000
1995,Taxes on Products (Seasonally Adjusted),10684000000
1995,Taxes on Products at Current Prices,7028000000
1995,Taxes on Products at Current Prices (Seasonally Adjusted),7025000000
1996,GDP at Constant Market Prices,104008000000
1996,GDP at Constant Market Prices (Seasonally Adjusted),106556000000
1996,GDP at Current Market Prices,60147000000
1996,GDP at Current Market Prices (Seasonally Adjusted),60073000000
1996,GNP at Constant Market Prices,99625000000
1996,GNP at Constant Market Prices (Seasonally Adjusted),98830000000
1996,GNP at Current Market Prices,53611000000
1996,GNP at Current Market Prices (Seasonally Adjusted),53561000000
1996,GVA at Constant Basic Prices,94508000000
1996,GVA at Constant Basic Prices (Seasonally Adjusted),97258000000
1996,GVA at Current Basic Prices,53997000000
1996,GVA at Current Basic Prices (Seasonally Adjusted),53938000000
1996,Net Factor Income from Rest of World,-7762000000
1996,Net Factor Income from Rest of World (Seasonally Adjusted),-7725000000
1996,Net Factor Income from Rest of World at Current Prices,-6535000000
1996,Net Factor Income from Rest of World at Current Prices (Seasonally Adjusted),-6513000000
1996,Subsidies on Products,-2479000000
1996,Subsidies on Products (chain linked annually ref to 2019) (Seasonally Adjusted),-2531000000
1996,Subsidies on Products at Current Prices,-1610000000
1996,Subsidies on Products at Current Prices (Seasonally Adjusted),-1620000000
1996,Taxes on Products,11828000000
1996,Taxes on Products (Seasonally Adjusted),11828000000
1996,Taxes on Products at Current Prices,7759000000
1996,Taxes on Products at Current Prices (Seasonally Adjusted),7759000000
1997,GDP at Constant Market Prices,115473000000
1997,GDP at Constant Market Prices (Seasonally Adjusted),117696000000
1997,GDP at Current Market Prices,69400000000
1997,GDP at Current Market Prices (Seasonally Adjusted),69327000000
1997,GNP at Constant Market Prices,109294000000
1997,GNP at Constant Market Prices (Seasonally Adjusted),108299000000
1997,GNP at Current Market Prices,61361000000
1997,GNP at Current Market Prices (Seasonally Adjusted),61321000000
1997,GVA at Constant Basic Prices,104317000000
1997,GVA at Constant Basic Prices (Seasonally Adjusted),106816000000
1997,GVA at Current Basic Prices,62207000000
1997,GVA at Current Basic Prices (Seasonally Adjusted),62132000000
1997,Net Factor Income from Rest of World,-9456000000
1997,Net Factor Income from Rest of World (Seasonally Adjusted),-9397000000
1997,Net Factor Income from Rest of World at Current Prices,-8040000000
1997,Net Factor Income from Rest of World at Current Prices (Seasonally Adjusted),-8005000000
1997,Subsidies on Products,-2527000000
1997,Subsidies on Products (chain linked annually ref to 2019) (Seasonally Adjusted),-2567000000
1997,Subsidies on Products at Current Prices,-1644000000
1997,Subsidies on Products at Current Prices (Seasonally Adjusted),-1649000000
1997,Taxes on Products,13434000000
1997,Taxes on Products (Seasonally Adjusted),13446000000
1997,Taxes on Products at Current Prices,8837000000
1997,Taxes on Products at Current Prices (Seasonally Adjusted),8844000000
1998,GDP at Constant Market Prices,125594000000
1998,GDP at Constant Market Prices (Seasonally Adjusted),128240000000
1998,GDP at Current Market Prices,80431000000
1998,GDP at Current Market Prices (Seasonally Adjusted),80568000000
1998,GNP at Constant Market Prices,117567000000
1998,GNP at Constant Market Prices (Seasonally Adjusted),117146000000
1998,GNP at Current Market Prices,70880000000
1998,GNP at Current Market Prices (Seasonally Adjusted),71044000000
1998,GVA at Constant Basic Prices,112817000000
1998,GVA at Constant Basic Prices (Seasonally Adjusted),115760000000
1998,GVA at Current Basic Prices,72024000000
1998,GVA at Current Basic Prices (Seasonally Adjusted),72118000000
1998,Net Factor Income from Rest of World,-11148000000
1998,Net Factor Income from Rest of World (Seasonally Adjusted),-11092000000
1998,Net Factor Income from Rest of World at Current Prices,-9550000000
1998,Net Factor Income from Rest of World at Current Prices (Seasonally Adjusted),-9523000000
1998,Subsidies on Products,-2505000000
1998,Subsidies on Products (chain linked annually ref to 2019) (Seasonally Adjusted),-2504000000
