Year,Both sexes,Female,Male
1998,3703100.0,1864200.0,1838900.0
1999,3741600.0,1883000.0,1858600.0
2000,3789500.0,1906600.0,1882900.0
2001,3847200.0,1934100.0,1913100.0
2002,3917200.0,1971000.0,1946200.0
2003,3979900.0,2002900.0,1976900.0
2004,4045200.0,2033300.0,2011900.0
2005,4133800.0,2072000.0,2061800.0000000002
2006,4232900.0,2115600.0,2117300.0
2007,4375800.0,2184600.0,2191300.0
2008,4485100.0,2246500.0,2238600.0
2009,4533400.0,2276100.0,2257300.0
2010,4554800.0,2292600.0,2262200.0
2011,4574900.0,2304400.0,2270500.0
2012,4593700.0,2318700.0,2275000.0
2013,4614700.0,2328500.0,2286100.0
2014,4645400.0,2346400.0,2299000.0
2015,4687800.0,2370100.0,2317700.0
2016,4739600.0,2393100.0,2346500.0
2017,4810900.0,2430100.0,2380800.0
2018,4884900.0,2465400.0,2419500.0
2019,4958500.0,2502200.0,2456300.0
2020,5029900.0,2538100.0,2491800.0
2021,5074700.0,2560600.0,2514000.0
2022,5184000.0,2622000.0,2562000.0
