Year,Component,Value
1951,Annual births,
1951,Annual deaths,
1951,Natural increase,26600.0
1951,Immigrants,
1951,Emigrants,
1951,Net migration,-35000.0
1951,Population change,-8400.0
1951,Population,2960600.0
1952,Annual births,
1952,Annual deaths,
1952,Natural increase,27300.0
1952,Immigrants,
1952,Emigrants,
1952,Net migration,-35000.0
1952,Population change,-7700.0
1952,Population,2952900.0
1953,Annual births,
1953,Annual deaths,
1953,Natural increase,29100.0
1953,Immigrants,
1953,Emigrants,
1953,Net migration,-33000.0
1953,Population change,-3900.0
1953,Population,2949000.0
1954,Annual births,
1954,Annual deaths,
1954,Natural increase,28200.0
1954,Immigrants,
1954,Emigrants,
1954,Net migration,-36000.0
1954,Population change,-7800.0
1954,Population,2941200.0
1955,Annual births,
1955,Annual deaths,
1955,Natural increase,24700.0
1955,Immigrants,
1955,Emigrants,
1955,Net migration,-45000.0
1955,Population change,-20300.0
1955,Population,2920900.0
1956,Annual births,
1956,Annual deaths,
1956,Natural increase,25600.0
1956,Immigrants,
1956,Emigrants,
1956,Net migration,-48000.0
1956,Population change,-22400.0
1956,Population,2898500.0
1957,Annual births,
1957,Annual deaths,
1957,Natural increase,27800.0
1957,Immigrants,
1957,Emigrants,
1957,Net migration,-41000.0
1957,Population change,-13200.0
1957,Population,2885300.0
1958,Annual births,
1958,Annual deaths,
1958,Natural increase,25400.0
1958,Immigrants,
1958,Emigrants,
1958,Net migration,-58000.0
1958,Population change,-32600.0
1958,Population,2852700.0
1959,Annual births,
1959,Annual deaths,
1959,Natural increase,24900.0
1959,Immigrants,
1959,Emigrants,
1959,Net migration,-32000.0
1959,Population change,-7100.0
1959,Population,2845600.0
1960,Annual births,
1960,Annual deaths,
1960,Natural increase,27500.0
1960,Immigrants,
1960,Emigrants,
1960,Net migration,-41000.0
1960,Population change,-13500.0
1960,Population,2832100.0
1961,Annual births,
1961,Annual deaths,
1961,Natural increase,26200.0
1961,Immigrants,
1961,Emigrants,
1961,Net migration,-40000.0
1961,Population change,-13800.0
1961,Population,2818300.0
1962,Annual births,
1962,Annual deaths,
1962,Natural increase,26800.0
1962,Immigrants,
1962,Emigrants,
1962,Net migration,-15000.0
1962,Population change,11800.0
1962,Population,2830100.0
1963,Annual births,
1963,Annual deaths,
1963,Natural increase,27900.0
1963,Immigrants,
1963,Emigrants,
1963,Net migration,-8000.0
1963,Population change,19900.0
1963,Population,2850000.0
1964,Annual births,
1964,Annual deaths,
1964,Natural increase,30800.0
1964,Immigrants,
1964,Emigrants,
1964,Net migration,-17000.0
1964,Population change,13800.0
1964,Population,2863800.0
1965,Annual births,
1965,Annual deaths,
1965,Natural increase,32000.0
1965,Immigrants,
1965,Emigrants,
1965,Net migration,-20000.0
1965,Population change,12000.0
1965,Population,2875800.0
1966,Annual births,
1966,Annual deaths,
1966,Natural increase,29200.0
1966,Immigrants,
1966,Emigrants,
1966,Net migration,-21000.0
1966,Population change,8200.0
1966,Population,2884000.0
1967,Annual births,
1967,Annual deaths,
1967,Natural increase,28700.0
1967,Immigrants,
1967,Emigrants,
1967,Net migration,-13000.0
1967,Population change,15700.0
1967,Population,2899700.0
1968,Annual births,
1968,Annual deaths,
1968,Natural increase,28500.0
1968,Immigrants,
1968,Emigrants,
1968,Net migration,-16000.0
1968,Population change,12500.0
1968,Population,2912200.0
1969,Annual births,
1969,Annual deaths,
1969,Natural increase,28000.0
1969,Immigrants,
1969,Emigrants,
1969,Net migration,-15000.0
1969,Population change,13000.0
1969,Population,2925200.0
1970,Annual births,
1970,Annual deaths,
1970,Natural increase,29700.0
1970,Immigrants,
1970,Emigrants,
1970,Net migration,-5000.0
1970,Population change,24700.0
1970,Population,2949900.0
1971,Annual births,
1971,Annual deaths,
1971,Natural increase,33300.0
1971,Immigrants,
1971,Emigrants,
1971,Net migration,-5000.0
