Year,Sex,Value
1950,Both sexes,2969000.0
1950,Male,1510000.0
1950,Female,1459000.0
1951,Both sexes,2960600.0
1951,Male,1506600.0
1951,Female,1454000.0
1952,Both sexes,2952900.0
1952,Male,1500900.0
1952,Female,1452000.0
1953,Both sexes,2949000.0
1953,Male,1497900.0
1953,Female,1451100.0
1954,Both sexes,2941200.0
1954,Male,1493000.0
1954,Female,1448200.0
1955,Both sexes,2920900.0
1955,Male,1479100.0
1955,Female,1441800.0
1956,Both sexes,2898500.0
1956,Male,1463100.0
1956,Female,1435400.0
1957,Both sexes,2885300.0
1957,Male,1456100.0
1957,Female,1429200.0
1958,Both sexes,2852700.0
1958,Male,1438900.0
1958,Female,1413800.0
1959,Both sexes,2845600.0
1959,Male,1434600.0
1959,Female,1411000.0
1960,Both sexes,2832100.0
1960,Male,1427100.0
1960,Female,1405000.0
1961,Both sexes,2818300.0
1961,Male,1416500.0
1961,Female,1401800.0
1962,Both sexes,2830100.0
1962,Male,1422800.0
1962,Female,1407300.0
1963,Both sexes,2850000.0
1963,Male,1432700.0
1963,Female,1417300.0
1964,Both sexes,2863800.0
1964,Male,1439800.0
1964,Female,1424000.0
1965,Both sexes,2875800.0
1965,Male,1445800.0
1965,Female,1430000.0
1966,Both sexes,2884000.0
1966,Male,1449000.0
1966,Female,1435000.0
1967,Both sexes,2899700.0
1967,Male,1457000.0
1967,Female,1442700.0
1968,Both sexes,2912200.0
1968,Male,1463500.0
1968,Female,1448700.0
1969,Both sexes,2925200.0
1969,Male,1470000.0
1969,Female,1455200.0
1970,Both sexes,2949900.0
1970,Male,1481900.0
1970,Female,1468000.0
1971,Both sexes,2978200.0
1971,Male,1495800.0
1971,Female,1482500.0
1972,Both sexes,3024400.0
1972,Male,1519100.0
1972,Female,1505300.0
1973,Both sexes,3073000.0
1973,Male,1543700.0
1973,Female,1529300.0
1974,Both sexes,3123900.0
1974,Male,1569500.0
1974,Female,1554400.0
1975,Both sexes,3177200.0
1975,Male,1597000.0
1975,Female,1580300.0
1976,Both sexes,3227800.0
1976,Male,1622900.0
1976,Female,1605000.0
1977,Both sexes,3271900.0
1977,Male,1645000.0
1977,Female,1626900.0
1978,Both sexes,3314000.0
1978,Male,1666000.0
1978,Female,1648000.0
1979,Both sexes,3368200.0
1979,Male,1693300.0
1979,Female,1674900.0
1980,Both sexes,3401000.0
1980,Male,1709000.0
1980,Female,1692000.0
1981,Both sexes,3443400.0
1981,Male,1729400.0
1981,Female,1714100.0
1982,Both sexes,3480000.0
1982,Male,1746000.0
1982,Female,1734000.0
1983,Both sexes,3504000.0
1983,Male,1756300.0
1983,Female,1747700.0
1984,Both sexes,3529000.0
1984,Male,1767000.0
1984,Female,1762000.0
1985,Both sexes,3540000.0
1985,Male,1771000.0
1985,Female,1769000.0
1986,Both sexes,3540600.0
1986,Male,1769700.0
1986,Female,1771000.0
1987,Both sexes,3546500.0
1987,Male,1770300.0
1987,Female,1776200.0
1988,Both sexes,3530700.0
1988,Male,1758800.0
1988,Female,1771900.0
1989,Both sexes,3509500.0
1989,Male,1744100.0
1989,Female,1765500.0
1990,Both sexes,3505800.0
1990,Male,1742800.0
1990,Female,1763100.0
1991,Both sexes,3525700.0
1991,Male,1753400.0
1991,Female,1772300.0
1992,Both sexes,3554500.0
1992,Male,1768400.0
1992,Female,1786100.0
1993,Both sexes,3574100.0
1993,Male,1778000.0
1993,Female,1796100.0
1994,Both sexes,3585900.0
1994,Male,1783300.0
1994,Female,1802600.0
1995,Both sexes,3601300.0
1995,Male,1788400.0
1995,Female,1812900.0
1996,Both sexes,3626100.0
1996,Male,1800200.0
1996,Female,1825900.0
1997,Both sexes,3664300.0
1997,Male,1819400.0
1997,Female,1844900.0
1998,Both sexes,3703100.0
1998,Male,1838900.0
1998,Female,1864200.0
1999,Both sexes,3741600.0
1999,Male,1858600.0
1999,Female,1883000.0
2000,Both sexes,3789500.0
2000,Male,1882900.0
2000,Female,1906600.0
2001,Both sexes,3847200.0
2001,Male,1913100.0
2001,Female,1934100.0
2002,Both sexes,3917200.0
2002,Male,1946200.0
2002,Female,1971000.0
2003,Both sexes,3979900.0
2003,Male,1976900.0
2003,Female,2002900.0
2004,Both sexes,4045200.0
2004,Male,2011900.0
2004,Female,2033300.0
2005,Both sexes,4133800.0
2005,Male,2061800.0000000002
2005,Female,2072000.0
2006,Both sexes,4232900.0
2006,Male,2117300.0
2006,Female,2115600.0
2007,Both sexes,4375800.0
2007,Male,2191300.0
2007,Female,2184600.0
2008,Both sexes,4485100.0
2008,Male,2238600.0
2008,Female,2246500.0
2009,Both sexes,4533400.0
2009,Male,2257300.0
2009,Female,2276100.0
2010,Both sexes,4554800.0
2010,Male,2262200.0
2010,Female,2292600.0
2011,Both sexes,4574900.0
2011,Male,2270500.0
2011,Female,2304400.0
2012,Both sexes,4593700.0
2012,Male,2275000.0
2012,Female,2318700.0
2013,Both sexes,4614700.0
2013,Male,2286100.0
2013,Female,2328500.0
2014,Both sexes,4645400.0
2014,Male,2299000.0
2014,Female,2346400.0
2015,Both sexes,4687800.0
2015,Male,2317700.0
2015,Female,2370100.0
2016,Both sexes,4739600.0
2016,Male,2346500.0
2016,Female,2393100.0
2017,Both sexes,4810900.0
2017,Male,2380800.0
2017,Female,2430100.0
2018,Both sexes,4884900.0
2018,Male,2419500.0
2018,Female,2465400.0
2019,Both sexes,4958500.0
2019,Male,2456300.0
2019,Female,2502200.0
2020,Both sexes,5029900.0
2020,Male,2491800.0
2020,Female,2538100.0
2021,Both sexes,5074700.0
2021,Male,2514000.0
2021,Female,2560600.0
2022,Both sexes,5184000.0
2022,Male,2562000.0
2022,Female,2622000.0
2023,Both sexes,5281600.0
2023,Male,2606200.0
2023,Female,2675400.0
