,Year,Month,Passengers (Mn.),Season,Date
0,2014,January,8.99,Winter,2014-01-01
1,2014,February,9.12,Winter,2014-02-01
2,2014,March,10.33,Spring,2014-03-01
3,2014,April,9.65,Spring,2014-04-01
4,2014,May,9.44,Spring,2014-05-01
5,2014,June,9.1,Summer,2014-06-01
6,2014,July,9.25,Summer,2014-07-01
7,2014,August,9.35,Summer,2014-08-01
8,2014,September,10.29,Autumn,2014-09-01
9,2014,October,10.75,Autumn,2014-10-01
10,2014,November,10.55,Autumn,2014-11-01
11,2014,December,9.46,Winter,2014-12-01
12,2015,January,9.58,Winter,2015-01-01
13,2015,February,9.6,Winter,2015-02-01
14,2015,March,10.54,Spring,2015-03-01
15,2015,April,10.04,Spring,2015-04-01
16,2015,May,9.37,Spring,2015-05-01
17,2015,June,9.47,Summer,2015-06-01
18,2015,July,10.32,Summer,2015-07-01
19,2015,August,9.54,Summer,2015-08-01
20,2015,September,10.98,Autumn,2015-09-01
21,2015,October,11.43,Autumn,2015-10-01
22,2015,November,11.05,Autumn,2015-11-01
23,2015,December,10.17,Winter,2015-12-01
24,2016,January,9.86,Winter,2016-01-01
25,2016,February,10.7,Winter,2016-02-01
26,2016,March,10.7,Spring,2016-03-01
27,2016,April,11.09,Spring,2016-04-01
28,2016,May,10.83,Spring,2016-05-01
29,2016,June,9.96,Summer,2016-06-01
30,2016,July,10.48,Summer,2016-07-01
31,2016,August,10.24,Summer,2016-08-01
32,2016,September,8.56,Autumn,2016-09-01
33,2016,October,11.24,Autumn,2016-10-01
34,2016,November,11.32,Autumn,2016-11-01
35,2016,December,10.4,Winter,2016-12-01
36,2017,January,10.47,Winter,2017-01-01
37,2017,February,10.72,Winter,2017-02-01
38,2017,March,12.05,Spring,2017-03-01
39,2017,April,10.84,Spring,2017-04-01
40,2017,May,11.77,Spring,2017-05-01
41,2017,June,10.99,Summer,2017-06-01
42,2017,July,11.63,Summer,2017-07-01
43,2017,August,11.34,Summer,2017-08-01
44,2017,September,12.43,Autumn,2017-09-01
45,2017,October,12.55,Autumn,2017-10-01
46,2017,November,13.02,Autumn,2017-11-01
47,2017,December,11.16,Winter,2017-12-01
48,2018,January,11.42,Winter,2018-01-01
49,2018,February,11.28,Winter,2018-02-01
50,2018,March,11.07,Spring,2018-03-01
51,2018,April,12.05,Spring,2018-04-01
52,2018,May,12.74,Spring,2018-05-01
53,2018,June,11.49,Summer,2018-06-01
54,2018,July,12.07,Summer,2018-07-01
55,2018,August,11.68,Summer,2018-08-01
56,2018,September,12.45,Autumn,2018-09-01
57,2018,October,13.24,Autumn,2018-10-01
58,2018,November,12.77,Autumn,2018-11-01
59,2018,December,10.86,Winter,2018-12-01
60,2019,January,11.22,Winter,2019-01-01
61,2019,February,11.11,Winter,2019-02-01
62,2019,March,11.96,Spring,2019-03-01
63,2019,April,11.29,Spring,2019-04-01
64,2019,May,11.81,Spring,2019-05-01
65,2019,June,10.57,Summer,2019-06-01
66,2019,July,11.76,Summer,2019-07-01
67,2019,August,10.93,Summer,2019-08-01
68,2019,September,11.9,Autumn,2019-09-01
69,2019,October,12.61,Autumn,2019-10-01
70,2019,November,12.24,Autumn,2019-11-01
71,2019,December,10.92,Winter,2019-12-01
72,2020,January,11.5,Winter,2020-01-01
73,2020,February,11.51,Winter,2020-02-01
74,2020,March,6.61,Spring,2020-03-01
75,2020,April,1.47,Spring,2020-04-01
76,2020,May,2.19,Spring,2020-05-01
77,2020,June,3.54,Summer,2020-06-01
78,2020,July,5.22,Summer,2020-07-01
79,2020,August,5.42,Summer,2020-08-01
80,2020,September,6.02,Autumn,2020-09-01
81,2020,October,5.3,Autumn,2020-10-01
82,2020,November,4.45,Autumn,2020-11-01
83,2020,December,5.69,Winter,2020-12-01
84,2021,January,2.79,Winter,2021-01-01
85,2021,February,2.92,Winter,2021-02-01
86,2021,March,3.84,Spring,2021-03-01
87,2021,April,4.21,Spring,2021-04-01
88,2021,May,5.28,Spring,2021-05-01
89,2021,June,6.04,Summer,2021-06-01
90,2021,July,6.29,Summer,2021-07-01
91,2021,August,6.48,Summer,2021-08-01
92,2021,September,7.82,Autumn,2021-09-01
93,2021,October,8.52,Autumn,2021-10-01
94,2021,November,8.55,Autumn,2021-11-01
95,2021,December,7.18,Winter,2021-12-01
96,2022,January,7.1,Winter,2022-01-01
97,2022,February,7.89,Winter,2022-02-01
98,2022,March,9.37,Spring,2022-03-01
99,2022,April,9.2,Spring,2022-04-01
100,2022,May,10.14,Spring,2022-05-01
101,2022,June,10.05,Summer,2022-06-01
102,2022,July,10.3,Summer,2022-07-01
103,2022,August,10.45,Summer,2022-08-01
104,2022,September,11.65,Autumn,2022-09-01
105,2022,October,12.28,Autumn,2022-10-01
106,2022,November,12.22,Autumn,2022-11-01
107,2022,December,10.75,Winter,2022-12-01
