,Year,Month,Quarter,Season,Passengers
0,2014,April,Q2,Spring,9648830.0
1,2014,August,Q3,Summer,9348448.0
2,2014,December,Q4,Winter,9462591.0
3,2014,February,Q1,Winter,9117393.0
4,2014,January,Q1,Winter,8991175.0
5,2014,July,Q3,Summer,9250780.0
6,2014,June,Q2,Summer,9096253.0
7,2014,March,Q1,Spring,10327497.0
8,2014,May,Q2,Spring,9439479.0
9,2014,November,Q4,Autumn,10545021.0
10,2014,October,Q4,Autumn,10746115.0
11,2014,September,Q3,Autumn,10288409.0
12,2015,April,Q2,Spring,10041339.0
13,2015,August,Q3,Summer,9537133.0
14,2015,December,Q4,Winter,10172946.0
15,2015,February,Q1,Winter,9596458.0
16,2015,January,Q1,Winter,9577528.0
17,2015,July,Q3,Summer,10317027.0
18,2015,June,Q2,Summer,9470674.0
19,2015,March,Q1,Spring,10543380.0
20,2015,May,Q2,Spring,9371545.0
21,2015,November,Q4,Autumn,11052013.0
22,2015,October,Q4,Autumn,11432628.0
23,2015,September,Q3,Autumn,10979884.0
24,2016,April,Q2,Spring,11091977.0
25,2016,August,Q3,Summer,10243169.0
26,2016,December,Q4,Winter,10403922.0
27,2016,February,Q1,Winter,10700553.0
28,2016,January,Q1,Winter,9857291.0
29,2016,July,Q3,Summer,10480109.0
30,2016,June,Q2,Summer,9957220.0
31,2016,March,Q1,Spring,10701987.0
32,2016,May,Q2,Spring,10825747.0
33,2016,November,Q4,Autumn,11318902.0
34,2016,October,Q4,Autumn,11236567.0
35,2016,September,Q3,Autumn,8559909.0
36,2017,April,Q2,Spring,10841832.0
37,2017,August,Q3,Summer,11342248.0
38,2017,December,Q4,Winter,11163861.0
39,2017,February,Q1,Winter,10718425.0
40,2017,January,Q1,Winter,10468427.0
41,2017,July,Q3,Summer,11629833.0
42,2017,June,Q2,Summer,10986482.0
43,2017,March,Q1,Spring,12051139.0
44,2017,May,Q2,Spring,11771832.0
45,2017,November,Q4,Autumn,13024610.0
46,2017,October,Q4,Autumn,12546921.0
47,2017,September,Q3,Autumn,12432529.0
48,2018,April,Q2,Spring,12046319.0
49,2018,August,Q3,Summer,11679839.0
50,2018,December,Q4,Winter,10855955.0
51,2018,February,Q1,Winter,11279304.0
52,2018,January,Q1,Winter,11419534.0
53,2018,July,Q3,Summer,12074231.0
54,2018,June,Q2,Summer,11490525.0
55,2018,March,Q1,Spring,11067489.0
56,2018,May,Q2,Spring,12737152.0
57,2018,November,Q4,Autumn,12765522.0
58,2018,October,Q4,Autumn,13240113.0
59,2018,September,Q3,Autumn,12448501.0
60,2019,April,Q2,Spring,11285530.0
61,2019,August,Q3,Summer,10931243.0
62,2019,December,Q4,Winter,10917996.0
63,2019,February,Q1,Winter,11107751.0
64,2019,January,Q1,Winter,11216738.0
65,2019,July,Q3,Summer,11760960.0
66,2019,June,Q2,Summer,10569888.0
67,2019,March,Q1,Spring,11959588.0
68,2019,May,Q2,Spring,11811474.0
69,2019,November,Q4,Autumn,12239821.0
70,2019,October,Q4,Autumn,12611911.0
71,2019,September,Q3,Autumn,11898080.0
72,2020,April,Q2,Spring,1467736.0
73,2020,August,Q3,Summer,5418671.0
74,2020,December,Q4,Winter,5689784.0
75,2020,February,Q1,Winter,11510850.0
76,2020,January,Q1,Winter,11501632.0
77,2020,July,Q3,Summer,5224212.0
78,2020,June,Q2,Summer,3544895.0
79,2020,March,Q1,Spring,6606702.0
80,2020,May,Q2,Spring,2192361.0
81,2020,November,Q4,Autumn,4449595.0
82,2020,October,Q4,Autumn,5296571.0
83,2020,September,Q3,Autumn,6024417.0
84,2021,April,Q2,Spring,4210958.0
85,2021,August,Q3,Summer,6480609.0
86,2021,December,Q4,Winter,7179968.0
87,2021,February,Q1,Winter,2921923.0
88,2021,January,Q1,Winter,2785900.0
89,2021,July,Q3,Summer,6289956.0
90,2021,June,Q2,Summer,6042584.0
91,2021,March,Q1,Spring,3839607.0
92,2021,May,Q2,Spring,5284722.0
93,2021,November,Q4,Autumn,8549355.0
94,2021,October,Q4,Autumn,8519740.0
95,2021,September,Q3,Autumn,7823189.0
96,2022,April,Q2,Spring,9201677.318
97,2022,August,Q3,Summer,10445063.39
98,2022,December,Q4,Winter,10747395.06
99,2022,February,Q1,Winter,7888541.999
100,2022,January,Q1,Winter,7100719.241
101,2022,July,Q3,Summer,10304252.87
102,2022,June,Q2,Summer,10046619.72
103,2022,March,Q1,Spring,9368847.436
104,2022,May,Q2,Spring,10142950.74
105,2022,November,Q4,Autumn,12217747.11
106,2022,October,Q4,Autumn,12275823.63
107,2022,September,Q3,Autumn,11650000.94
