,Year,Quarter,Passengers
0,2014,Q1,28436065.0
1,2014,Q2,28184562.0
2,2014,Q3,28887637.0
3,2014,Q4,30753727.0
4,2015,Q1,29717366.0
5,2015,Q2,28883558.0
6,2015,Q3,30834044.0
7,2015,Q4,32657587.0
8,2016,Q1,31259831.0
9,2016,Q2,31874944.0
10,2016,Q3,29283187.0
11,2016,Q4,32959391.0
12,2017,Q1,33237991.0
13,2017,Q2,33600146.0
14,2017,Q3,35404610.0
15,2017,Q4,36735392.0
16,2018,Q1,33766327.0
17,2018,Q2,36273996.0
18,2018,Q3,36202571.0
19,2018,Q4,36861590.0
20,2019,Q1,34284077.0
21,2019,Q2,33666892.0
22,2019,Q3,34590283.0
23,2019,Q4,35769728.0
24,2020,Q1,29619184.0
25,2020,Q2,7204992.0
26,2020,Q3,16667300.0
27,2020,Q4,15435950.0
28,2021,Q1,9547430.0
29,2021,Q2,15538264.0
30,2021,Q3,20593754.0
31,2021,Q4,24249063.0
32,2022,Q1,24358108.676
33,2022,Q2,29391247.778
34,2022,Q3,32399317.2
35,2022,Q4,35240965.8
