,Mode of Transport,Type of Route,Year,Quarter,Ticket revenues (NOK 1 000),Passengers (1 000 passengers),Passengers with school transport (1 000 passengers),Ordinary travellers (1 000 passengers),Passengers (Mn.),Passengers
222,Bus (Scheduled road transport),Total,2005,Q1,881803,75421,0,0,75421000,75421000
223,Bus (Scheduled road transport),Total,2005,Q2,859134,70142,0,0,70142000,70142000
224,Bus (Scheduled road transport),Total,2005,Q3,846698,59619,0,0,59619000,59619000
225,Bus (Scheduled road transport),Total,2005,Q4,897588,75974,0,0,75974000,75974000
226,Bus (Scheduled road transport),Total,2006,Q1,903418,77658,0,0,77658000,77658000
227,Bus (Scheduled road transport),Total,2006,Q2,820089,66446,0,0,66446000,66446000
228,Bus (Scheduled road transport),Total,2006,Q3,851155,58799,0,0,58799000,58799000
229,Bus (Scheduled road transport),Total,2006,Q4,1015637,73492,0,0,73492000,73492000
230,Bus (Scheduled road transport),Total,2007,Q1,990100,68609,0,0,68609000,68609000
231,Bus (Scheduled road transport),Total,2007,Q2,962019,66051,0,0,66051000,66051000
232,Bus (Scheduled road transport),Total,2007,Q3,959526,60771,0,0,60771000,60771000
233,Bus (Scheduled road transport),Total,2007,Q4,1039380,76546,0,0,76546000,76546000
234,Bus (Scheduled road transport),Total,2008,Q1,1003041,67307,0,0,67307000,67307000
235,Bus (Scheduled road transport),Total,2008,Q2,1003838,66494,0,0,66494000,66494000
236,Bus (Scheduled road transport),Total,2008,Q3,979530,61077,0,0,61077000,61077000
237,Bus (Scheduled road transport),Total,2008,Q4,1050831,76485,0,0,76485000,76485000
238,Bus (Scheduled road transport),Total,2009,Q1,1059111,80631,0,0,80631000,80631000
239,Bus (Scheduled road transport),Total,2009,Q2,1045310,69077,0,0,69077000,69077000
240,Bus (Scheduled road transport),Total,2009,Q3,996229,61801,0,0,61801000,61801000
241,Bus (Scheduled road transport),Total,2009,Q4,1108519,78184,0,0,78184000,78184000
242,Bus (Scheduled road transport),Total,2010,Q1,1056276,81420,0,0,81420000,81420000
243,Bus (Scheduled road transport),Total,2010,Q2,1014612,72443,0,0,72443000,72443000
244,Bus (Scheduled road transport),Total,2010,Q3,1047793,64304,0,0,64304000,64304000
245,Bus (Scheduled road transport),Total,2010,Q4,1047793,82702,0,0,82702000,82702000
246,Bus (Scheduled road transport),Total,2011,Q1,1104024,86882,0,0,86882000,86882000
247,Bus (Scheduled road transport),Total,2011,Q2,1097852,74678,0,0,74678000,74678000
248,Bus (Scheduled road transport),Total,2011,Q3,1044542,67038,0,0,67038000,67038000
249,Bus (Scheduled road transport),Total,2011,Q4,1134021,82280,0,0,82280000,82280000
250,Bus (Scheduled road transport),Total,2012,Q1,1126821,85980,0,0,85980000,85980000
251,Bus (Scheduled road transport),Total,2012,Q2,1091183,76669,0,0,76669000,76669000
252,Bus (Scheduled road transport),Total,2012,Q3,1084771,70356,0,0,70356000,70356000
253,Bus (Scheduled road transport),Total,2012,Q4,1152648,87440,0,0,87440000,87440000
254,Bus (Scheduled road transport),Total,2013,Q1,1144823,87803,0,0,87803000,87803000
255,Bus (Scheduled road transport),Total,2013,Q2,1183118,82428,0,0,82428000,82428000
256,Bus (Scheduled road transport),Total,2013,Q3,1119510,71092,0,0,71092000,71092000
257,Bus (Scheduled road transport),Total,2013,Q4,1259096,90667,0,0,90667000,90667000
258,Bus (Scheduled road transport),Total,2014,Q1,1215219,92871,0,0,92871000,92871000
259,Bus (Scheduled road transport),Total,2014,Q2,1246008,81074,0,0,81074000,81074000
