Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total
Abbeydorney,Kerry,52.346618,-9.6879095,68,0,2,2,604,54,730
Abbeyfeale,Limerick,52.3851792,-9.3007966,64,2,10,2,1840,476,2394
Abbeyknockmoy,Galway,53.43649,-8.74804,76,0,2,0,378,18,474
Abbeyleix,Laois,52.9152801,-7.3478923,258,4,6,46,1560,304,2178
Adamstown,Wexford,52.3935687,-6.7185567,10,0,0,0,262,78,350
Adare,Limerick,52.5636521,-8.7925281,106,0,8,4,1094,262,1474
Aghada-Rostellan,Cork,51.8394856,-8.2149056,168,2,0,14,1098,100,1382
Aglish,Waterford,52.0715072,-7.8222696,50,2,2,0,272,52,378
Ahascragh,Galway,53.3976127,-8.3346318,12,0,6,2,154,8,182
Ailt An Chorráin,Donegal,54.9845286,-8.4326581,30,0,0,0,204,32,266
Allenwood,Kildare,53.2839545,-6.8618405,246,8,24,20,1784,168,2250
An Bun Beag,Donegal,55.060874,-8.3003485,46,0,6,0,670,90,812
An Charraig,Donegal,54.6577244,-8.6327484,18,0,2,2,286,62,370
An Cheathrú Rua,Galway,53.2641084,-9.5982671,30,0,2,2,486,120,640
An Clochán Liath,Donegal,54.9502887,-8.3573628,44,4,4,4,942,220,1218
An Fál Carrach,Donegal,55.1364084,-8.1044862,44,0,6,0,512,196,758
An Rinn,Waterford,52.0468945,-7.5718879,30,0,2,2,686,126,846
An Spidéal,Galway,53.2441766,-9.3058803,10,0,0,0,242,70,322
Anagaire,Donegal,55.02044,-8.31366,50,0,2,0,220,40,312
Annacotty,Limerick,52.667128,-8.5324694,204,2,10,0,3040,956,4212
Annagassan,Louth,53.882628,-6.3434942,32,0,2,0,178,16,228
Annaghdown,Galway,53.3881317,-9.0710338,26,0,2,0,230,2,260
Annascaul,Kerry,52.1510786,-10.0567611,60,0,0,0,246,38,344
Annayalla,Monaghan,54.16064,-6.78888,34,0,2,0,238,42,316
Ardagh,Limerick,52.4941478,-9.0637542,18,0,6,0,268,30,322
Ardara,Donegal,54.7671456,-8.4092864,106,0,0,0,582,160,848
Ardee,Louth,53.8576227,-6.5400009,366,4,20,12,4234,1684,6320
Ardfert,Kerry,52.3282825,-9.7674406,72,0,4,0,706,88,870
Ardfinnan,Tipperary,52.3092483,-7.8842292,140,2,2,2,954,84,1184
Ardmore,Waterford,51.9510741,-7.725329,54,2,0,2,314,126,498
Ardnacrusha,Clare,52.7104277,-8.602863,82,0,4,2,1564,50,1702
Arklow,Wicklow,52.7976935,-6.1599293,648,26,34,176,11320,3708,15912
