"STATISTIC","Statistic Label","TLIST(A1)","Year","C02076V02508","Age Group","C02199V02655","Sex","C03184V03848","Frequency of Use","UNIT","VALUE"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","1","Male","01","At least 5 times a week","%","33.6"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","1","Male","02","3-4 times a week","%","1.9"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","1","Male","03","1-2 times a week","%","10.3"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","1","Male","04","Less than weekly but more than once a month","%","12.6"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","1","Male","05","Less than monthly","%","15.5"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","1","Male","06","Never","%","26"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","2","Female","01","At least 5 times a week","%","36"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","2","Female","02","3-4 times a week","%","12.8"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","2","Female","03","1-2 times a week","%","11.3"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","2","Female","04","Less than weekly but more than once a month","%","8.1"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","2","Female","05","Less than monthly","%","15.8"
"NTA55","Frequency of use of bus services","2019","2019","350","18 - 24 years","2","Female","06","Never","%","16"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","1","Male","01","At least 5 times a week","%","8.8"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","1","Male","02","3-4 times a week","%","6.7"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","1","Male","03","1-2 times a week","%","11.8"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","1","Male","04","Less than weekly but more than once a month","%","7.6"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","1","Male","05","Less than monthly","%","20.9"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","1","Male","06","Never","%","44.2"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","2","Female","01","At least 5 times a week","%","9.5"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","2","Female","02","3-4 times a week","%","3.1"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","2","Female","03","1-2 times a week","%","10.9"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","2","Female","04","Less than weekly but more than once a month","%","11.4"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","2","Female","05","Less than monthly","%","27"
"NTA55","Frequency of use of bus services","2019","2019","415","25 - 34 years","2","Female","06","Never","%","38.1"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","1","Male","01","At least 5 times a week","%","4.5"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","1","Male","02","3-4 times a week","%","2.3"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","1","Male","03","1-2 times a week","%","6.2"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","1","Male","04","Less than weekly but more than once a month","%","7.3"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","1","Male","05","Less than monthly","%","25.9"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","1","Male","06","Never","%","53.8"
