"STATISTIC","Statistic Label","TLIST(A1)","Year","C02076V02508","Age Group","C02199V02655","Sex","C03660V04402","Reason","UNIT","VALUE"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","050","Inconvenient","%","13.4"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","080","No service nearby","%","13.4"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","090","No service to where I want to go","%","10.5"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","361","Health concerns relating to transmission of COVID-19 using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","040","Infrequent","%","15.6"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","030","Unreliable","%","15.7"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","150","Don't like it","%","4.6"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","160","Difficult to use due to disabilities","%","1.7"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","010","Too expensive","%","9.1"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","342","Concerns for safety of the person using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","343","Concerns of the individual experiencing discrimination or harassment using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","1","Male","190","I have no need to use more frequently","%","55"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","050","Inconvenient","%","10.9"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","080","No service nearby","%","11.7"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","090","No service to where I want to go","%","14.8"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","361","Health concerns relating to transmission of COVID-19 using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","040","Infrequent","%","9.3"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","030","Unreliable","%","13.9"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","150","Don't like it","%","2.6"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","160","Difficult to use due to disabilities","%","2.1"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","010","Too expensive","%","8.6"
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","342","Concerns for safety of the person using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","343","Concerns of the individual experiencing discrimination or harassment using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","350","18 - 24 years","2","Female","190","I have no need to use more frequently","%","55.3"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","050","Inconvenient","%","16.3"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","080","No service nearby","%","21.3"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","090","No service to where I want to go","%","22.4"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","361","Health concerns relating to transmission of COVID-19 using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","040","Infrequent","%","14.6"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","030","Unreliable","%","9.4"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","150","Don't like it","%","5.6"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","160","Difficult to use due to disabilities","%","2.3"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","010","Too expensive","%","6.9"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","342","Concerns for safety of the person using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","343","Concerns of the individual experiencing discrimination or harassment using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","1","Male","190","I have no need to use more frequently","%","47.8"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","050","Inconvenient","%","13.5"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","080","No service nearby","%","14.2"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","090","No service to where I want to go","%","16.8"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","361","Health concerns relating to transmission of COVID-19 using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","040","Infrequent","%","10.3"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","030","Unreliable","%","8.7"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","150","Don't like it","%","4.5"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","160","Difficult to use due to disabilities","%","1.3"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","010","Too expensive","%","4.8"
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","342","Concerns for safety of the person using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","343","Concerns of the individual experiencing discrimination or harassment using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","415","25 - 34 years","2","Female","190","I have no need to use more frequently","%","50.9"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","050","Inconvenient","%","21.7"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","080","No service nearby","%","20.5"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","090","No service to where I want to go","%","21.2"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","361","Health concerns relating to transmission of COVID-19 using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","040","Infrequent","%","9.5"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","030","Unreliable","%","8"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","150","Don't like it","%","4.5"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","160","Difficult to use due to disabilities","%","0"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","010","Too expensive","%","4.6"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","342","Concerns for safety of the person using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","343","Concerns of the individual experiencing discrimination or harassment using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","1","Male","190","I have no need to use more frequently","%","44.3"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","2","Female","050","Inconvenient","%","22"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","2","Female","080","No service nearby","%","20.8"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","2","Female","090","No service to where I want to go","%","17.9"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","2","Female","361","Health concerns relating to transmission of COVID-19 using this mode of transport","%",""
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","2","Female","040","Infrequent","%","11.7"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","2","Female","030","Unreliable","%","7.7"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","2","Female","150","Don't like it","%","4.5"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","2","Female","160","Difficult to use due to disabilities","%","0.8"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","2","Female","010","Too expensive","%","4.8"
"NTA56","Reasons for not using bus services more frequently","2019","2019","465","35 - 44 years","2","Female","342","Concerns for safety of the person using this mode of transport","%",""
