"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C03946V04701","City & Legal Town","C03767V04516","Means of Travel","UNIT","VALUE"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W01008","Muinebeag Legal Town","F","On Foot","Number","471"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W01008","Muinebeag Legal Town","BI","Bicycle","Number","21"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W01008","Muinebeag Legal Town","BU","Bus, minibus or coach","Number","50"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W01008","Muinebeag Legal Town","TDL","Train, DART or LUAS","Number","16"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W01008","Muinebeag Legal Town","M","Motorcycle or scooter","Number","0"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W01008","Muinebeag Legal Town","CD","Car Driver","Number","551"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W01008","Muinebeag Legal Town","CP","Car passenger","Number","224"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W01008","Muinebeag Legal Town","V","Van","Number","59"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W01008","Muinebeag Legal Town","OTH","Other (incl. lorry)","Number","30"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W01008","Muinebeag Legal Town","NS","Not stated","Number","51"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W01008","Muinebeag Legal Town","T","Total","Number","1473"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W04001","Balbriggan Legal Town","F","On Foot","Number","2623"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W04001","Balbriggan Legal Town","BI","Bicycle","Number","164"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W04001","Balbriggan Legal Town","BU","Bus, minibus or coach","Number","775"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W04001","Balbriggan Legal Town","TDL","Train, DART or LUAS","Number","1412"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W04001","Balbriggan Legal Town","M","Motorcycle or scooter","Number","41"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W04001","Balbriggan Legal Town","CD","Car Driver","Number","4543"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W04001","Balbriggan Legal Town","CP","Car passenger","Number","1943"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W04001","Balbriggan Legal Town","V","Van","Number","296"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W04001","Balbriggan Legal Town","OTH","Other (incl. lorry)","Number","159"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W04001","Balbriggan Legal Town","NS","Not stated","Number","367"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W04001","Balbriggan Legal Town","T","Total","Number","12323"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06001","Athy Legal Town","F","On Foot","Number","1031"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06001","Athy Legal Town","BI","Bicycle","Number","84"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06001","Athy Legal Town","BU","Bus, minibus or coach","Number","183"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06001","Athy Legal Town","TDL","Train, DART or LUAS","Number","169"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06001","Athy Legal Town","M","Motorcycle or scooter","Number","10"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06001","Athy Legal Town","CD","Car Driver","Number","2162"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06001","Athy Legal Town","CP","Car passenger","Number","1140"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06001","Athy Legal Town","V","Van","Number","220"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06001","Athy Legal Town","OTH","Other (incl. lorry)","Number","90"
