"STATISTIC","Statistic Label","TLIST(A1)","Year","C03839V04589","City Services","C03841V04591","Time of Day","UNIT","VALUE"
"TOA19C01","Daily Flow","2012","2012","10","Cork","100","00:00 - 06:59","%","0.3"
"TOA19C01","Daily Flow","2012","2012","10","Cork","130","07:00 - 07:59","%","4.9"
"TOA19C01","Daily Flow","2012","2012","10","Cork","140","08:00 - 08:59","%","7.3"
"TOA19C01","Daily Flow","2012","2012","10","Cork","150","09:00 - 09:59","%","5.7"
"TOA19C01","Daily Flow","2012","2012","10","Cork","170","10:00 - 12:59","%","20.3"
"TOA19C01","Daily Flow","2012","2012","10","Cork","210","13:00 - 15:59","%","25.9"
"TOA19C01","Daily Flow","2012","2012","10","Cork","240","16:00 - 16:59","%","9.4"
"TOA19C01","Daily Flow","2012","2012","10","Cork","250","17:00 - 17:59","%","8.8"
"TOA19C01","Daily Flow","2012","2012","10","Cork","260","18:00 - 18:59","%","6.1"
"TOA19C01","Daily Flow","2012","2012","10","Cork","271","19:00 - 21:59","%","8.6"
"TOA19C01","Daily Flow","2012","2012","10","Cork","310","22:00 - 23:59","%","2.7"
"TOA19C01","Daily Flow","2012","2012","10","Cork","-","All times","%","100"
"TOA19C01","Daily Flow","2012","2012","20","Galway","100","00:00 - 06:59","%","0.4"
"TOA19C01","Daily Flow","2012","2012","20","Galway","130","07:00 - 07:59","%","4"
"TOA19C01","Daily Flow","2012","2012","20","Galway","140","08:00 - 08:59","%","8"
"TOA19C01","Daily Flow","2012","2012","20","Galway","150","09:00 - 09:59","%","5.9"
"TOA19C01","Daily Flow","2012","2012","20","Galway","170","10:00 - 12:59","%","20.5"
"TOA19C01","Daily Flow","2012","2012","20","Galway","210","13:00 - 15:59","%","26.4"
"TOA19C01","Daily Flow","2012","2012","20","Galway","240","16:00 - 16:59","%","9.5"
"TOA19C01","Daily Flow","2012","2012","20","Galway","250","17:00 - 17:59","%","7.9"
"TOA19C01","Daily Flow","2012","2012","20","Galway","260","18:00 - 18:59","%","6.4"
"TOA19C01","Daily Flow","2012","2012","20","Galway","271","19:00 - 21:59","%","8.6"
"TOA19C01","Daily Flow","2012","2012","20","Galway","310","22:00 - 23:59","%","2.4"
"TOA19C01","Daily Flow","2012","2012","20","Galway","-","All times","%","100"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","100","00:00 - 06:59","%","0.1"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","130","07:00 - 07:59","%","2.9"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","140","08:00 - 08:59","%","7.1"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","150","09:00 - 09:59","%","6.4"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","170","10:00 - 12:59","%","23.6"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","210","13:00 - 15:59","%","28.7"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","240","16:00 - 16:59","%","10.1"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","250","17:00 - 17:59","%","7.9"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","260","18:00 - 18:59","%","5.1"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","271","19:00 - 21:59","%","6.3"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","310","22:00 - 23:59","%","1.8"
"TOA19C01","Daily Flow","2012","2012","30","Limerick","-","All times","%","100"
"TOA19C01","Daily Flow","2012","2012","40","Waterford","100","00:00 - 06:59","%","0"
"TOA19C01","Daily Flow","2012","2012","40","Waterford","130","07:00 - 07:59","%","1.9"
"TOA19C01","Daily Flow","2012","2012","40","Waterford","140","08:00 - 08:59","%","9.9"
"TOA19C01","Daily Flow","2012","2012","40","Waterford","150","09:00 - 09:59","%","7"
"TOA19C01","Daily Flow","2012","2012","40","Waterford","170","10:00 - 12:59","%","27.7"
"TOA19C01","Daily Flow","2012","2012","40","Waterford","210","13:00 - 15:59","%","30.7"
"TOA19C01","Daily Flow","2012","2012","40","Waterford","240","16:00 - 16:59","%","10.7"
"TOA19C01","Daily Flow","2012","2012","40","Waterford","250","17:00 - 17:59","%","7.6"
"TOA19C01","Daily Flow","2012","2012","40","Waterford","260","18:00 - 18:59","%","2.4"
