"STATISTIC","Statistic Label","TLIST(A1)","Year","C03843V04593","Bus Type","C03842V04592","Bus Depots","UNIT","VALUE"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","10","Low floor buses","10","Donnybrook 1","Number","105"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","10","Low floor buses","20","Donnybrook 2","Number","105"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","10","Low floor buses","30","Ringsend","Number","105"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","10","Low floor buses","40","Conyngham Road","Number","94"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","10","Low floor buses","50","Summerhill","Number","98"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","10","Low floor buses","60","Clontarf","Number","79"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","10","Low floor buses","70","Phibsboro","Number","169"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","10","Low floor buses","80","Harristown","Number","173"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","10","Low floor buses","90","Broadstone","Number",""
"TOA13C01","Dublin Bus fleet by garage","2013","2013","10","Low floor buses","-","All bus depots Dublin","Number","928"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","20","Buses other than low floor","10","Donnybrook 1","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","20","Buses other than low floor","20","Donnybrook 2","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","20","Buses other than low floor","30","Ringsend","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","20","Buses other than low floor","40","Conyngham Road","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","20","Buses other than low floor","50","Summerhill","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","20","Buses other than low floor","60","Clontarf","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","20","Buses other than low floor","70","Phibsboro","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","20","Buses other than low floor","80","Harristown","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","20","Buses other than low floor","90","Broadstone","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","20","Buses other than low floor","-","All bus depots Dublin","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","-","All Bus Types","10","Donnybrook 1","Number","105"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","-","All Bus Types","20","Donnybrook 2","Number","105"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","-","All Bus Types","30","Ringsend","Number","105"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","-","All Bus Types","40","Conyngham Road","Number","94"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","-","All Bus Types","50","Summerhill","Number","98"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","-","All Bus Types","60","Clontarf","Number","79"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","-","All Bus Types","70","Phibsboro","Number","169"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","-","All Bus Types","80","Harristown","Number","173"
"TOA13C01","Dublin Bus fleet by garage","2013","2013","-","All Bus Types","90","Broadstone","Number",""
"TOA13C01","Dublin Bus fleet by garage","2013","2013","-","All Bus Types","-","All bus depots Dublin","Number","928"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","10","Low floor buses","10","Donnybrook 1","Number","105"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","10","Low floor buses","20","Donnybrook 2","Number","106"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","10","Low floor buses","30","Ringsend","Number","104"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","10","Low floor buses","40","Conyngham Road","Number","93"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","10","Low floor buses","50","Summerhill","Number","88"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","10","Low floor buses","60","Clontarf","Number","78"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","10","Low floor buses","70","Phibsboro","Number","169"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","10","Low floor buses","80","Harristown","Number","176"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","10","Low floor buses","90","Broadstone","Number",""
"TOA13C01","Dublin Bus fleet by garage","2014","2014","10","Low floor buses","-","All bus depots Dublin","Number","919"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","20","Buses other than low floor","10","Donnybrook 1","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","20","Buses other than low floor","20","Donnybrook 2","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","20","Buses other than low floor","30","Ringsend","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","20","Buses other than low floor","40","Conyngham Road","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","20","Buses other than low floor","50","Summerhill","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","20","Buses other than low floor","60","Clontarf","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","20","Buses other than low floor","70","Phibsboro","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","20","Buses other than low floor","80","Harristown","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","20","Buses other than low floor","90","Broadstone","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","20","Buses other than low floor","-","All bus depots Dublin","Number","0"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","-","All Bus Types","10","Donnybrook 1","Number","105"
"TOA13C01","Dublin Bus fleet by garage","2014","2014","-","All Bus Types","20","Donnybrook 2","Number","106"
