"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2019W01","2019 Week 01","10","Dublin Metro Bus","Number","1987891"
"THA25C01","Passenger Journeys","2019W01","2019 Week 01","20","Bus, excluding Dublin Metro","Number","497598"
"THA25C01","Passenger Journeys","2019W01","2019 Week 01","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W01","2019 Week 01","40","All public transport, excluding LUAS","Number","2485489"
"THA25C01","Passenger Journeys","2019W02","2019 Week 02","10","Dublin Metro Bus","Number","2709579"
"THA25C01","Passenger Journeys","2019W02","2019 Week 02","20","Bus, excluding Dublin Metro","Number","633764"
"THA25C01","Passenger Journeys","2019W02","2019 Week 02","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W02","2019 Week 02","40","All public transport, excluding LUAS","Number","3343343"
"THA25C01","Passenger Journeys","2019W03","2019 Week 03","10","Dublin Metro Bus","Number","2784678"
"THA25C01","Passenger Journeys","2019W03","2019 Week 03","20","Bus, excluding Dublin Metro","Number","678097"
"THA25C01","Passenger Journeys","2019W03","2019 Week 03","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W03","2019 Week 03","40","All public transport, excluding LUAS","Number","3462775"
"THA25C01","Passenger Journeys","2019W04","2019 Week 04","10","Dublin Metro Bus","Number","2858346"
"THA25C01","Passenger Journeys","2019W04","2019 Week 04","20","Bus, excluding Dublin Metro","Number","676140"
"THA25C01","Passenger Journeys","2019W04","2019 Week 04","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W04","2019 Week 04","40","All public transport, excluding LUAS","Number","3534486"
"THA25C01","Passenger Journeys","2019W05","2019 Week 05","10","Dublin Metro Bus","Number","2924821"
"THA25C01","Passenger Journeys","2019W05","2019 Week 05","20","Bus, excluding Dublin Metro","Number","672440"
"THA25C01","Passenger Journeys","2019W05","2019 Week 05","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W05","2019 Week 05","40","All public transport, excluding LUAS","Number","3597261"
