"STATISTIC","Statistic Label","TLIST(A1)","Year","C03935V04687","Mode of Transport","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","01","Week 01","Number","1987891"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","02","Week 02","Number","2709579"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","03","Week 03","Number","2784678"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","04","Week 04","Number","2858346"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","05","Week 05","Number","2924821"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","06","Week 06","Number","2979960"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","07","Week 07","Number","3053710"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","08","Week 08","Number","2927041"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","09","Week 09","Number","2989171"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","10","Week 10","Number","3065148"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","11","Week 11","Number","2998440"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","12","Week 12","Number","2742468"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","13","Week 13","Number","3136873"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","14","Week 14","Number","3087216"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","15","Week 15","Number","3101074"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","16","Week 16","Number","2723661"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","17","Week 17","Number","2535513"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","18","Week 18","Number","2990676"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","19","Week 19","Number","2719955"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","20","Week 20","Number","2960967"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","21","Week 21","Number","2938021"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","22","Week 22","Number","2900323"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","23","Week 23","Number","2591616"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","24","Week 24","Number","2844409"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","25","Week 25","Number","2826773"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","26","Week 26","Number","2840156"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","27","Week 27","Number","2953254"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","28","Week 28","Number","2954091"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","29","Week 29","Number","2895372"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","30","Week 30","Number","2939485"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","31","Week 31","Number","2725260"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","32","Week 32","Number","2547806"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","33","Week 33","Number","2724875"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","34","Week 34","Number","2793023"
"THA24C01","Passenger Journeys","2019","2019","10","Dublin Metro Bus","35","Week 35","Number","2872215"
