"STATISTIC","Statistic Label","TLIST(A1)","Year","C03894V04645","Scheduled services","UNIT","VALUE"
"TOA16C01","Passengers","2011","2011","10","Dublin city services","Number (000)","116958"
"TOA16C01","Passengers","2011","2011","20","Provincial city and town services","Number (000)","16389"
"TOA16C01","Passengers","2011","2011","30","Other scheduled services","Number (000)","20112"
"TOA16C01","Passengers","2011","2011","40","School transport scheme","Number (000)","41814"
"TOA16C01","Passengers","2012","2012","10","Dublin city services","Number (000)","115198"
"TOA16C01","Passengers","2012","2012","20","Provincial city and town services","Number (000)","16728"
"TOA16C01","Passengers","2012","2012","30","Other scheduled services","Number (000)","20046"
"TOA16C01","Passengers","2012","2012","40","School transport scheme","Number (000)","40398"
"TOA16C01","Passengers","2013","2013","10","Dublin city services","Number (000)","114268"
"TOA16C01","Passengers","2013","2013","20","Provincial city and town services","Number (000)","17651"
"TOA16C01","Passengers","2013","2013","30","Other scheduled services","Number (000)","18076"
"TOA16C01","Passengers","2013","2013","40","School transport scheme","Number (000)","41116"
"TOA16C01","Passengers","2014","2014","10","Dublin city services","Number (000)","116262"
"TOA16C01","Passengers","2014","2014","20","Provincial city and town services","Number (000)","18641"
"TOA16C01","Passengers","2014","2014","30","Other scheduled services","Number (000)","18547"
"TOA16C01","Passengers","2014","2014","40","School transport scheme","Number (000)","43940"
"TOA16C01","Passengers","2015","2015","10","Dublin city services","Number (000)","122093"
"TOA16C01","Passengers","2015","2015","20","Provincial city and town services","Number (000)","19352"
"TOA16C01","Passengers","2015","2015","30","Other scheduled services","Number (000)","18509"
"TOA16C01","Passengers","2015","2015","40","School transport scheme","Number (000)","41040"
"TOA16C01","Passengers","2016","2016","10","Dublin city services","Number (000)","125377"
"TOA16C01","Passengers","2016","2016","20","Provincial city and town services","Number (000)","20578"
"TOA16C01","Passengers","2016","2016","30","Other scheduled services","Number (000)","19108"
"TOA16C01","Passengers","2016","2016","40","School transport scheme","Number (000)","40508"
"TOA16C01","Passengers","2017","2017","10","Dublin city services","Number (000)","138978"
"TOA16C01","Passengers","2017","2017","20","Provincial city and town services","Number (000)","20178"
"TOA16C01","Passengers","2017","2017","30","Other scheduled services","Number (000)","17683"
"TOA16C01","Passengers","2017","2017","40","School transport scheme","Number (000)","40766"
"TOA16C01","Passengers","2018","2018","10","Dublin city services","Number (000)","143104"
"TOA16C01","Passengers","2018","2018","20","Provincial city and town services","Number (000)","22995"
"TOA16C01","Passengers","2018","2018","30","Other scheduled services","Number (000)","19070"
"TOA16C01","Passengers","2018","2018","40","School transport scheme","Number (000)","41576"
"TOA16C01","Passengers","2019","2019","10","Dublin city services","Number (000)","138311"
"TOA16C01","Passengers","2019","2019","20","Provincial city and town services","Number (000)","26699"
"TOA16C01","Passengers","2019","2019","30","Other scheduled services","Number (000)","20074"
"TOA16C01","Passengers","2019","2019","40","School transport scheme","Number (000)","42614"
"TOA16C01","Passengers","2020","2020","10","Dublin city services","Number (000)","68927"
"TOA16C01","Passengers","2020","2020","20","Provincial city and town services","Number (000)","13551"
"TOA16C01","Passengers","2020","2020","30","Other scheduled services","Number (000)","9017"
"TOA16C01","Passengers","2020","2020","40","School transport scheme","Number (000)","28730"
"TOA16C01","Passengers","2021","2021","10","Dublin city services","Number (000)","69929"
"TOA16C01","Passengers","2021","2021","20","Provincial city and town services","Number (000)","10530"
"TOA16C01","Passengers","2021","2021","30","Other scheduled services","Number (000)","8152"
"TOA16C01","Passengers","2021","2021","40","School transport scheme","Number (000)","30030"
"TOA16C01","Passengers","2022","2022","10","Dublin city services","Number (000)","121378"
"TOA16C01","Passengers","2022","2022","20","Provincial city and town services","Number (000)","28773"
"TOA16C01","Passengers","2022","2022","30","Other scheduled services","Number (000)","12677"
"TOA16C01","Passengers","2022","2022","40","School transport scheme","Number (000)","48700"
"TOA16C02","Vehicle kilometers","2011","2011","10","Dublin city services","km (000)","53900"
"TOA16C02","Vehicle kilometers","2011","2011","20","Provincial city and town services","km (000)","8061"
"TOA16C02","Vehicle kilometers","2011","2011","30","Other scheduled services","km (000)","82409"
"TOA16C02","Vehicle kilometers","2011","2011","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2012","2012","10","Dublin city services","km (000)","52100"
"TOA16C02","Vehicle kilometers","2012","2012","20","Provincial city and town services","km (000)","7805"
"TOA16C02","Vehicle kilometers","2012","2012","30","Other scheduled services","km (000)","82633"
"TOA16C02","Vehicle kilometers","2012","2012","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2013","2013","10","Dublin city services","km (000)","50137"
"TOA16C02","Vehicle kilometers","2013","2013","20","Provincial city and town services","km (000)","7664"
"TOA16C02","Vehicle kilometers","2013","2013","30","Other scheduled services","km (000)","71171"
"TOA16C02","Vehicle kilometers","2013","2013","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2014","2014","10","Dublin city services","km (000)","48714"
"TOA16C02","Vehicle kilometers","2014","2014","20","Provincial city and town services","km (000)","7946"
"TOA16C02","Vehicle kilometers","2014","2014","30","Other scheduled services","km (000)","70804"
"TOA16C02","Vehicle kilometers","2014","2014","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2015","2015","10","Dublin city services","km (000)","54784"
"TOA16C02","Vehicle kilometers","2015","2015","20","Provincial city and town services","km (000)","8360"
"TOA16C02","Vehicle kilometers","2015","2015","30","Other scheduled services","km (000)","69390"
"TOA16C02","Vehicle kilometers","2015","2015","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2016","2016","10","Dublin city services","km (000)","55320"
"TOA16C02","Vehicle kilometers","2016","2016","20","Provincial city and town services","km (000)","8968"
"TOA16C02","Vehicle kilometers","2016","2016","30","Other scheduled services","km (000)","71400"
"TOA16C02","Vehicle kilometers","2016","2016","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2017","2017","10","Dublin city services","km (000)","57350"
"TOA16C02","Vehicle kilometers","2017","2017","20","Provincial city and town services","km (000)","9266"
