"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02734V03302","Means of Travel","C02704V03272","At Work, School or College","UNIT","VALUE"
"FY081C01","Total Persons","2011","2011","-","Both sexes","01","On foot","-06","All persons","Number","414938"
"FY081C01","Total Persons","2011","2011","-","Both sexes","01","On foot","904","Population aged 15 years and over at work","Number","170510"
"FY081C01","Total Persons","2011","2011","-","Both sexes","01","On foot","901","Children at school aged between 5 and 12 years","Number","118523"
"FY081C01","Total Persons","2011","2011","-","Both sexes","01","On foot","902","Students at school or college aged between 13 and 18 years","Number","73946"
"FY081C01","Total Persons","2011","2011","-","Both sexes","01","On foot","903","Students at school or college aged 19 years and over","Number","51959"
"FY081C01","Total Persons","2011","2011","-","Both sexes","02","Bicycle","-06","All persons","Number","61177"
"FY081C01","Total Persons","2011","2011","-","Both sexes","02","Bicycle","904","Population aged 15 years and over at work","Number","39803"
"FY081C01","Total Persons","2011","2011","-","Both sexes","02","Bicycle","901","Children at school aged between 5 and 12 years","Number","6252"
"FY081C01","Total Persons","2011","2011","-","Both sexes","02","Bicycle","902","Students at school or college aged between 13 and 18 years","Number","6592"
"FY081C01","Total Persons","2011","2011","-","Both sexes","02","Bicycle","903","Students at school or college aged 19 years and over","Number","8530"
"FY081C01","Total Persons","2011","2011","-","Both sexes","03","Bus, minibus or coach","-06","All persons","Number","288562"
"FY081C01","Total Persons","2011","2011","-","Both sexes","03","Bus, minibus or coach","904","Population aged 15 years and over at work","Number","91676"
"FY081C01","Total Persons","2011","2011","-","Both sexes","03","Bus, minibus or coach","901","Children at school aged between 5 and 12 years","Number","60263"
"FY081C01","Total Persons","2011","2011","-","Both sexes","03","Bus, minibus or coach","902","Students at school or college aged between 13 and 18 years","Number","96153"
"FY081C01","Total Persons","2011","2011","-","Both sexes","03","Bus, minibus or coach","903","Students at school or college aged 19 years and over","Number","40470"
"FY081C01","Total Persons","2011","2011","-","Both sexes","04","Train, DART or LUAS","-06","All persons","Number","70976"
"FY081C01","Total Persons","2011","2011","-","Both sexes","04","Train, DART or LUAS","904","Population aged 15 years and over at work","Number","52749"
"FY081C01","Total Persons","2011","2011","-","Both sexes","04","Train, DART or LUAS","901","Children at school aged between 5 and 12 years","Number","691"
"FY081C01","Total Persons","2011","2011","-","Both sexes","04","Train, DART or LUAS","902","Students at school or college aged between 13 and 18 years","Number","5640"
"FY081C01","Total Persons","2011","2011","-","Both sexes","04","Train, DART or LUAS","903","Students at school or college aged 19 years and over","Number","11896"
"FY081C01","Total Persons","2011","2011","-","Both sexes","05","Motorcycle or scooter","-06","All persons","Number","9312"
"FY081C01","Total Persons","2011","2011","-","Both sexes","05","Motorcycle or scooter","904","Population aged 15 years and over at work","Number","8443"
"FY081C01","Total Persons","2011","2011","-","Both sexes","05","Motorcycle or scooter","901","Children at school aged between 5 and 12 years","Number","0"
"FY081C01","Total Persons","2011","2011","-","Both sexes","05","Motorcycle or scooter","902","Students at school or college aged between 13 and 18 years","Number","236"
"FY081C01","Total Persons","2011","2011","-","Both sexes","05","Motorcycle or scooter","903","Students at school or college aged 19 years and over","Number","633"
