"STATISTIC","Statistic Label","TLIST(W1)","Year","C03132V03784","Luas Line","C01198V01436","Weeks of the year","UNIT","VALUE"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","01","Week 01","Number","549533"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","02","Week 02","Number","839022"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","03","Week 03","Number","819359"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","04","Week 04","Number","860745"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","05","Week 05","Number","912795"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","06","Week 06","Number","912612"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","07","Week 07","Number","940476"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","08","Week 08","Number","952291"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","09","Week 09","Number","929391"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","10","Week 10","Number","941919"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","11","Week 11","Number","924998"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","12","Week 12","Number","868205"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","13","Week 13","Number","1003871"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","14","Week 14","Number","933575"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","15","Week 15","Number","945662"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","16","Week 16","Number","842186"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","17","Week 17","Number","801296"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","18","Week 18","Number","919255"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","19","Week 19","Number","817933"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","20","Week 20","Number","904983"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","21","Week 21","Number","902415"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","22","Week 22","Number","973025"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","23","Week 23","Number","826269"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","24","Week 24","Number","925516"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","25","Week 25","Number","883208"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","26","Week 26","Number","905636"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","27","Week 27","Number","982288"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","28","Week 28","Number","919158"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","29","Week 29","Number","903958"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","30","Week 30","Number","926491"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","31","Week 31","Number","832452"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","32","Week 32","Number","807393"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","33","Week 33","Number","868677"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","34","Week 34","Number","862939"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","35","Week 35","Number","897355"
"TII01C01","Passenger Journeys","2019","2019","-","All Luas lines","36","Week 36","Number","933362"
