"STATISTIC","Statistic Label","TLIST(W1)","Week","C03132V03784","Luas Line","UNIT","VALUE"
"TII03C01","Passenger Journeys","2019W01","2019 Week 01","-","All Luas lines","Number","549533"
"TII03C01","Passenger Journeys","2019W01","2019 Week 01","1","Red line","Number","274139"
"TII03C01","Passenger Journeys","2019W01","2019 Week 01","2","Green line","Number","275394"
"TII03C01","Passenger Journeys","2019W02","2019 Week 02","-","All Luas lines","Number","839022"
"TII03C01","Passenger Journeys","2019W02","2019 Week 02","1","Red line","Number","408199"
"TII03C01","Passenger Journeys","2019W02","2019 Week 02","2","Green line","Number","430823"
"TII03C01","Passenger Journeys","2019W03","2019 Week 03","-","All Luas lines","Number","819359"
"TII03C01","Passenger Journeys","2019W03","2019 Week 03","1","Red line","Number","376785"
"TII03C01","Passenger Journeys","2019W03","2019 Week 03","2","Green line","Number","442574"
"TII03C01","Passenger Journeys","2019W04","2019 Week 04","-","All Luas lines","Number","860745"
"TII03C01","Passenger Journeys","2019W04","2019 Week 04","1","Red line","Number","405224"
"TII03C01","Passenger Journeys","2019W04","2019 Week 04","2","Green line","Number","455521"
"TII03C01","Passenger Journeys","2019W05","2019 Week 05","-","All Luas lines","Number","912795"
"TII03C01","Passenger Journeys","2019W05","2019 Week 05","1","Red line","Number","441197"
"TII03C01","Passenger Journeys","2019W05","2019 Week 05","2","Green line","Number","471598"
"TII03C01","Passenger Journeys","2019W06","2019 Week 06","-","All Luas lines","Number","912612"
"TII03C01","Passenger Journeys","2019W06","2019 Week 06","1","Red line","Number","449398"
"TII03C01","Passenger Journeys","2019W06","2019 Week 06","2","Green line","Number","463215"
"TII03C01","Passenger Journeys","2019W07","2019 Week 07","-","All Luas lines","Number","940476"
"TII03C01","Passenger Journeys","2019W07","2019 Week 07","1","Red line","Number","466795"
"TII03C01","Passenger Journeys","2019W07","2019 Week 07","2","Green line","Number","473682"
"TII03C01","Passenger Journeys","2019W08","2019 Week 08","-","All Luas lines","Number","952291"
"TII03C01","Passenger Journeys","2019W08","2019 Week 08","1","Red line","Number","480974"
"TII03C01","Passenger Journeys","2019W08","2019 Week 08","2","Green line","Number","471317"
"TII03C01","Passenger Journeys","2019W09","2019 Week 09","-","All Luas lines","Number","929391"
"TII03C01","Passenger Journeys","2019W09","2019 Week 09","1","Red line","Number","468299"
"TII03C01","Passenger Journeys","2019W09","2019 Week 09","2","Green line","Number","461093"
"TII03C01","Passenger Journeys","2019W10","2019 Week 10","-","All Luas lines","Number","941919"
"TII03C01","Passenger Journeys","2019W10","2019 Week 10","1","Red line","Number","475467"
"TII03C01","Passenger Journeys","2019W10","2019 Week 10","2","Green line","Number","466451"
"TII03C01","Passenger Journeys","2019W11","2019 Week 11","-","All Luas lines","Number","924998"
"TII03C01","Passenger Journeys","2019W11","2019 Week 11","1","Red line","Number","442796"
"TII03C01","Passenger Journeys","2019W11","2019 Week 11","2","Green line","Number","482201"
"TII03C01","Passenger Journeys","2019W12","2019 Week 12","-","All Luas lines","Number","868205"
"TII03C01","Passenger Journeys","2019W12","2019 Week 12","1","Red line","Number","440137"
"TII03C01","Passenger Journeys","2019W12","2019 Week 12","2","Green line","Number","428068"
"TII03C01","Passenger Journeys","2019W13","2019 Week 13","-","All Luas lines","Number","1003871"
"TII03C01","Passenger Journeys","2019W13","2019 Week 13","1","Red line","Number","516298"
"TII03C01","Passenger Journeys","2019W13","2019 Week 13","2","Green line","Number","487573"
"TII03C01","Passenger Journeys","2019W14","2019 Week 14","-","All Luas lines","Number","933575"
"TII03C01","Passenger Journeys","2019W14","2019 Week 14","1","Red line","Number","457616"
"TII03C01","Passenger Journeys","2019W14","2019 Week 14","2","Green line","Number","475959"
"TII03C01","Passenger Journeys","2019W15","2019 Week 15","-","All Luas lines","Number","945662"
"TII03C01","Passenger Journeys","2019W15","2019 Week 15","1","Red line","Number","469346"
"TII03C01","Passenger Journeys","2019W15","2019 Week 15","2","Green line","Number","476316"
