"STATISTIC","Statistic Label","TLIST(A1)","Year","C03132V03784","Luas Line","C03841V04591","Time of day","UNIT","VALUE"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","110","05:00 - 05:59","%","0.48"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","120","06:00 - 06:59","%","2.79"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","130","07:00 - 07:59","%","7.9"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","140","08:00 - 08:59","%","12.49"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","150","09:00 - 09:59","%","6.96"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","160","10:00 - 10:59","%","4.38"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","180","11:00 - 11:59","%","3.82"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","190","12:00 - 12:59","%","4.42"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","200","13:00 - 13:59","%","5.18"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","220","14:00 - 14:59","%","4.62"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","230","15:00 - 15:59","%","5.81"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","240","16:00 - 16:59","%","8.42"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","250","17:00 - 17:59","%","10.29"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","260","18:00 - 18:59","%","8.16"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","270","19:00 - 19:59","%","4.56"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","280","20:00 - 20:59","%","3.58"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","290","21:00 - 21:59","%","2.57"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","300","22:00 - 22:59","%","1.95"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","320","23:00 - 23:59","%","1.28"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","-","All Luas lines","330","00:00 - 00:59","%","0.41"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","110","05:00 - 05:59","%","0.53"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","120","06:00 - 06:59","%","3.07"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","130","07:00 - 07:59","%","7.38"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","140","08:00 - 08:59","%","11.27"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","150","09:00 - 09:59","%","7.16"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","160","10:00 - 10:59","%","5.16"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","180","11:00 - 11:59","%","4.54"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","190","12:00 - 12:59","%","4.95"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","200","13:00 - 13:59","%","6.11"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","220","14:00 - 14:59","%","5.51"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","230","15:00 - 15:59","%","6.3"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","240","16:00 - 16:59","%","8.85"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","250","17:00 - 17:59","%","8.78"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","01","Red line","260","18:00 - 18:59","%","7.3"
