"STATISTIC","Statistic Label","TLIST(A1)","Year","C03132V03784","Luas Line","UNIT","VALUE"
"TOA10C01","Length of line","2018","2018","1","Red line","km","20.5"
"TOA10C01","Length of line","2018","2018","2","Green line","km","22"
"TOA10C01","Length of line","2019","2019","1","Red line","km","20.8km"
"TOA10C01","Length of line","2019","2019","2","Green line","km","22.0km"
"TOA10C01","Length of line","2020","2020","1","Red line","km","20.8km"
"TOA10C01","Length of line","2020","2020","2","Green line","km","22.0km"
"TOA10C01","Length of line","2021","2021","1","Red line","km","20.8"
"TOA10C01","Length of line","2021","2021","2","Green line","km","22"
"TOA10C01","Length of line","2022","2022","1","Red line","km","20.8"
"TOA10C01","Length of line","2022","2022","2","Green line","km","22"
"TOA10C02","Journey time","2018","2018","1","Red line","Minutes","51"
"TOA10C02","Journey time","2018","2018","2","Green line","Minutes","40"
"TOA10C02","Journey time","2019","2019","1","Red line","Minutes","55"
"TOA10C02","Journey time","2019","2019","2","Green line","Minutes","66"
"TOA10C02","Journey time","2020","2020","1","Red line","Minutes","55"
"TOA10C02","Journey time","2020","2020","2","Green line","Minutes","66"
"TOA10C02","Journey time","2021","2021","1","Red line","Minutes","55"
"TOA10C02","Journey time","2021","2021","2","Green line","Minutes","66"
"TOA10C02","Journey time","2022","2022","1","Red line","Minutes","55"
"TOA10C02","Journey time","2022","2022","2","Green line","Minutes","66"
"TOA10C03","Trams","2018","2018","1","Red line","Number","40"
"TOA10C03","Trams","2018","2018","2","Green line","Number","33"
"TOA10C03","Trams","2019","2019","1","Red line","Number","37"
"TOA10C03","Trams","2019","2019","2","Green line","Number","36"
"TOA10C03","Trams","2020","2020","1","Red line","Number","37"
"TOA10C03","Trams","2020","2020","2","Green line","Number","41"
"TOA10C03","Trams","2021","2021","1","Red line","Number","40"
"TOA10C03","Trams","2021","2021","2","Green line","Number","41"
"TOA10C03","Trams","2022","2022","1","Red line","Number","40"
"TOA10C03","Trams","2022","2022","2","Green line","Number","41"
"TOA10C04","Length of tram","2018","2018","1","Red line","Metres","40.8"
"TOA10C04","Length of tram","2018","2018","2","Green line","Metres","43.6/54.7"
"TOA10C04","Length of tram","2019","2019","1","Red line","Metres","40.8"
"TOA10C04","Length of tram","2019","2019","2","Green line","Metres","43.6/54.7"
"TOA10C04","Length of tram","2020","2020","1","Red line","Metres","40.8"
"TOA10C04","Length of tram","2020","2020","2","Green line","Metres","54.7"
"TOA10C04","Length of tram","2021","2021","1","Red line","Metres","40.8"
"TOA10C04","Length of tram","2021","2021","2","Green line","Metres","54.7"
"TOA10C04","Length of tram","2022","2022","1","Red line","Metres","40.8"
"TOA10C04","Length of tram","2022","2022","2","Green line","Metres","54.7"
