"STATISTIC","Statistic Label","C03157V03810","Local Authority","C03122V03774","Type of Carriageway","TLIST(A1)","Year","UNIT","VALUE"
"NRA02","National Route Length","-","All local authorities","-","All Carriage ways","2006","2006","Kilometres","5427"
"NRA02","National Route Length","-","All local authorities","-","All Carriage ways","2007","2007","Kilometres","5427"
"NRA02","National Route Length","-","All local authorities","-","All Carriage ways","2008","2008","Kilometres","5434"
"NRA02","National Route Length","-","All local authorities","-","All Carriage ways","2009","2009","Kilometres","5444"
"NRA02","National Route Length","-","All local authorities","-","All Carriage ways","2010","2010","Kilometres","5413"
"NRA02","National Route Length","-","All local authorities","-","All Carriage ways","2011","2011","Kilometres","5413"
"NRA02","National Route Length","-","All local authorities","-","All Carriage ways","2012","2012","Kilometres","5413"
"NRA02","National Route Length","-","All local authorities","-","All Carriage ways","2013","2013","Kilometres","5305"
"NRA02","National Route Length","-","All local authorities","-","All Carriage ways","2014","2014","Kilometres","5306"
"NRA02","National Route Length","-","All local authorities","01","Motorway","2006","2006","Kilometres","270"
"NRA02","National Route Length","-","All local authorities","01","Motorway","2007","2007","Kilometres","269"
"NRA02","National Route Length","-","All local authorities","01","Motorway","2008","2008","Kilometres","423"
"NRA02","National Route Length","-","All local authorities","01","Motorway","2009","2009","Kilometres","663"
"NRA02","National Route Length","-","All local authorities","01","Motorway","2010","2010","Kilometres","900"
"NRA02","National Route Length","-","All local authorities","01","Motorway","2011","2011","Kilometres","900"
"NRA02","National Route Length","-","All local authorities","01","Motorway","2012","2012","Kilometres","900"
"NRA02","National Route Length","-","All local authorities","01","Motorway","2013","2013","Kilometres","897"
"NRA02","National Route Length","-","All local authorities","01","Motorway","2014","2014","Kilometres","897"
"NRA02","National Route Length","-","All local authorities","03","Single","2006","2006","Kilometres","4804"
"NRA02","National Route Length","-","All local authorities","03","Single","2007","2007","Kilometres","4714"
"NRA02","National Route Length","-","All local authorities","03","Single","2008","2008","Kilometres","4610"
"NRA02","National Route Length","-","All local authorities","03","Single","2009","2009","Kilometres","4482"
"NRA02","National Route Length","-","All local authorities","03","Single","2010","2010","Kilometres","4189"
"NRA02","National Route Length","-","All local authorities","03","Single","2011","2011","Kilometres","4189"
"NRA02","National Route Length","-","All local authorities","03","Single","2012","2012","Kilometres","4189"
"NRA02","National Route Length","-","All local authorities","03","Single","2013","2013","Kilometres","4110"
"NRA02","National Route Length","-","All local authorities","03","Single","2014","2014","Kilometres","4110"
"NRA02","National Route Length","-","All local authorities","04","Two plus one","2006","2006","Kilometres","21"
"NRA02","National Route Length","-","All local authorities","04","Two plus one","2007","2007","Kilometres","39"
"NRA02","National Route Length","-","All local authorities","04","Two plus one","2008","2008","Kilometres","39"
"NRA02","National Route Length","-","All local authorities","04","Two plus one","2009","2009","Kilometres","39"
"NRA02","National Route Length","-","All local authorities","04","Two plus one","2010","2010","Kilometres","38"
"NRA02","National Route Length","-","All local authorities","04","Two plus one","2011","2011","Kilometres","38"
"NRA02","National Route Length","-","All local authorities","04","Two plus one","2012","2012","Kilometres","38"
"NRA02","National Route Length","-","All local authorities","04","Two plus one","2013","2013","Kilometres",""
"NRA02","National Route Length","-","All local authorities","04","Two plus one","2014","2014","Kilometres",""
"NRA02","National Route Length","-","All local authorities","05","Dual carriageway","2006","2006","Kilometres","332"
"NRA02","National Route Length","-","All local authorities","05","Dual carriageway","2007","2007","Kilometres","405"
"NRA02","National Route Length","-","All local authorities","05","Dual carriageway","2008","2008","Kilometres","362"
"NRA02","National Route Length","-","All local authorities","05","Dual carriageway","2009","2009","Kilometres","260"
"NRA02","National Route Length","-","All local authorities","05","Dual carriageway","2010","2010","Kilometres","286"
"NRA02","National Route Length","-","All local authorities","05","Dual carriageway","2011","2011","Kilometres","286"
