"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03424V04122","Local Authority","C03122V03774","Type of Carriageway","UNIT","VALUE"
"NRA03","National Route Length","2015","2015","-","All licensing authorities","-","All Carriage ways","Number","5306"
"NRA03","National Route Length","2015","2015","-","All licensing authorities","01","Motorway","Number","916"
"NRA03","National Route Length","2015","2015","-","All licensing authorities","03","Single","Number","4096"
"NRA03","National Route Length","2015","2015","-","All licensing authorities","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","-","All licensing authorities","05","Dual carriageway","Number","294"
"NRA03","National Route Length","2015","2015","01","Carlow","-","All Carriage ways","Number","78"
"NRA03","National Route Length","2015","2015","01","Carlow","01","Motorway","Number","24"
"NRA03","National Route Length","2015","2015","01","Carlow","03","Single","Number","54"
"NRA03","National Route Length","2015","2015","01","Carlow","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","01","Carlow","05","Dual carriageway","Number","0"
"NRA03","National Route Length","2015","2015","02","Dublin","-","All Carriage ways","Number","140"
"NRA03","National Route Length","2015","2015","02","Dublin","01","Motorway","Number","82"
"NRA03","National Route Length","2015","2015","02","Dublin","03","Single","Number","16"
"NRA03","National Route Length","2015","2015","02","Dublin","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","02","Dublin","05","Dual carriageway","Number","41"
"NRA03","National Route Length","2015","2015","03","Kildare","-","All Carriage ways","Number","134"
"NRA03","National Route Length","2015","2015","03","Kildare","01","Motorway","Number","108"
"NRA03","National Route Length","2015","2015","03","Kildare","03","Single","Number","18"
"NRA03","National Route Length","2015","2015","03","Kildare","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","03","Kildare","05","Dual carriageway","Number","8"
"NRA03","National Route Length","2015","2015","04","Kilkenny","-","All Carriage ways","Number","197"
"NRA03","National Route Length","2015","2015","04","Kilkenny","01","Motorway","Number","68"
"NRA03","National Route Length","2015","2015","04","Kilkenny","03","Single","Number","112"
"NRA03","National Route Length","2015","2015","04","Kilkenny","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","04","Kilkenny","05","Dual carriageway","Number","17"
"NRA03","National Route Length","2015","2015","05","Laois","-","All Carriage ways","Number","168"
"NRA03","National Route Length","2015","2015","05","Laois","01","Motorway","Number","67"
"NRA03","National Route Length","2015","2015","05","Laois","03","Single","Number","102"
"NRA03","National Route Length","2015","2015","05","Laois","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","05","Laois","05","Dual carriageway","Number","0"
"NRA03","National Route Length","2015","2015","06","Longford","-","All Carriage ways","Number","97"
"NRA03","National Route Length","2015","2015","06","Longford","01","Motorway","Number","0"
"NRA03","National Route Length","2015","2015","06","Longford","03","Single","Number","97"
"NRA03","National Route Length","2015","2015","06","Longford","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","06","Longford","05","Dual carriageway","Number","0"
"NRA03","National Route Length","2015","2015","07","Louth","-","All Carriage ways","Number","98"
"NRA03","National Route Length","2015","2015","07","Louth","01","Motorway","Number","40"
"NRA03","National Route Length","2015","2015","07","Louth","03","Single","Number","49"
"NRA03","National Route Length","2015","2015","07","Louth","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","07","Louth","05","Dual carriageway","Number","9"
"NRA03","National Route Length","2015","2015","08","Meath","-","All Carriage ways","Number","204"
"NRA03","National Route Length","2015","2015","08","Meath","01","Motorway","Number","88"
"NRA03","National Route Length","2015","2015","08","Meath","03","Single","Number","104"
"NRA03","National Route Length","2015","2015","08","Meath","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","08","Meath","05","Dual carriageway","Number","12"
"NRA03","National Route Length","2015","2015","09","Offaly","-","All Carriage ways","Number","116"
"NRA03","National Route Length","2015","2015","09","Offaly","01","Motorway","Number","15"
"NRA03","National Route Length","2015","2015","09","Offaly","03","Single","Number","101"
"NRA03","National Route Length","2015","2015","09","Offaly","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","09","Offaly","05","Dual carriageway","Number","0"
"NRA03","National Route Length","2015","2015","10","Westmeath","-","All Carriage ways","Number","175"
"NRA03","National Route Length","2015","2015","10","Westmeath","01","Motorway","Number","56"
"NRA03","National Route Length","2015","2015","10","Westmeath","03","Single","Number","102"
"NRA03","National Route Length","2015","2015","10","Westmeath","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","10","Westmeath","05","Dual carriageway","Number","18"
"NRA03","National Route Length","2015","2015","11","Wexford","-","All Carriage ways","Number","164"
"NRA03","National Route Length","2015","2015","11","Wexford","01","Motorway","Number","22"
"NRA03","National Route Length","2015","2015","11","Wexford","03","Single","Number","142"
"NRA03","National Route Length","2015","2015","11","Wexford","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","11","Wexford","05","Dual carriageway","Number","0"
"NRA03","National Route Length","2015","2015","12","Wicklow","-","All Carriage ways","Number","92"
"NRA03","National Route Length","2015","2015","12","Wicklow","01","Motorway","Number","35"
"NRA03","National Route Length","2015","2015","12","Wicklow","03","Single","Number","38"
"NRA03","National Route Length","2015","2015","12","Wicklow","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","12","Wicklow","05","Dual carriageway","Number","18"
"NRA03","National Route Length","2015","2015","13","Clare","-","All Carriage ways","Number","233"
"NRA03","National Route Length","2015","2015","13","Clare","01","Motorway","Number","32"
"NRA03","National Route Length","2015","2015","13","Clare","03","Single","Number","182"
"NRA03","National Route Length","2015","2015","13","Clare","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","13","Clare","05","Dual carriageway","Number","20"
