"STATISTIC","Statistic Label","TLIST(W1)","Year","C03910V04662","Transport Traffic Site","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","01","Week 01","Number","463064"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","02","Week 02","Number","534609"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","03","Week 03","Number","549470"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","04","Week 04","Number","550892"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","05","Week 05","Number","543468"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","06","Week 06","Number","551850"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","07","Week 07","Number","567892"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","08","Week 08","Number","575255"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","09","Week 09","Number","569793"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","10","Week 10","Number","570752"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","11","Week 11","Number","546053"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","12","Week 12","Number","559722"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","13","Week 13","Number","592217"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","14","Week 14","Number","579543"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","15","Week 15","Number","583124"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","16","Week 16","Number","560245"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","17","Week 17","Number","564764"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","18","Week 18","Number","580301"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","19","Week 19","Number","569762"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","20","Week 20","Number","594815"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","21","Week 21","Number","603575"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","22","Week 22","Number","587534"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","23","Week 23","Number","572720"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","24","Week 24","Number","595508"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","25","Week 25","Number","593055"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","26","Week 26","Number","601581"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","27","Week 27","Number","590467"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","28","Week 28","Number","587003"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","29","Week 29","Number","584356"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","30","Week 30","Number","588741"
"THA21C01","Average weekly volume of cars","2019","2019","10","Selected traffic sites - Dublin","31","Week 31","Number","579020"
