"STATISTIC","Statistic Label","TLIST(W1)","Year","C03910V04662","Transport Traffic Site","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","01","Week 01","Number","23838"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","02","Week 02","Number","38353"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","03","Week 03","Number","39973"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","04","Week 04","Number","40314"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","05","Week 05","Number","40709"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","06","Week 06","Number","40682"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","07","Week 07","Number","41778"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","08","Week 08","Number","41783"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","09","Week 09","Number","42588"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","10","Week 10","Number","42979"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","11","Week 11","Number","41785"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","12","Week 12","Number","38313"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","13","Week 13","Number","43440"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","14","Week 14","Number","43310"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","15","Week 15","Number","42998"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","16","Week 16","Number","40096"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","17","Week 17","Number","35429"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","18","Week 18","Number","42366"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","19","Week 19","Number","37060"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","20","Week 20","Number","42644"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","21","Week 21","Number","42946"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","22","Week 22","Number","42419"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","23","Week 23","Number","38651"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","24","Week 24","Number","43891"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","25","Week 25","Number","44160"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","26","Week 26","Number","43695"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","27","Week 27","Number","43422"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","28","Week 28","Number","42534"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","29","Week 29","Number","42507"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","30","Week 30","Number","41604"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","31","Week 31","Number","40527"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","32","Week 32","Number","37706"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","33","Week 33","Number","42592"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","34","Week 34","Number","42878"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","35","Week 35","Number","43586"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","36","Week 36","Number","44461"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","37","Week 37","Number","44727"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","38","Week 38","Number","44917"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","39","Week 39","Number","45197"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","40","Week 40","Number","44118"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","41","Week 41","Number","44632"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","42","Week 42","Number","44899"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","43","Week 43","Number","45342"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","44","Week 44","Number","39478"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","45","Week 45","Number","43402"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","46","Week 46","Number","43796"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","47","Week 47","Number","42971"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","48","Week 48","Number","43419"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","49","Week 49","Number","44217"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","50","Week 50","Number","44302"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","51","Week 51","Number","45311"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","52","Week 52","Number","13757"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","10","Selected traffic sites - Dublin","53","Week 53","Number",""
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","01","Week 01","Number","8869"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","02","Week 02","Number","14282"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","03","Week 03","Number","14646"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","04","Week 04","Number","14251"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","05","Week 05","Number","14171"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","06","Week 06","Number","14617"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","07","Week 07","Number","14756"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","08","Week 08","Number","14727"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","09","Week 09","Number","15125"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","10","Week 10","Number","15260"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","11","Week 11","Number","15170"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","12","Week 12","Number","13812"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","13","Week 13","Number","15902"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","14","Week 14","Number","15818"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","15","Week 15","Number","15827"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","16","Week 16","Number","14946"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","17","Week 17","Number","13381"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","18","Week 18","Number","15685"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","19","Week 19","Number","13975"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","20","Week 20","Number","15741"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","21","Week 21","Number","15605"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","22","Week 22","Number","15711"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","23","Week 23","Number","14022"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","24","Week 24","Number","15891"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","25","Week 25","Number","15783"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","26","Week 26","Number","15605"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","27","Week 27","Number","15716"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","28","Week 28","Number","15630"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","29","Week 29","Number","15651"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","30","Week 30","Number","15382"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","31","Week 31","Number","14837"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","32","Week 32","Number","13487"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","33","Week 33","Number","15196"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","34","Week 34","Number","15265"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","35","Week 35","Number","15234"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","36","Week 36","Number","15343"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","37","Week 37","Number","15311"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","38","Week 38","Number","15143"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","39","Week 39","Number","15228"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","40","Week 40","Number","15251"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","41","Week 41","Number","15433"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","42","Week 42","Number","15481"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","43","Week 43","Number","15743"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","44","Week 44","Number","13488"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","45","Week 45","Number","15373"
