countryEN,Result,Value_label
European Union,39.80131146,hours
Austria,36.65244244,hours
Belgium,46.64410643,hours
Bulgaria,30.89037725,hours
Cyprus,33.65346577,hours
Czechia,40.19516754,hours
Germany,34.40767201,hours
Denmark,45.05880694,hours
Estonia,42.20806757,hours
Greece,32.71208472,hours
Spain,29.9379097,hours
Finland,42.83671449,hours
France,41.08936209,hours
Croatia,36.75566839,hours
Hungary,49.69452948,hours
Ireland,48.83869814,hours
Italy,40.16298477,hours
Lithuania,32.81687284,hours
Luxembourg,50.76953023,hours
Latvia,39.75147313,hours
Malta,61.30186423,hours
Netherlands,58.17914079,hours
Poland,33.54982154,hours
Portugal,39.14183235,hours
Romania,34.30744199,hours
Sweden,51.63419513,hours
Slovenia,36.35926588,hours
Slovakia,39.95428456,hours
United Kingdom,48.13640908,hours

