,Town,Latitude,Longitude
0,"Carlingford,Louth,Ireland",54.0468677,-6.190181
1,"Clogherhead,Louth,Ireland",53.7916777,-6.2388506
2,"Baltray,Louth,Ireland",53.7371107,-6.2704904
3,"Termonfeckin,Louth,Ireland",53.76101389999999,-6.271843199999999
4,"Rampark,Louth,Ireland",53.97515,-6.48617
5,"Omeath,Louth,Ireland",54.0882604,-6.2593365
6,"Jenkinstown,Louth,Ireland",54.01605559999999,-6.3103519
7,"Beaulieu,Louth,Ireland",53.7280656,-6.2935757
8,"Drogheda,Louth,Ireland",53.717856,-6.3560985
9,"Annagassan,Louth,Ireland",53.882628,-6.343494199999999
10,"Castlebellingham-Kilsaran,Louth,Ireland",53.89811,-6.3895
11,"Dunleer,Louth,Ireland",53.8310533,-6.3944559
12,"Dundalk,Louth,Ireland",53.9979451,-6.405957
13,"Dromiskin,Louth,Ireland",53.9217123,-6.401009200000001
14,"Tullyallen,Louth,Ireland",53.73661,-6.42244
15,"Tinure,Louth,Ireland",53.79188,-6.419
16,"Collon,Louth,Ireland",53.7777425,-6.4840991
17,"Knockbridge,Louth,Ireland",53.9718223,-6.486281099999999
18,"Ardee,Louth,Ireland",53.8576227,-6.5400009
19,"Louth,Louth,Ireland",53.9507955,-6.5406821
20,"Tallanstown,Louth,Ireland",53.9200662,-6.5471834
21,"Gormanston,Meath,Ireland",53.6419159,-6.2480288
22,"Laytown-Bettystown-Mornington-Donacarney,Meath,Ireland",53.69861100000001,-6.244721999999999
23,"Stamullen,Meath,Ireland",53.63023,-6.26834
24,"Julianstown,Meath,Ireland",53.6729374,-6.285651
25,"Ashbourne,Meath,Ireland",53.5111621,-6.3973818
26,"Duleek,Meath,Ireland",53.6547501,-6.4221752
27,"Donore,Meath,Ireland",53.6921097,-6.4172506
28,"Clonee,Meath,Ireland",53.4105621,-6.4426
29,"Ratoath,Meath,Ireland",53.5062898,-6.465680099999999
30,"Dunboyne,Meath,Ireland",53.4192677,-6.4758857
31,"Kentstown,Meath,Ireland",53.6275364,-6.533341099999999
32,"Dunshaughlin,Meath,Ireland",53.5135229,-6.540252499999999
33,"Slane,Meath,Ireland",53.7086474,-6.543651199999999
34,"Kilcloon,Meath,Ireland",53.42723,-6.58392
35,"Kilmessan,Meath,Ireland",53.55888849999999,-6.6589527
36,"Drumconrath,Meath,Ireland",53.8515966,-6.6563415
37,"Navan,Meath,Ireland",53.647092,-6.6966605
38,"Robinstown,Meath,Ireland",53.5946777,-6.7280973
39,"Summerhill,Meath,Ireland",53.4813655,-6.732514699999999
40,"Nobber,Meath,Ireland",53.8217066,-6.747939799999999
41,"Trim,Meath,Ireland",53.5523666,-6.7866474
42,"Rathmolyon,Meath,Ireland",53.488177,-6.8036692
43,"Kilmainhamwood,Meath,Ireland",53.852351,-6.8048926
44,"Enfield,Meath,Ireland",53.4142026,-6.8296541
45,"Carlanstown,Meath,Ireland",53.7597065,-6.841353799999999
46,"Kells,Meath,Ireland",53.72718030000001,-6.876972299999999
47,"Kildalkey,Meath,Ireland",53.5714499,-6.9060291
48,"Athboy,Meath,Ireland",53.6236329,-6.915636999999999
49,"Longwood,Meath,Ireland",53.4550101,-6.9247866
50,"Ballivor,Meath,Ireland",53.5329521,-6.968071699999999
51,"Crossakeel,Meath,Ireland",53.71411920000001,-7.020536799999999
52,"Clonard,Meath,Ireland",53.4515329,-7.0231073
53,"Oldcastle,Meath,Ireland",53.7700178,-7.162411799999999
54,"Edenderry,Offaly,Ireland",53.3432235,-7.0517202
55,"Clonbullogue,Offaly,Ireland",53.26068309999999,-7.086431
56,"Bracknagh,Offaly,Ireland",53.209205,-7.0981836
57,"Rhode,Offaly,Ireland",53.3499888,-7.198962900000001
58,"Walsh Island or Coolagary,Offaly,Ireland",53.234638,-7.2138556
59,"Clonygowan,Offaly,Ireland",53.1874518,-7.2804446
60,"Daingean,Offaly,Ireland",53.2960818,-7.291967
61,"Geashill,Offaly,Ireland",53.2352224,-7.3209776
62,"Ballinagar,Offaly,Ireland",53.2662048,-7.337107199999998
63,"Killeigh,Offaly,Ireland",53.2140733,-7.450342699999999
64,"Tullamore,Offaly,Ireland",53.2752768,-7.4924439
65,"Killurin,Offaly,Ireland",53.2173433,-7.5509127
66,"Mucklagh,Offaly,Ireland",53.250532,-7.550175399999999
67,"Clara,Offaly,Ireland",53.3425103,-7.613480099999999
68,"Ballycumber,Offaly,Ireland",53.3264159,-7.686113700000001
69,"Pollagh,Offaly,Ireland",53.2768407,-7.709173000000001
70,"Kinnitty,Offaly,Ireland",53.097806,-7.7189969
71,"Kilcormac,Offaly,Ireland",53.1764113,-7.7274112
72,"Ferbane,Offaly,Ireland",53.27195,-7.8278719
73,"Cloghan,Offaly,Ireland",53.2252399,-7.8825143
74,"Belmont,Offaly,Ireland",53.2560708,-7.895165199999999
75,"Crinkill,Offaly,Ireland",53.07837860000001,-7.8970751
76,"Birr,Offaly,Ireland",53.0980052,-7.909688200000001
77,"Shinrone,Offaly,Ireland",52.9844035,-7.9245622
78,"Moneygall,Offaly,Ireland",52.87973760000001,-7.9578079
79,"Banagher,Offaly,Ireland",53.1901112,-7.986104900000001
80,"Shannonbridge,Offaly,Ireland",53.279632,-8.044721299999999
81,"Clonmellon,Westmeath,Ireland",53.6640717,-7.0183933
82,"Delvin,Westmeath,Ireland",53.6125653,-7.0917224
83,"Raharney,Westmeath,Ireland",53.5241052,-7.0960895
84,"Kinnegad,Westmeath,Ireland",53.4568103,-7.1049959
85,"Killucan-Rathwire,Westmeath,Ireland",53.5138676,-7.1428989
86,"Collinstown,Westmeath,Ireland",53.64747149999999,-7.212159999999999
87,"Castlepollard,Westmeath,Ireland",53.6800722,-7.2964508
88,"Rochfortbridge,Westmeath,Ireland",53.4146417,-7.2996835
89,"Mullingar,Westmeath,Ireland",53.5259334,-7.3381378
90,"Tyrrellspass,Westmeath,Ireland",53.3889615,-7.3773447
91,"Multyfarnham,Westmeath,Ireland",53.6252723,-7.3893159
92,"Ballinalack,Westmeath,Ireland",53.63055809999999,-7.473040999999999
93,"Castletown Geoghegan,Westmeath,Ireland",53.4462801,-7.487606899999999
94,"Kilbeggan,Westmeath,Ireland",53.3684574,-7.4994634
95,"Rathowen,Westmeath,Ireland",53.656076,-7.5203959
96,"Ballynacargy,Westmeath,Ireland",53.5820789,-7.5364989
97,"Ballymore,Westmeath,Ireland",53.4909131,-7.679746399999999
98,"Moate,Westmeath,Ireland",53.3949987,-7.7186188
99,"Baylin,Westmeath,Ireland",53.43380999999999,-7.840739999999998
100,"Glassan,Westmeath,Ireland",53.4699107,-7.863907299999999
101,"Athlone,Westmeath,Ireland",53.4239331,-7.940689799999999
102,"Courtown,Wexford,Ireland",52.6448624,-6.2286169
103,"Coolgreany,Wexford,Ireland",52.7647077,-6.2360077
104,"Kilmuckridge,Wexford,Ireland",52.51308849999999,-6.283934599999999
105,"Killinierin,Wexford,Ireland",52.7300058,-6.2850306
106,"Gorey,Wexford,Ireland",52.67573549999999,-6.2943022
107,"Ballycanew,Wexford,Ireland",52.6106782,-6.3049672
108,"Rosslare Harbour,Wexford,Ireland",52.2513061,-6.3414908
109,"Blackwater,Wexford,Ireland",52.4473539,-6.346930299999999
110,"Monamolin,Wexford,Ireland",52.556856,-6.3496134
111,"Tagoat,Wexford,Ireland",52.2454387,-6.388300099999999
112,"Rosslare,Wexford,Ireland",52.2720275,-6.3892254
113,"Oulart,Wexford,Ireland",52.5039145,-6.390861699999999
114,"The Ballagh,Wexford,Ireland",52.47257,-6.43323
115,"Camolin,Wexford,Ireland",52.6156787,-6.4263356
116,"Castlebridge,Wexford,Ireland",52.3824281,-6.4502872
117,"Wexford,Wexford,Ireland",52.336916,-6.4633381
118,"Ballymurn,Wexford,Ireland",52.4412829,-6.477046899999999
119,"Piercetown,Wexford,Ireland",52.28785999999999,-6.48747
120,"Ballysimon,Wexford,Ireland",52.5227528,-6.483686199999999
121,"Ferns,Wexford,Ireland",52.5909249,-6.498010499999999
122,"Murntown,Wexford,Ireland",52.28724,-6.5222437
123,"Oilgate,Wexford,Ireland",52.42101,-6.52994
124,"Barntown,Wexford,Ireland",52.34238800000001,-6.5284919
125,"Kilmore,Wexford,Ireland",52.2056319,-6.5473792
126,"Bridgetown,Wexford,Ireland",52.2302422,-6.549064
127,"Enniscorthy,Wexford,Ireland",52.5031135,-6.5727721
128,"Killurin,Wexford,Ireland",53.2173433,-7.5509127
129,"Ballyhogue,Wexford,Ireland",52.41432,-6.575349999999999
130,"Bree,Wexford,Ireland",52.43517689999999,-6.6087149
131,"Kilmore Quay,Wexford,Ireland",52.17571940000001,-6.5863919
132,"Duncormick,Wexford,Ireland",52.2285412,-6.655054199999999
133,"Taghmon,Wexford,Ireland",52.3229838,-6.6546699
134,"Bunclody,Wexford,Ireland",52.6550857,-6.652193
135,"Adamstown,Wexford,Ireland",52.3935687,-6.7185567
136,"Clonroche,Wexford,Ireland",52.4496872,-6.7174157
137,"Carrig on Bannow,Wexford,Ireland",52.2385344,-6.7321656
138,"Clongeen,Wexford,Ireland",52.2978897,-6.7727531
139,"Newbawn,Wexford,Ireland",52.3428304,-6.7912642
140,"Fethard,Wexford,Ireland",52.1923021,-6.8402183
141,"Ballycullane,Wexford,Ireland",52.2803179,-6.8397818
142,"Duncannon,Wexford,Ireland",52.2206117,-6.9325606
143,"Campile,Wexford,Ireland",52.2881507,-6.9413872
144,"New Ross,Wexford,Ireland",52.3958337,-6.945456699999999
145,"Arthurstown,Wexford,Ireland",52.24206059999999,-6.9517472
146,"Ballyhack,Wexford,Ireland",52.2487468,-6.9640362
147,"Wicklow,Wicklow,Ireland",52.9808207,-6.044588999999999
148,"Kilcoole,Wicklow,Ireland",53.1062723,-6.064586100000001
149,"Newcastle,Wicklow,Ireland",53.07335519999999,-6.057185
150,"Greystones-Delgany,Wicklow,Ireland",53.1491175,-6.0793414
151,"Rathnew,Wicklow,Ireland",52.9946004,-6.082812
152,"Kilpedder,Wicklow,Ireland",53.11037349999999,-6.1055471
153,"Newtownmountkennedy,Wicklow,Ireland",53.0927815,-6.112023
154,"Barndarrig,Wicklow,Ireland",52.90998,-6.11336
155,"Ashford,Wicklow,Ireland",53.0107896,-6.108289000000001
156,"Bray,Wicklow,Ireland",53.2006993,-6.110931900000001
157,"Redcross,Wicklow,Ireland",52.88974400000001,-6.1452741
158,"Arklow,Wicklow,Ireland",52.79769349999999,-6.1599293
159,"Glenealy,Wicklow,Ireland",52.9666341,-6.144572900000001
160,"Kilmacanogue,Wicklow,Ireland",53.16901,-6.13946
161,"Enniskerry,Wicklow,Ireland",53.1935037,-6.1707299
162,"Avoca,Wicklow,Ireland",52.8586664,-6.2140891
163,"Roundwood,Wicklow,Ireland",53.0657875,-6.2241877
164,"Rathdrum,Wicklow,Ireland",52.93231230000001,-6.231101199999999
