COUNTRY,Country,INDICATOR,Indicator,YEAR,Year,Value,Flag Codes,Flags
ALB,Albania,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2000,2000,10.03559381,,
ALB,Albania,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2004,2004,4.246321917,,
ALB,Albania,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2005,2005,4.585897408,,
ALB,Albania,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2006,2006,4.150819324,,
ALB,Albania,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2007,2007,3.000096034,,
ALB,Albania,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2000,2000,11.33042864,,
ALB,Albania,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2004,2004,10.06825707,,
ALB,Albania,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2005,2005,12.26171655,,
ALB,Albania,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2006,2006,12.33932165,,
ALB,Albania,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2007,2007,10.78546015,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2004,2004,0.071490667,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2005,2005,0.079980728,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2006,2006,0.089475864,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2007,2007,0.09869045,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2008,2008,0.077395132,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2009,2009,0.084389128,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2010,2010,0.105927792,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2011,2011,0.100889938,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2012,2012,0.101097139,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2013,2013,0.099206616,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2014,2014,0.087182653,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2015,2015,0.102156582,,
ALB,Albania,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2016,2016,0.093230787,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2004,2004,169.5082061,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2005,2005,213.851496,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2006,2006,265.9888049,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2007,2007,354.795949,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2008,2008,338.2584957,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2009,2009,347.1881822,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2010,2010,433.7054213,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2011,2011,447.6628935,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2012,2012,429.4233797,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2013,2013,437.8050853,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2014,2014,399.177392,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2015,2015,403.8049046,,
ALB,Albania,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2016,2016,384.4889314,,
ARM,Armenia,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2000,2000,147.0000282,,
ARM,Armenia,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2001,2001,133.1194466,,
ARM,Armenia,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2000,2000,88.68485411,,
