Mode of Transport,Type of Route,Year,Quarter,"Ticket Revenues (NOK 1,000)","Passengers (1,000 Passengers)","Passengers with School Transport (1,000 Passengers)","Ordinary Travellers (1,000 Passengers)",
All modes of transportation,Total,2005,Q1,1778164,114812,0,0,
All modes of transportation,Total,2005,Q2,1837285,107736,0,0,
All modes of transportation,Total,2005,Q3,1837864,98664,0,0,
All modes of transportation,Total,2005,Q4,1906634,116841,0,0,
All modes of transportation,Total,2006,Q1,1910865,119340,0,0,
All modes of transportation,Total,2006,Q2,1812055,104279,0,0,
All modes of transportation,Total,2006,Q3,1884071,97240,0,0,
All modes of transportation,Total,2006,Q4,2061628,113991,0,0,
All modes of transportation,Total,2007,Q1,2112561,115660,0,0,
All modes of transportation,Total,2007,Q2,2093714,101170,0,0,
All modes of transportation,Total,2007,Q3,2116215,101704,0,0,
All modes of transportation,Total,2007,Q4,2203722,121608,0,0,
All modes of transportation,Total,2008,Q1,2190572,105131,0,0,
All modes of transportation,Total,2008,Q2,2336468,105460,0,0,
All modes of transportation,Total,2008,Q3,2235703,108900,0,0,
All modes of transportation,Total,2008,Q4,2278502,125503,0,0,
All modes of transportation,Total,2009,Q1,2270785,128395,0,0,
All modes of transportation,Total,2009,Q2,2348124,113636,0,0,
All modes of transportation,Total,2009,Q3,2315409,107092,0,0,
All modes of transportation,Total,2009,Q4,2373252,124335,0,0,
All modes of transportation,Total,2010,Q1,2273348,130022,0,0,
All modes of transportation,Total,2010,Q2,2361788,118250,0,0,
All modes of transportation,Total,2010,Q3,2385707,112061,0,0,
All modes of transportation,Total,2010,Q4,2461068,135111,0,0,
All modes of transportation,Total,2011,Q1,2462234,139795,0,0,
All modes of transportation,Total,2011,Q2,2507156,123769,0,0,
All modes of transportation,Total,2011,Q3,2405473,116943,0,0,
All modes of transportation,Total,2011,Q4,2450945,134941,0,0,
All modes of transportation,Total,2012,Q1,2485173,142148,0,0,
All modes of transportation,Total,2012,Q2,2523454,129295,0,0,
All modes of transportation,Total,2012,Q3,2504258,121630,0,0,
All modes of transportation,Total,2012,Q4,2682327,141277,0,0,
All modes of transportation,Total,2013,Q1,2558218,142599,0,0,
All modes of transportation,Total,2013,Q2,2806801,138597,0,0,
All modes of transportation,Total,2013,Q3,2647555,125466,0,0,
All modes of transportation,Total,2013,Q4,2821544,148362,0,0,
All modes of transportation,Total,2014,Q1,2749111,152677,0,0,
All modes of transportation,Total,2014,Q2,2951109,138077,0,0,
All modes of transportation,Total,2014,Q3,2866501,132728,0,0,
All modes of transportation,Total,2014,Q4,2894778,148097,0,0,
All modes of transportation,Total,2015,Q1,2982280,151230,0,0,
All modes of transportation,Total,2015,Q2,3099222,141223,0,0,
All modes of transportation,Total,2015,Q3,3087160,135211,0,0,
All modes of transportation,Total,2015,Q4,3105894,150894,0,0,
All modes of transportation,Total,2016,Q1,3090950,160957,14324,127696,
All modes of transportation,Total,2016,Q2,3261446,151208,13075,118587,
All modes of transportation,Total,2016,Q3,3378318,145022,8481,117127,
All modes of transportation,Total,2016,Q4,3433623,158663,13820,127997,
All modes of transportation,Total,2017,Q1,3291160,172981,15787,138227,
All modes of transportation,Total,2017,Q2,3406266,156908,12108,126458,
All modes of transportation,Total,2017,Q3,3496395,148840,8280,123067,
All modes of transportation,Total,2017,Q4,3462763,183801,14460,149543,
All modes of transportation,Total,2018,Q1,3400115,174635,15843,139579,
All modes of transportation,Total,2018,Q2,3716433,172420,14726,137307,
All modes of transportation,Total,2018,Q3,3806883,151134,8868,123961,
All modes of transportation,Total,2018,Q4,3690878,184880,16505,147540,
All modes of transportation,Total,2019,Q1,3650374,185208,16795,147527,
All modes of transportation,Total,2019,Q2,3898741,166243,14105,131551,
All modes of transportation,Total,2019,Q3,3898953,154021,8354,127432,
All modes of transportation,Total,2019,Q4,3852822,189817,15057,153168,
All modes of transportation,Total,2020,Q1,3170837,147832,11496,118911,
All modes of transportation,Total,2020,Q2,1392291,78412,5111,66312,
All modes of transportation,Total,2020,Q3,2192569,104742,7506,87811,
All modes of transportation,Total,2020,Q4,1782438,107018,14480,83883,
All modes of transportation,Total,2021,Q1,1456078,97686,12718,78043,
All modes of transportation,Total,2021,Q2,1749289,105964,11695,85474,
All modes of transportation,Total,2021,Q3,2613790,119821,8907,100028,
All modes of transportation,Total,2021,Q4,2904156,147908,13743,119370,
All modes of transportation,Total,2022,Q1,2761333,143175,16248,113251,
All modes of transportation,Total,2022,Q2,3661510,156600,13630,125810,
All modes of transportation,Total,2022,Q3,3649015,149507,8771,124253,
All modes of transportation,Total,2022,Q4,3611799,176612,15059,142483,
All modes of transportation,Total,2023,Q1,3660043,187085,16745,151018,
All modes of transportation,Total,2023,Q2,3955574,173702,13974,140186,
All modes of transportation,Commercial routs,2005,Q1,0,0,0,0,
All modes of transportation,Commercial routs,2005,Q2,0,0,0,0,
All modes of transportation,Commercial routs,2005,Q3,0,0,0,0,
All modes of transportation,Commercial routs,2005,Q4,0,0,0,0,
All modes of transportation,Commercial routs,2006,Q1,0,0,0,0,
All modes of transportation,Commercial routs,2006,Q2,0,0,0,0,
All modes of transportation,Commercial routs,2006,Q3,0,0,0,0,
All modes of transportation,Commercial routs,2006,Q4,0,0,0,0,
All modes of transportation,Commercial routs,2007,Q1,0,0,0,0,
All modes of transportation,Commercial routs,2007,Q2,0,0,0,0,
All modes of transportation,Commercial routs,2007,Q3,0,0,0,0,
All modes of transportation,Commercial routs,2007,Q4,0,0,0,0,
All modes of transportation,Commercial routs,2008,Q1,0,0,0,0,
All modes of transportation,Commercial routs,2008,Q2,0,0,0,0,
All modes of transportation,Commercial routs,2008,Q3,0,0,0,0,
