,Year,Month,Passengers (Mn.),Season
0,2014,January,8.99,Winter
1,2014,February,9.12,Winter
2,2014,March,10.33,Spring
3,2014,April,9.65,Spring
4,2014,May,9.44,Spring
5,2014,June,9.1,Summer
6,2014,July,9.25,Summer
7,2014,August,9.35,Summer
8,2014,September,10.29,Autumn
9,2014,October,10.75,Autumn
10,2014,November,10.55,Autumn
11,2014,December,9.46,Winter
12,2015,January,9.58,Winter
13,2015,February,9.6,Winter
14,2015,March,10.54,Spring
15,2015,April,10.04,Spring
16,2015,May,9.37,Spring
17,2015,June,9.47,Summer
18,2015,July,10.32,Summer
19,2015,August,9.54,Summer
20,2015,September,10.98,Autumn
21,2015,October,11.43,Autumn
22,2015,November,11.05,Autumn
23,2015,December,10.17,Winter
24,2016,January,9.86,Winter
25,2016,February,10.7,Winter
26,2016,March,10.7,Spring
27,2016,April,11.09,Spring
28,2016,May,10.83,Spring
29,2016,June,9.96,Summer
30,2016,July,10.48,Summer
31,2016,August,10.24,Summer
32,2016,September,8.56,Autumn
33,2016,October,11.24,Autumn
34,2016,November,11.32,Autumn
35,2016,December,10.4,Winter
36,2017,January,10.47,Winter
37,2017,February,10.72,Winter
38,2017,March,12.05,Spring
39,2017,April,10.84,Spring
40,2017,May,11.77,Spring
41,2017,June,10.99,Summer
42,2017,July,11.63,Summer
43,2017,August,11.34,Summer
44,2017,September,12.43,Autumn
45,2017,October,12.55,Autumn
46,2017,November,13.02,Autumn
47,2017,December,11.16,Winter
48,2018,January,11.42,Winter
49,2018,February,11.28,Winter
50,2018,March,11.07,Spring
51,2018,April,12.05,Spring
52,2018,May,12.74,Spring
53,2018,June,11.49,Summer
54,2018,July,12.07,Summer
55,2018,August,11.68,Summer
56,2018,September,12.45,Autumn
57,2018,October,13.24,Autumn
58,2018,November,12.77,Autumn
59,2018,December,10.86,Winter
60,2019,January,11.22,Winter
61,2019,February,11.11,Winter
62,2019,March,11.96,Spring
63,2019,April,11.29,Spring
64,2019,May,11.81,Spring
65,2019,June,10.57,Summer
66,2019,July,11.76,Summer
67,2019,August,10.93,Summer
68,2019,September,11.9,Autumn
69,2019,October,12.61,Autumn
70,2019,November,12.24,Autumn
71,2019,December,10.92,Winter
72,2020,January,11.5,Winter
73,2020,February,11.51,Winter
74,2020,March,6.61,Spring
75,2020,April,1.47,Spring
76,2020,May,2.19,Spring
77,2020,June,3.54,Summer
78,2020,July,5.22,Summer
79,2020,August,5.42,Summer
80,2020,September,6.02,Autumn
81,2020,October,5.3,Autumn
82,2020,November,4.45,Autumn
83,2020,December,5.69,Winter
84,2021,January,2.79,Winter
85,2021,February,2.92,Winter
86,2021,March,3.84,Spring
87,2021,April,4.21,Spring
88,2021,May,5.28,Spring
89,2021,June,6.04,Summer
90,2021,July,6.29,Summer
91,2021,August,6.48,Summer
92,2021,September,7.82,Autumn
93,2021,October,8.52,Autumn
94,2021,November,8.55,Autumn
95,2021,December,7.18,Winter
96,2022,January,7.1,Winter
97,2022,February,7.89,Winter
98,2022,March,9.37,Spring
99,2022,April,9.2,Spring
100,2022,May,10.14,Spring
101,2022,June,10.05,Summer
102,2022,July,10.3,Summer
103,2022,August,10.45,Summer
104,2022,September,11.65,Autumn
105,2022,October,12.28,Autumn
106,2022,November,12.22,Autumn
107,2022,December,10.75,Winter
