,Year,Quarter,Season,Passengers
0,2014,Q1,Spring,10327497.0
1,2014,Q1,Winter,18108568.0
2,2014,Q2,Spring,19088309.0
3,2014,Q2,Summer,9096253.0
4,2014,Q3,Autumn,10288409.0
5,2014,Q3,Summer,18599228.0
6,2014,Q4,Autumn,21291136.0
7,2014,Q4,Winter,9462591.0
8,2015,Q1,Spring,10543380.0
9,2015,Q1,Winter,19173986.0
10,2015,Q2,Spring,19412884.0
11,2015,Q2,Summer,9470674.0
12,2015,Q3,Autumn,10979884.0
13,2015,Q3,Summer,19854160.0
14,2015,Q4,Autumn,22484641.0
15,2015,Q4,Winter,10172946.0
16,2016,Q1,Spring,10701987.0
17,2016,Q1,Winter,20557844.0
18,2016,Q2,Spring,21917724.0
19,2016,Q2,Summer,9957220.0
20,2016,Q3,Autumn,8559909.0
21,2016,Q3,Summer,20723278.0
22,2016,Q4,Autumn,22555469.0
23,2016,Q4,Winter,10403922.0
24,2017,Q1,Spring,12051139.0
25,2017,Q1,Winter,21186852.0
26,2017,Q2,Spring,22613664.0
27,2017,Q2,Summer,10986482.0
28,2017,Q3,Autumn,12432529.0
29,2017,Q3,Summer,22972081.0
30,2017,Q4,Autumn,25571531.0
31,2017,Q4,Winter,11163861.0
32,2018,Q1,Spring,11067489.0
33,2018,Q1,Winter,22698838.0
34,2018,Q2,Spring,24783471.0
35,2018,Q2,Summer,11490525.0
36,2018,Q3,Autumn,12448501.0
37,2018,Q3,Summer,23754070.0
38,2018,Q4,Autumn,26005635.0
39,2018,Q4,Winter,10855955.0
40,2019,Q1,Spring,11959588.0
41,2019,Q1,Winter,22324489.0
42,2019,Q2,Spring,23097004.0
43,2019,Q2,Summer,10569888.0
44,2019,Q3,Autumn,11898080.0
45,2019,Q3,Summer,22692203.0
46,2019,Q4,Autumn,24851732.0
47,2019,Q4,Winter,10917996.0
48,2020,Q1,Spring,6606702.0
49,2020,Q1,Winter,23012482.0
50,2020,Q2,Spring,3660097.0
51,2020,Q2,Summer,3544895.0
52,2020,Q3,Autumn,6024417.0
53,2020,Q3,Summer,10642883.0
54,2020,Q4,Autumn,9746166.0
55,2020,Q4,Winter,5689784.0
56,2021,Q1,Spring,3839607.0
57,2021,Q1,Winter,5707823.0
58,2021,Q2,Spring,9495680.0
59,2021,Q2,Summer,6042584.0
60,2021,Q3,Autumn,7823189.0
61,2021,Q3,Summer,12770565.0
62,2021,Q4,Autumn,17069095.0
63,2021,Q4,Winter,7179968.0
64,2022,Q1,Spring,9368847.436
65,2022,Q1,Winter,14989261.24
66,2022,Q2,Spring,19344628.058
67,2022,Q2,Summer,10046619.72
68,2022,Q3,Autumn,11650000.94
69,2022,Q3,Summer,20749316.259999998
70,2022,Q4,Autumn,24493570.740000002
71,2022,Q4,Winter,10747395.06
