Year,Month,Passengers (Mn.)
2014,January,8.99
2014,February,9.12
2014,March,10.33
2014,April,9.65
2014,May,9.44
2014,June,9.1
2014,July,9.25
2014,August,9.35
2014,September,10.29
2014,October,10.75
2014,November,10.55
2014,December,9.46
2015,January,9.58
2015,February,9.6
2015,March,10.54
2015,April,10.04
2015,May,9.37
2015,June,9.47
2015,July,10.32
2015,August,9.54
2015,September,10.98
2015,October,11.43
2015,November,11.05
2015,December,10.17
2016,January,9.86
2016,February,10.7
2016,March,10.7
2016,April,11.09
2016,May,10.83
2016,June,9.96
2016,July,10.48
2016,August,10.24
2016,September,8.56
2016,October,11.24
2016,November,11.32
2016,December,10.4
2017,January,10.47
2017,February,10.72
2017,March,12.05
2017,April,10.84
2017,May,11.77
2017,June,10.99
2017,July,11.63
2017,August,11.34
2017,September,12.43
2017,October,12.55
2017,November,13.02
2017,December,11.16
2018,January,11.42
2018,February,11.28
2018,March,11.07
2018,April,12.05
2018,May,12.74
2018,June,11.49
2018,July,12.07
2018,August,11.68
2018,September,12.45
2018,October,13.24
2018,November,12.77
2018,December,10.86
2019,January,11.22
2019,February,11.11
2019,March,11.96
2019,April,11.29
2019,May,11.81
2019,June,10.57
2019,July,11.76
2019,August,10.93
2019,September,11.9
2019,October,12.61
2019,November,12.24
2019,December,10.92
2020,January,11.5
2020,February,11.51
2020,March,6.61
2020,April,1.47
2020,May,2.19
2020,June,3.54
2020,July,5.22
2020,August,5.42
2020,September,6.02
2020,October,5.3
2020,November,4.45
2020,December,5.69
2021,January,2.79
2021,February,2.92
2021,March,3.84
2021,April,4.21
2021,May,5.28
2021,June,6.04
2021,July,6.29
2021,August,6.48
2021,September,7.82
2021,October,8.52
2021,November,8.55
2021,December,7.18
2022,January,7.1
2022,February,7.89
2022,March,9.37
2022,April,9.2
2022,May,10.14
2022,June,10.05
2022,July,10.3
2022,August,10.45
2022,September,11.65
2022,October,12.28
2022,November,12.22
2022,December,10.75
