Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster
Abbeydorney,Kerry,52.346618,-9.6879095,68,0,2,2,604,54,730,0
Abbeyfeale,Limerick,52.3851792,-9.3007966,64,2,10,2,1840,476,2394,0
Abbeyknockmoy,Galway,53.43649,-8.74804,76,0,2,0,378,18,474,0
Abbeyleix,Laois,52.9152801,-7.347892300000001,258,4,6,46,1560,304,2178,0
Adamstown,Wexford,52.3935687,-6.7185567,10,0,0,0,262,78,350,0
Adare,Limerick,52.5636521,-8.7925281,106,0,8,4,1094,262,1474,0
Aghada-Rostellan,Cork,51.8394856,-8.2149056,168,2,0,14,1098,100,1382,0
Aglish,Waterford,52.0715072,-7.822269599999999,50,2,2,0,272,52,378,0
Ahascragh,Galway,53.3976127,-8.3346318,12,0,6,2,154,8,182,0
Ailt An Chorráin,Donegal,54.9845286,-8.4326581,30,0,0,0,204,32,266,0
Allenwood,Kildare,53.2839545,-6.8618405,246,8,24,20,1784,168,2250,0
An Bun Beag,Donegal,55.060874,-8.3003485,46,0,6,0,670,90,812,0
An Charraig,Donegal,54.6577244,-8.632748399999999,18,0,2,2,286,62,370,0
An Cheathrú Rua,Galway,53.2641084,-9.5982671,30,0,2,2,486,120,640,0
An Clochán Liath,Donegal,54.95028869999999,-8.357362799999999,44,4,4,4,942,220,1218,0
An Fál Carrach,Donegal,55.13640840000001,-8.1044862,44,0,6,0,512,196,758,0
An Rinn,Waterford,52.04689450000001,-7.571887899999999,30,0,2,2,686,126,846,0
An Spidéal,Galway,53.2441766,-9.3058803,10,0,0,0,242,70,322,0
Anagaire,Donegal,55.02044,-8.31366,50,0,2,0,220,40,312,0
Annacotty,Limerick,52.667128,-8.5324694,204,2,10,0,3040,956,4212,0
Annagassan,Louth,53.882628,-6.343494199999999,32,0,2,0,178,16,228,0
Annaghdown,Galway,53.3881317,-9.0710338,26,0,2,0,230,2,260,0
Annascaul,Kerry,52.1510786,-10.0567611,60,0,0,0,246,38,344,0
Annayalla,Monaghan,54.16064,-6.788880000000001,34,0,2,0,238,42,316,0
Ardagh,Limerick,52.4941478,-9.0637542,18,0,6,0,268,30,322,0
Ardara,Donegal,54.7671456,-8.4092864,106,0,0,0,582,160,848,0
Ardee,Louth,53.8576227,-6.5400009,366,4,20,12,4234,1684,6320,0
Ardfert,Kerry,52.3282825,-9.767440599999999,72,0,4,0,706,88,870,0
Ardfinnan,Tipperary,52.3092483,-7.8842292,140,2,2,2,954,84,1184,0
Ardmore,Waterford,51.9510741,-7.725328999999999,54,2,0,2,314,126,498,0
Ardnacrusha,Clare,52.7104277,-8.602863,82,0,4,2,1564,50,1702,0
Arklow,Wicklow,52.79769349999999,-6.1599293,648,26,34,176,11320,3708,15912,3
Arthurstown,Wexford,52.24206059999999,-6.9517472,6,0,4,0,116,14,140,0
Arvagh,Cavan,53.9214383,-7.5799134,38,0,12,2,348,112,512,0
Ashbourne,Meath,53.5111621,-6.3973818,2090,84,36,48,13612,5782,21652,3
Ashford,Wicklow,53.0107896,-6.108289000000001,216,8,4,30,1772,198,2228,0
Askeaton,Limerick,52.6005095,-8.975062,46,0,4,2,912,312,1276,0
Athboy,Meath,53.6236329,-6.915636999999999,328,6,10,8,2190,664,3206,0
Athea,Limerick,52.4606497,-9.287626,52,0,6,0,320,80,458,0
Athenry,Galway,53.3008131,-8.745376799999999,146,10,4,262,4528,1140,6090,0
Athgarvan,Kildare,53.15289079999999,-6.777700299999999,72,4,6,68,1416,142,1708,0
Athleague,Roscommon,53.5676272,-8.2567472,44,0,0,2,304,44,394,0
Athlone,Westmeath,53.4239331,-7.940689799999999,2472,36,70,402,17500,5184,25664,3
Athy,Kildare,52.9918336,-6.985728,828,30,40,600,8744,2652,12894,0
Aughnacliffe,Longford,53.84885,-7.60445,26,0,2,2,160,18,208,0
Aughrim,Wicklow,52.8559337,-6.325933099999999,308,4,6,16,1226,194,1754,0
Avoca,Wicklow,52.8586664,-6.2140891,116,4,8,20,600,128,876,0
Baile Chláir,Galway,53.34090310000001,-8.9456735,126,8,0,4,1570,546,2254,0
Baile Mhic Íre,Cork,51.93639049999999,-9.1454314,18,0,4,0,336,112,470,0
Bailieborough,Cavan,53.9156096,-6.969294199999999,158,2,18,2,2324,572,3076,0
Balbriggan,Dublin,53.6083194,-6.182079799999999,2650,76,60,2694,17318,8868,31666,3
Balla,Mayo,53.8043767,-9.1305014,26,0,10,0,926,154,1116,0
Ballaghaderreen,Roscommon,53.9016968,-8.5792106,112,2,20,16,1548,670,2368,0
Ballina,Mayo,54.1149482,-9.1550693,1102,8,26,16,8734,2158,12044,0
Ballina,Tipperary,52.8070154,-8.430917899999999,170,4,8,16,2732,988,3918,0
Ballinabrannagh,Carlow,52.785424,-6.984884200000001,68,0,12,12,610,136,838,0
Ballinaclash,Wicklow,52.9052365,-6.2579487,82,0,4,12,280,2,380,0
