,Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification,Public,Private,Public to Private Ratio
0,Abbeydorney,Kerry,52.346618,-9.6879095,68,0,2,2,604,54,730,0,Town (Small),70,604,0.11589403973509933
1,Abbeyfeale,Limerick,52.3851792,-9.3007966,64,2,10,2,1840,476,2394,0,Town (Small),66,1842,0.035830618892508145
2,Abbeyknockmoy,Galway,53.43649,-8.74804,76,0,2,0,378,18,474,0,Town (Small),76,378,0.20105820105820105
3,Abbeyleix,Laois,52.9152801,-7.347892300000001,258,4,6,46,1560,304,2178,0,Town (Small),304,1564,0.19437340153452684
4,Adamstown,Wexford,52.3935687,-6.7185567,10,0,0,0,262,78,350,0,Town (Small),10,262,0.03816793893129771
5,Adare,Limerick,52.5636521,-8.7925281,106,0,8,4,1094,262,1474,0,Town (Small),110,1094,0.10054844606946983
6,Aghada-Rostellan,Cork,51.8394856,-8.2149056,168,2,0,14,1098,100,1382,0,Town (Small),182,1100,0.16545454545454547
7,Aglish,Waterford,52.0715072,-7.822269599999999,50,2,2,0,272,52,378,0,Town (Small),50,274,0.18248175182481752
8,Ahascragh,Galway,53.3976127,-8.3346318,12,0,6,2,154,8,182,0,Town (Small),14,154,0.09090909090909091
9,Ailt An Chorráin,Donegal,54.9845286,-8.4326581,30,0,0,0,204,32,266,0,Town (Small),30,204,0.14705882352941177
10,Allenwood,Kildare,53.2839545,-6.8618405,246,8,24,20,1784,168,2250,0,Town (Small),266,1792,0.1484375
11,An Bun Beag,Donegal,55.060874,-8.3003485,46,0,6,0,670,90,812,0,Town (Small),46,670,0.06865671641791045
12,An Charraig,Donegal,54.6577244,-8.632748399999999,18,0,2,2,286,62,370,0,Town (Small),20,286,0.06993006993006994
13,An Cheathrú Rua,Galway,53.2641084,-9.5982671,30,0,2,2,486,120,640,0,Town (Small),32,486,0.06584362139917696
14,An Clochán Liath,Donegal,54.95028869999999,-8.357362799999999,44,4,4,4,942,220,1218,0,Town (Small),48,946,0.0507399577167019
15,An Fál Carrach,Donegal,55.13640840000001,-8.1044862,44,0,6,0,512,196,758,0,Town (Small),44,512,0.0859375
