Town,County,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster
Abbeydorney,Kerry,68,0,2,2,604,54,730,0
Abbeyfeale,Limerick,64,2,10,2,1840,476,2394,0
Abbeyknockmoy,Galway,76,0,2,0,378,18,474,0
Abbeyleix,Laois,258,4,6,46,1560,304,2178,0
Adamstown,Wexford,10,0,0,0,262,78,350,0
Adare,Limerick,106,0,8,4,1094,262,1474,0
Aghada-Rostellan,Cork,168,2,0,14,1098,100,1382,0
Aglish,Waterford,50,2,2,0,272,52,378,0
Ahascragh,Galway,12,0,6,2,154,8,182,0
Ailt An Chorráin,Donegal,30,0,0,0,204,32,266,0
Allenwood,Kildare,246,8,24,20,1784,168,2250,0
An Bun Beag,Donegal,46,0,6,0,670,90,812,0
An Charraig,Donegal,18,0,2,2,286,62,370,0
An Cheathrú Rua,Galway,30,0,2,2,486,120,640,0
An Clochán Liath,Donegal,44,4,4,4,942,220,1218,0
An Fál Carrach,Donegal,44,0,6,0,512,196,758,0
An Rinn,Waterford,30,0,2,2,686,126,846,0
An Spidéal,Galway,10,0,0,0,242,70,322,0
Anagaire,Donegal,50,0,2,0,220,40,312,0
Annacotty,Limerick,204,2,10,0,3040,956,4212,0
Annagassan,Louth,32,0,2,0,178,16,228,0
Annaghdown,Galway,26,0,2,0,230,2,260,0
Annascaul,Kerry,60,0,0,0,246,38,344,0
Annayalla,Monaghan,34,0,2,0,238,42,316,0
Ardagh,Limerick,18,0,6,0,268,30,322,0
Ardara,Donegal,106,0,0,0,582,160,848,0
Ardee,Louth,366,4,20,12,4234,1684,6320,0
Ardfert,Kerry,72,0,4,0,706,88,870,0
Ardfinnan,Tipperary,140,2,2,2,954,84,1184,0
Ardmore,Waterford,54,2,0,2,314,126,498,0
Ardnacrusha,Clare,82,0,4,2,1564,50,1702,0
Arklow,Wicklow,648,26,34,176,11320,3708,15912,3
Arthurstown,Wexford,6,0,4,0,116,14,140,0
Arvagh,Cavan,38,0,12,2,348,112,512,0
Ashbourne,Meath,2090,84,36,48,13612,5782,21652,3
Ashford,Wicklow,216,8,4,30,1772,198,2228,0
Askeaton,Limerick,46,0,4,2,912,312,1276,0
Athboy,Meath,328,6,10,8,2190,664,3206,0
Athea,Limerick,52,0,6,0,320,80,458,0
Athenry,Galway,146,10,4,262,4528,1140,6090,0
Athgarvan,Kildare,72,4,6,68,1416,142,1708,0
Athleague,Roscommon,44,0,0,2,304,44,394,0
Athlone,Westmeath,2472,36,70,402,17500,5184,25664,3
Athy,Kildare,828,30,40,600,8744,2652,12894,0
Aughnacliffe,Longford,26,0,2,2,160,18,208,0
Aughrim,Wicklow,308,4,6,16,1226,194,1754,0
Avoca,Wicklow,116,4,8,20,600,128,876,0
Baile Chláir,Galway,126,8,0,4,1570,546,2254,0
Baile Mhic Íre,Cork,18,0,4,0,336,112,470,0
Bailieborough,Cavan,158,2,18,2,2324,572,3076,0
Balbriggan,Dublin,2650,76,60,2694,17318,8868,31666,3
Balla,Mayo,26,0,10,0,926,154,1116,0
Ballaghaderreen,Roscommon,112,2,20,16,1548,670,2368,0
Ballina,Mayo,1102,8,26,16,8734,2158,12044,0
Ballina,Tipperary,170,4,8,16,2732,988,3918,0
Ballinabrannagh,Carlow,68,0,12,12,610,136,838,0
Ballinaclash,Wicklow,82,0,4,12,280,2,380,0
Ballinagar,Offaly,38,0,2,0,354,46,440,0
Ballinagh,Cavan,180,0,4,2,904,160,1250,0
Ballinakill,Laois,10,0,6,6,454,54,530,0
Ballinalack,Westmeath,26,0,2,2,164,14,208,0
Ballinalee,Longford,52,0,4,8,346,34,444,0
Ballinameen,Roscommon,24,0,4,0,296,2,326,0
Ballinamore,Leitrim,58,0,8,4,844,292,1206,0
Ballinasloe,Galway,356,12,36,116,4994,1272,6786,0
Ballincar,Sligo,16,0,2,0,312,24,354,0
Ballinderreen,Galway,56,0,2,2,390,108,558,0
Ballindine,Mayo,50,0,4,0,438,68,560,0
Ballindrait,Donegal,8,0,2,0,70,4,84,0
Ballineen-Enniskean,Cork,98,0,6,0,556,140,800,0
Ballingarry,Limerick,58,0,2,0,614,102,776,0
Ballingarry,Tipperary,22,0,2,8,218,40,290,0
Ballinlough,Roscommon,12,0,4,0,308,28,352,0
Ballinroad,Waterford,40,2,8,0,1810,160,2020,0
