,Country Name,Country Code,2022,Population (Mn.)
44,"Congo, Rep.",COG,5970424.0,5.97
58,Denmark,DNK,5903037.0,5.9
208,Singapore,SGP,5637022.0,5.64
34,Central African Republic,CAF,5579144.0,5.58
75,Finland,FIN,5556880.0,5.56
130,Lebanon,LBN,5489739.0,5.49
177,Norway,NOR,5457127.0,5.46
221,Slovak Republic,SVK,5431752.0,5.43
131,Liberia,LBR,5302681.0,5.3
48,Costa Rica,CRI,5180829.0,5.18
180,New Zealand,NZL,5124100.0,5.12
111,Ireland,IRL,5086988.0,5.09
166,Mauritania,MRT,4736139.0,4.74
182,Oman,OMN,4576298.0,4.58
