Iron Man,Angel Has Fallen,Hobbs & Shaw,6 Underground,Inception
1,0,1,0,0
0,1,1,0,1
0,0,1,0,0
1,0,0,0,1
0,0,0,1,1
0,0,0,0,1
1,0,1,1,0
1,1,0,0,1
0,0,0,1,1
1,0,0,0,1
0,0,0,0,0
0,0,1,0,0
0,1,0,1,0
0,1,0,0,1
0,1,1,1,0
1,0,0,0,1
0,0,0,1,1
0,0,0,0,0
0,1,0,0,0
0,0,0,0,1
1,0,1,0,0
0,1,1,0,1
0,0,1,0,0
1,0,0,0,1
0,0,0,1,1
0,0,0,0,1
1,0,1,1,0
1,1,0,0,1
0,0,0,1,1
1,0,0,0,1
0,0,0,0,0
0,0,1,0,0
0,1,0,1,0
0,1,0,0,1
0,1,1,1,0
1,0,0,0,1
0,0,0,1,1
0,0,0,0,0
0,1,0,0,0
0,0,0,0,1
1,0,1,0,0
0,1,1,0,1
0,0,1,0,0
1,0,0,0,1
0,0,0,1,1
0,0,0,0,1
1,0,1,1,0
1,1,0,0,1
0,0,0,1,1
1,0,0,0,1
0,0,0,0,0
0,0,1,0,0
0,1,0,1,0
0,1,0,0,1
0,1,1,1,0
1,0,0,0,1
0,0,0,1,1
0,0,0,0,0
0,1,0,0,0
0,0,0,0,1
0,1,1,0,1
0,0,1,0,0
1,0,0,0,1
0,0,0,1,1
0,0,0,0,1
1,0,1,1,0
1,1,0,0,1
0,0,0,1,1
1,0,0,0,1
0,0,0,0,0
0,0,1,0,0
0,1,0,1,0
0,1,0,0,1
0,1,1,1,0
1,0,0,0,1
0,0,0,1,1
0,0,0,0,0
0,1,0,0,0
0,0,0,0,1
1,0,1,0,0
0,1,1,0,1
0,0,1,0,0
1,0,0,0,1
0,0,0,1,1
0,0,0,0,1
1,0,1,1,0
1,1,0,0,1
0,0,0,1,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,1
1,0,1,0,0
0,1,1,0,1
0,0,1,0,0
1,0,0,0,1
0,0,0,1,1
0,0,0,0,1
1,0,1,1,0
