,Date,Views_show,Visitors,Views_platform,Ad_impression,Cricket_match_india,Character_A,day
0,2017-03-01,183738,1260228,1706478,1060860448,0,0,1
1,2017-03-02,193763,1270561,1690727,1031846645,0,0,2
2,2017-03-03,210479,1248183,1726157,1010867575,0,0,3
3,2017-03-04,240061,1492913,1855353,1079194579,1,0,4
4,2017-03-05,446314,1594712,2041418,1357736987,0,0,5
5,2017-03-06,342997,1330689,1742540,1140228426,0,0,6
6,2017-03-07,227313,1363579,1821742,1113811802,0,0,7
7,2017-03-08,180313,1353483,1795456,1083475096,0,0,8
8,2017-03-09,178800,1345428,1794157,1067636147,0,0,9
9,2017-03-10,201180,1344540,1834967,1081234843,0,0,10
10,2017-03-11,218956,1500926,1926280,1119900035,0,0,11
11,2017-03-12,437117,1554859,2015050,1390620085,0,0,12
12,2017-03-13,263638,1438887,1808967,1231295791,0,0,13
13,2017-03-14,185896,1459500,1864134,1210330496,0,0,14
14,2017-03-15,184346,1410668,1896352,1189319112,0,0,15
15,2017-03-16,132409,1394130,1867785,1152287474,0,0,16
16,2017-03-17,169225,1438125,1885937,1172698178,0,0,17
17,2017-03-18,251851,1582773,2016477,1329477115,0,0,18
18,2017-03-19,476130,1723653,2155393,1714732753,0,0,19
19,2017-03-20,279880,1528669,1924030,1588375831,0,0,20
20,2017-03-21,215077,1538487,2015064,1554738251,0,0,21
21,2017-03-22,173280,1474098,1967000,1439043318,0,0,22
22,2017-03-23,200993,1484382,1998116,1420880566,0,0,23
23,2017-03-24,206830,1461298,1965232,1402238110,0,0,24
24,2017-03-25,236106,1678527,2096071,1469853604,0,1,25
25,2017-03-26,650563,1924046,2465763,2158026705,0,1,26
26,2017-03-27,460492,1612675,2165206,1928850028,0,1,27
27,2017-03-28,379396,1635533,2241286,1830391771,0,1,28
28,2017-03-29,343223,1568398,2224833,1710096924,0,1,29
29,2017-03-30,333613,1630580,2134012,1654933815,0,1,30
30,2017-03-31,281706,1588526,1998083,1557197792,0,1,31
31,2017-04-01,296772,1684842,2186053,1663798844,0,1,32
32,2017-04-02,679522,1902556,2535991,2424202948,0,1,33
33,2017-04-03,418659,1668290,2226838,2162241492,0,1,34
34,2017-04-04,360660,1727040,2347514,1972773720,0,1,35
35,2017-04-05,244916,1615949,2184161,1690425253,0,1,36
36,2017-04-06,218302,1589841,2172278,1629943055,0,1,37
37,2017-04-07,235508,1568119,2149159,1477621057,0,1,38
38,2017-04-08,465382,1834463,2543190,1741517106,0,1,39
39,2017-04-09,691068,1981242,2726690,2122330957,0,1,40
40,2017-04-10,353292,1689178,2279573,1701965040,0,1,41
41,2017-04-11,272079,1700031,2344060,1525321166,0,1,42
42,2017-04-12,190287,1598403,2281562,1407426028,0,1,43
43,2017-04-13,206740,1613314,2309186,1361116025,0,1,44
44,2017-04-14,234306,1697655,2434685,1359796055,0,1,45
45,2017-04-15,537050,1917386,2795683,1700040542,0,1,46
46,2017-04-16,758631,2026102,2933930,1992525162,0,1,47
47,2017-04-17,376879,1811644,2509254,1639833687,0,1,48
48,2017-04-18,241042,1812134,2492946,1498413829,0,1,49
49,2017-04-19,197201,1796219,2420223,1391566531,0,1,50
50,2017-04-20,169074,1785345,2390240,1346215059,0,1,51
51,2017-04-21,182208,1810697,2387054,1323744093,0,1,52
52,2017-04-22,369758,2143350,2704661,1336157323,0,1,53
53,2017-04-23,712778,2344650,3064422,1890967819,0,1,54
54,2017-04-24,349008,2060757,2560083,1590193671,0,0,55
55,2017-04-25,218466,1928796,2441818,1383577770,0,0,56
56,2017-04-26,208445,1848354,2388369,1294777190,0,0,57
57,2017-04-27,164043,1772449,2303380,1216537437,0,0,58
58,2017-04-28,162815,1727098,2189048,1145369229,0,0,59
59,2017-04-29,266086,1953231,2462984,1200654188,0,0,60
60,2017-04-30,544814,2187064,2731451,1698345214,0,0,61
61,2017-05-01,279700,1904704,2323887,1623666951,0,0,62
62,2017-05-02,196026,1816855,2294150,1388283566,0,0,63
63,2017-05-03,162150,1780230,2278880,1262254571,0,0,64
64,2017-05-04,143112,1731468,2214359,1199377174,0,0,65
65,2017-05-05,140666,1738676,2160395,1189257839,0,0,66
66,2017-05-06,280065,2016144,2423599,1342773863,0,0,67
67,2017-05-07,562943,2163629,2681882,1686752144,0,0,68
68,2017-05-08,271341,1840748,2249542,1403797010,0,0,69
69,2017-05-09,217791,1821016,2313219,1321700567,0,0,70
70,2017-05-10,142302,1784534,2256757,1229347176,0,0,71
71,2017-05-11,110202,1689260,2145511,1146505497,0,0,72
72,2017-05-12,102520,1697576,2135342,1161183285,0,0,73
73,2017-05-13,253228,1900320,2340236,1190253439,1,0,74
74,2017-05-14,631962,2135756,2603553,1614010862,1,0,75
75,2017-05-15,313945,1808684,2226788,1398052759,1,0,76
76,2017-05-16,185689,1814227,2199844,1311961223,1,0,77
77,2017-05-17,142260,1755803,2225752,1248266254,1,0,78
78,2017-05-18,135871,1749654,2302789,1284859759,1,0,79
79,2017-05-19,108961,1746735,2279036,1246026846,1,0,80
