id,city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,rent_amount,property_tax,fire_insurance,total
0,1,240,3,3,4,0,acept,furnished,8000.00,1000.00,121.00,9121.00
1,0,64,2,1,1,10,acept,not furnished,820.00,122.00,11.00,1493.00
2,1,443,5,5,4,3,acept,furnished,7000.00,1417.00,89.00,12680.00
3,1,73,2,2,1,12,acept,not furnished,1250.00,150.00,16.00,2116.00
4,1,19,1,1,0,0,not acept,not furnished,1200.00,41.00,16.00,1257.00
5,1,13,1,1,0,2,acept,not furnished,2200.00,42.00,28.00,2270.00
6,1,55,1,1,1,2,acept,furnished,5000.00,375.00,64.00,7389.00
7,1,55,2,2,1,2,acept,not furnished,1300.00,67.00,17.00,1984.00
8,1,82,3,1,1,3,acept,furnished,2000.00,109.00,26.00,2963.00
9,1,32,1,1,1,16,acept,not furnished,2900.00,0.00,37.00,3470.00
10,0,60,1,1,0,6,acept,not furnished,720.00,20.00,10.00,1230.00
11,0,64,1,2,1,4,acept,furnished,1550.00,0.00,7.00,1963.00
12,1,20,1,1,0,4,acept,furnished,1800.00,130.00,23.00,2555.00
13,1,375,4,5,5,1,acept,not furnished,15000.00,2805.00,191.00,22790.00
14,1,92,2,1,1,7,not acept,furnished,3950.00,0.00,51.00,4691.00
15,0,56,2,1,1,1,acept,not furnished,950.00,11.00,13.00,1319.00
16,0,188,2,3,8,0,acept,not furnished,3010.00,584.00,46.00,3640.00
17,1,100,3,2,1,0,acept,not furnished,3500.00,260.00,53.00,3813.00
18,1,192,3,3,2,13,acept,not furnished,7800.00,634.00,99.00,10630.00
19,1,93,3,2,1,10,acept,not furnished,3500.00,227.00,45.00,5269.00
20,1,155,3,3,2,0,acept,not furnished,2650.00,233.00,40.00,2923.00
21,1,80,2,2,0,9,not acept,not furnished,2550.00,46.00,33.00,3229.00
22,1,65,2,2,2,14,not acept,not furnished,3500.00,0.00,45.00,4452.00
23,1,320,3,3,4,0,acept,not furnished,9000.00,1000.00,136.00,10140.00
24,1,180,3,5,3,3,acept,not furnished,8100.00,0.00,103.00,11100.00
25,1,31,1,1,1,4,acept,not furnished,3200.00,64.00,41.00,3577.00
26,1,105,4,2,2,3,acept,not furnished,6500.00,400.00,83.00,8642.00
27,1,300,3,4,2,9,acept,furnished,14000.00,1084.00,178.00,17260.00
28,0,150,3,2,2,13,acept,not furnished,1800.00,250.00,23.00,3443.00
29,1,130,3,3,2,0,acept,not furnished,6000.00,84.00,91.00,6175.00
30,1,70,2,1,0,1,acept,not furnished,3000.00,50.00,39.00,3610.00
31,1,120,3,1,4,0,acept,not furnished,3500.00,234.00,53.00,3787.00
32,1,250,3,4,2,0,acept,not furnished,3480.00,360.00,53.00,4193.00
33,1,50,1,1,0,1,acept,not furnished,1550.00,25.00,20.00,1920.00
34,1,240,3,3,3,3,acept,not furnished,3800.00,952.00,49.00,8933.00
35,1,250,4,4,2,0,not acept,not furnished,6600.00,0.00,100.00,6700.00
36,0,94,3,3,2,1,acept,not furnished,2200.00,192.00,28.00,3170.00
37,1,176,3,4,3,4,acept,not furnished,6500.00,775.00,83.00,8958.00
38,1,180,3,4,5,0,acept,not furnished,3300.00,266.00,50.00,3616.00
39,1,191,3,3,4,1,acept,furnished,15000.00,1299.00,191.00,19100.00
40,1,25,1,1,0,14,acept,not furnished,1698.00,0.00,22.00,1977.00
41,1,800,4,5,4,9,acept,not furnished,15000.00,3334.00,191.00,24530.00
42,1,340,3,4,3,0,acept,furnished,9800.00,392.00,148.00,10340.00
43,1,90,2,1,0,0,not acept,not furnished,1450.00,50.00,22.00,1522.00
44,0,650,5,4,8,0,acept,furnished,8500.00,442.00,128.00,9070.00
45,1,100,2,2,0,1,acept,not furnished,2700.00,265.00,35.00,3000.00
46,1,230,4,4,4,1,acept,furnished,13500.00,1084.00,172.00,17060.00
47,1,190,2,3,2,0,acept,not furnished,13050.00,1284.00,197.00,14530.00
48,1,205,4,4,6,5,acept,not furnished,2720.00,959.00,35.00,6164.00
49,1,96,3,3,2,8,acept,not furnished,1790.00,90.00,23.00,2769.00
50,1,396,4,4,4,0,acept,not furnished,10000.00,750.00,151.00,10900.00
51,0,74,3,2,1,7,acept,not furnished,1600.00,250.00,21.00,2521.00
52,0,30,1,1,0,5,not acept,furnished,500.00,10.00,7.00,897.00
53,1,64,3,2,1,7,acept,not furnished,1400.00,65.00,18.00,2005.00
54,1,105,3,2,2,1,acept,furnished,7800.00,488.00,99.00,9931.00
55,1,50,1,2,1,10,acept,furnished,5900.00,259.00,75.00,7284.00
56,1,60,2,1,0,3,not acept,not furnished,1300.00,0.00,17.00,1717.00
57,1,50,2,1,1,6,acept,furnished,2000.00,49.00,26.00,2660.00
58,1,90,2,2,0,0,acept,not furnished,1700.00,38.00,26.00,1764.00
59,1,130,3,2,1,8,not acept,furnished,7500.00,417.00,96.00,9213.00
60,1,20,1,1,0,1,not acept,furnished,1950.00,0.00,25.00,1975.00
61,1,400,4,3,2,0,acept,not furnished,5650.00,338.00,85.00,6073.00
62,1,220,3,3,5,0,acept,not furnished,7500.00,0.00,113.00,7613.00
63,1,750,7,6,5,0,acept,furnished,5800.00,559.00,88.00,6447.00
64,1,20,1,1,0,0,acept,furnished,1800.00,130.00,23.00,2555.00
65,0,140,3,2,2,15,not acept,not furnished,2100.00,283.00,27.00,3408.00
66,1,22,1,1,0,0,not acept,not furnished,1080.00,14.00,14.00,1358.00
67,1,345,2,3,2,4,not acept,not furnished,12000.00,783.00,153.00,16590.00
68,0,46,2,1,1,3,not acept,not furnished,1100.00,53.00,5.00,1408.00
69,1,35,1,1,1,2,not acept,furnished,3250.00,30.00,42.00,3872.00
70,0,72,2,2,1,2,acept,not furnished,1200.00,97.00,16.00,1813.00
71,1,60,1,1,2,2,not acept,not furnished,1900.00,288.00,25.00,5611.00
72,1,180,3,2,4,0,not acept,furnished,11000.00,667.00,166.00,11830.00
73,1,83,3,2,1,9,not acept,furnished,3300.00,80.00,42.00,4227.00
74,1,50,1,1,0,1,acept,not furnished,1550.00,28.00,20.00,2117.00
75,1,38,1,1,1,14,not acept,furnished,3020.00,279.00,39.00,4958.00
76,1,140,3,3,2,2,acept,not furnished,2800.00,292.00,36.00,4428.00
77,0,62,2,1,1,3,acept,not furnished,980.00,48.00,13.00,1526.00
78,1,70,1,1,0,2,acept,furnished,4000.00,284.00,51.00,5835.00
79,0,55,1,1,0,14,acept,not furnished,1100.00,60.00,14.00,1774.00
80,0,60,2,1,1,1,not acept,not furnished,815.00,20.00,6.00,1271.00
81,1,85,2,2,1,6,acept,not furnished,1738.00,261.00,23.00,3272.00
82,1,134,3,3,3,11,not acept,not furnished,8000.00,380.00,102.00,10140.00
83,1,200,3,2,2,19,acept,not furnished,10000.00,1121.00,127.00,13820.00
84,1,170,3,2,2,0,acept,furnished,3900.00,267.00,59.00,4226.00
85,1,46,1,1,2,16,acept,furnished,6220.00,255.00,79.00,8764.00
86,1,20,1,1,0,4,acept,furnished,1800.00,130.00,23.00,2555.00
87,1,58,2,2,1,5,not acept,furnished,4500.00,144.00,58.00,5702.00
88,1,96,3,2,3,4,acept,not furnished,2350.00,313.00,30.00,3717.00
89,1,190,3,3,3,6,acept,not furnished,13000.00,84.00,165.00,16250.00
90,1,87,3,2,4,14,acept,not furnished,2000.00,67.00,26.00,2893.00
91,1,42,1,1,0,5,acept,not furnished,2400.00,94.00,31.00,2875.00
92,1,145,3,3,1,10,acept,furnished,11000.00,375.00,140.00,12900.00
93,1,250,4,6,4,12,not acept,not furnished,14500.00,875.00,184.00,18560.00
94,1,90,2,1,1,1,acept,not furnished,3000.00,50.00,39.00,4089.00
95,1,250,6,2,2,0,acept,not furnished,2472.00,26.00,38.00,2536.00
96,1,500,3,4,5,0,acept,furnished,7620.00,1094.00,115.00,8829.00
97,1,80,2,2,2,6,acept,furnished,8800.00,112.00,112.00,10610.00
98,0,120,3,2,3,0,acept,not furnished,2500.00,180.00,38.00,2718.00
99,0,265,3,3,2,0,acept,not furnished,2400.00,140.00,37.00,2577.00
100,0,50,2,1,1,4,acept,not furnished,1080.00,0.00,14.00,1424.00
101,0,126,3,3,2,1,acept,not furnished,3800.00,167.00,49.00,4796.00
102,0,55,2,1,1,1,acept,not furnished,720.00,0.00,10.00,1120.00
103,1,29,1,1,1,20,acept,furnished,2700.00,84.00,35.00,3519.00
104,1,59,2,1,1,24,acept,not furnished,2450.00,138.00,32.00,3134.00
105,1,200,2,4,4,4,acept,not furnished,7800.00,1417.00,99.00,11770.00
106,1,74,3,2,1,7,acept,not furnished,2196.00,100.00,28.00,2901.00
107,1,290,4,5,2,6,acept,not furnished,10000.00,875.00,127.00,15300.00
108,1,172,3,4,3,1,acept,not furnished,8000.00,820.00,102.00,10520.00
