Year,Month,TotalVolume,MaxHigh,MinLow,AvgClose
1990,7,35596600,3.86,3.48,3.68
1997,11,8155100,14.67,12.73,13.77
2022,10,125076700,31.56,28.06,29.47
1980,8,42400,0.16,0.14,0.15
1987,10,65422000,3.25,1.76,2.56
1998,2,26168100,21.1,16.79,19.49
1995,12,11045900,8.29,7.77,8.05
2005,5,25656500,20.38,19.38,19.84
2007,6,61372100,22.77,21.52,22.06
2012,10,41709100,26.41,24.71,25.49
1998,7,8095200,20.11,18.05,19.18
1994,3,36024200,5.71,4.69,5.25
2010,7,65886000,18.68,16.49,17.53
2010,12,29721500,20.21,19.3,19.84
1986,1,40892200,1.39,1.21,1.27
1983,3,59516800,0.7,0.57,0.61
1984,12,17811600,0.74,0.69,0.71
2015,2,78012700,30.21,27.12,29.09
1983,4,93464800,0.88,0.69,0.76
1985,3,31508400,0.77,0.7,0.73
1990,4,20811400,3.27,2.93,3.11
2019,10,60363700,37.32,33.11,34.77
1990,6,32670000,3.48,3.19,3.36
1996,11,14484600,10.53,9.54,9.84
2001,1,20084800,19.51,17.47,18.11
2017,3,62528100,30.45,29.21,29.87
1984,10,20136000,0.69,0.62,0.66
1984,6,18933200,0.65,0.61,0.64
1992,12,62680200,6.96,5.63,6.34
1998,1,11298900,17.42,14.93,16.14
2008,8,22572300,22.11,20.53,21.21
2002,3,17275200,17.75,16.15,16.93
2017,8,56871800,29.44,28.12,28.73
2004,6,24275400,16.63,15.7,16.26
2009,11,34754300,20.55,18.83,19.79
2014,4,59612700,33.72,30.68,31.98
2005,10,27893700,21.1,19.72,20.4
2020,6,64132300,35.96,33.47,34.75
1988,12,12346000,2.3,2.14,2.22
2019,5,51181500,32.41,30.81,31.59
1994,12,26025000,5.96,5.29,5.54
2017,10,129669900,30.04,26.34,29.08
2018,10,67326300,31.53,29.2,30.56
2000,4,15660400,21.61,18.95,20.3
2021,8,69507400,37.94,35.29,36.78
1983,2,38870000,0.63,0.57,0.6
1987,5,35141400,2.99,2.62,2.83
2015,12,63209900,27.18,25.34,26.33
2016,7,66236000,31.15,29.27,30.12
1988,3,25763400,2.33,2.04,2.18
2003,2,16202300,14.09,12.46,13.26
2004,8,23601900,16.07,15.02,15.52
2016,11,95759400,28.47,26.4,27.19
2021,6,111434800,36.83,34.02,35.22
2012,8,42004200,26.16,25.06,25.63
2013,2,47538200,25.98,25.06,25.49
2019,3,44746700,33.37,31.53,32.25
2021,5,79364700,34.89,32.77,33.99
2023,8,68346400,35.1,32.97,34.05
2023,9,84885800,37.47,33.65,35.95
1994,8,36078800,5.47,4.66,5.18
1999,12,8493300,20.44,16.95,18.31
2012,4,51286900,25.69,24.06,24.84
2012,12,55489900,25.0,24.13,24.55
1986,5,41444000,1.7,1.59,1.64
1986,9,41174000,1.77,1.45,1.58
2002,12,19994700,13.89,12.95,13.42
2006,12,20762000,22.35,21.55,21.88
1987,11,30241000,2.26,1.94,2.09
1992,7,43513800,7.14,6.03,6.72
