Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DailyChange,PriceTrend
28/03/1980,0,0.149641396,0.139201298,0.139201298,2400,0,0,1980,3,28,0.139201298,Up
31/03/1980,0.139201298,0.139201298,0.139201298,0.139201298,0,0,0,1980,3,31,0,Down
01/04/1980,0.139201298,0.139201298,0.139201298,0.139201298,0,0,0,1980,4,1,0,Down
02/04/1980,0,0.149641396,0.139201298,0.139201298,800,0,0,1980,4,2,0.139201298,Up
03/04/1980,0.139201298,0.139201298,0.139201298,0.139201298,0,0,0,1980,4,3,0,Down
07/04/1980,0,0.149641396,0.139201298,0.139201298,2400,0,0,1980,4,7,0.139201298,Up
08/04/1980,0.139201298,0.139201298,0.139201298,0.139201298,0,0,0,1980,4,8,0,Down
09/04/1980,0.139201298,0.139201298,0.139201298,0.139201298,0,0,0,1980,4,9,0,Down
10/04/1980,0.139201298,0.139201298,0.139201298,0.139201298,0,0,0,1980,4,10,0,Down
11/04/1980,0,0.15312146,0.14268136,0.14268136,1600,0,0,1980,4,11,0.14268136,Up
14/04/1980,0.14268136,0.14268136,0.14268136,0.14268136,0,0,0,1980,4,14,0,Down
15/04/1980,0,0.142681332,0.132241234,0.132241234,4000,0,0,1980,4,15,0.132241234,Up
16/04/1980,0,0.142681332,0.132241234,0.132241234,4000,0,0,1980,4,16,0.132241234,Up
17/04/1980,0.132241234,0.132241234,0.132241234,0.132241234,0,0,0,1980,4,17,0,Down
18/04/1980,0.132241234,0.132241234,0.132241234,0.132241234,0,0,0,1980,4,18,0,Down
21/04/1980,0.132241234,0.132241234,0.132241234,0.132241234,0,0,0,1980,4,21,0,Down
22/04/1980,0.132241234,0.132241234,0.132241234,0.132241234,0,0,0,1980,4,22,0,Down
23/04/1980,0.132241234,0.132241234,0.132241234,0.132241234,0,0,0,1980,4,23,0,Down
24/04/1980,0.132241234,0.132241234,0.132241234,0.132241234,0,0,0,1980,4,24,0,Down
25/04/1980,0.132241234,0.132241234,0.132241234,0.132241234,0,0,0,1980,4,25,0,Down
28/04/1980,0.132241234,0.132241234,0.132241234,0.132241234,0,0,0,1980,4,28,0,Down
29/04/1980,0,0.132241227,0.12180113,0.12180113,800,0,0,1980,4,29,0.12180113,Up
30/04/1980,0.12180113,0.12180113,0.12180113,0.12180113,0,0,0,1980,4,30,0,Down
01/05/1980,0.12180113,0.12180113,0.12180113,0.12180113,0,0,0,1980,5,1,0,Down
02/05/1980,0,0.132241227,0.12180113,0.12180113,1600,0,0,1980,5,2,0.12180113,Up
05/05/1980,0.12180113,0.12180113,0.12180113,0.12180113,0,0,0,1980,5,5,0,Down
06/05/1980,0,0.132241227,0.12180113,0.12180113,3200,0,0,1980,5,6,0.12180113,Up
07/05/1980,0.12180113,0.12180113,0.12180113,0.12180113,0,0,0,1980,5,7,0,Down
08/05/1980,0.12180113,0.12180113,0.12180113,0.12180113,0,0,0,1980,5,8,0,Down
09/05/1980,0.12180113,0.12180113,0.12180113,0.12180113,0,0,0,1980,5,9,0,Down
12/05/1980,0.12180113,0.12180113,0.12180113,0.12180113,0,0,0,1980,5,12,0,Down
13/05/1980,0.12180113,0.12180113,0.12180113,0.12180113,0,0,0,1980,5,13,0,Down
14/05/1980,0.12180113,0.12180113,0.12180113,0.12180113,0,0,0,1980,5,14,0,Down
15/05/1980,0.12180113,0.12180113,0.12180113,0.12180113,0,0,0,1980,5,15,0,Down
16/05/1980,0,0.125281163,0.114841066,0.114841066,800,0,0,1980,5,16,0.114841066,Up
19/05/1980,0,0.125281163,0.114841066,0.114841066,2400,0,0,1980,5,19,0.114841066,Up
20/05/1980,0.114841066,0.114841066,0.114841066,0.114841066,0,0,0,1980,5,20,0,Down
21/05/1980,0,0.125281163,0.114841066,0.114841066,1600,0,0,1980,5,21,0.114841066,Up
22/05/1980,0.114841066,0.114841066,0.114841066,0.114841066,0,0,0,1980,5,22,0,Down
23/05/1980,0,0.125281163,0.114841066,0.114841066,2400,0,0,1980,5,23,0.114841066,Up
27/05/1980,0.114841066,0.114841066,0.114841066,0.114841066,0,0,0,1980,5,27,0,Down
28/05/1980,0.114841066,0.114841066,0.114841066,0.114841066,0,0,0,1980,5,28,0,Down
29/05/1980,0.114841066,0.114841066,0.114841066,0.114841066,0,0,0,1980,5,29,0,Down
30/05/1980,0,0.125281163,0.114841066,0.114841066,3200,0,0,1980,5,30,0.114841066,Up
02/06/1980,0.114841066,0.114841066,0.114841066,0.114841066,0,0,0,1980,6,2,0,Down
03/06/1980,0,0.125281163,0.114841066,0.114841066,7200,0,0,1980,6,3,0.114841066,Up
